osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,bridge,width
240496813,2,Pommersche Straße,residential,False,True,16.171,,"LINESTRING (13.4079956 53.9402423, 13.4077564 53.9402787)",,
30412636,2,Pommersche Straße,residential,False,False,77.204,30,"LINESTRING (13.4079956 53.9402423, 13.408236 53.9401583, 13.4086334 53.9398345, 13.4087415 53.9397208)",,
30412636,2,Pommersche Straße,residential,False,False,70.069,30,"LINESTRING (13.4087415 53.9397208, 13.4087563 53.9396447, 13.4087362 53.9395716, 13.4086301 53.9394394, 13.4085188 53.939341, 13.4084533 53.939235, 13.4084229 53.9391343)",,
30412636,2,Pommersche Straße,residential,False,True,77.204,30,"LINESTRING (13.4087415 53.9397208, 13.4086334 53.9398345, 13.408236 53.9401583, 13.4079956 53.9402423)",,
30412637,,Brauerhof,residential,False,False,108.699,,"LINESTRING (13.4087415 53.9397208, 13.4093125 53.9397098, 13.4094157 53.9397938, 13.4097736 53.9402884)",,
30412636,2,Pommersche Straße,residential,False,True,70.069,30,"LINESTRING (13.4084229 53.9391343, 13.4084533 53.939235, 13.4085188 53.939341, 13.4086301 53.9394394, 13.4087362 53.9395716, 13.4087563 53.9396447, 13.4087415 53.9397208)",,
229623316,,Pommersche Straße,residential,False,False,46.385,,"LINESTRING (13.4084229 53.9391343, 13.4082396 53.9391757, 13.4080386 53.9393, 13.4078475 53.9393651)",,
240496816,2,Pommersche Straße,residential,False,False,53.565,30,"LINESTRING (13.4084229 53.9391343, 13.4085417 53.9389805, 13.4089418 53.9387747)",,
75718108,,Schulstraße,residential,False,False,75.709,,"LINESTRING (13.4089418 53.9387747, 13.408771 53.9386565, 13.4086937 53.9385963, 13.4086775 53.9385546, 13.4088257 53.9381566)",,
240496816,2,Pommersche Straße,residential,False,False,75.17099999999999,30,"LINESTRING (13.4089418 53.9387747, 13.4091875 53.9386429, 13.4093709 53.9384978, 13.4094986 53.9383577, 13.4095904 53.938228)",,
240496816,2,Pommersche Straße,residential,False,True,53.565,30,"LINESTRING (13.4089418 53.9387747, 13.4085417 53.9389805, 13.4084229 53.9391343)",,
30412639,,Pommersche Straße,residential,True,False,58.906,30,"LINESTRING (13.4095904 53.938228, 13.4096547 53.937969, 13.409652 53.937701)",,
240496816,2,Pommersche Straße,residential,False,True,75.17099999999999,30,"LINESTRING (13.4095904 53.938228, 13.4094986 53.9383577, 13.4093709 53.9384978, 13.4091875 53.9386429, 13.4089418 53.9387747)",,
30412642,,Dänholm,residential,False,False,51.753,,"LINESTRING (13.409652 53.937701, 13.4091892 53.9376823, 13.4091252 53.9376316, 13.4091583 53.9375039)",,
"[110447721, 1243797282]",,Pommersche Straße,residential,True,False,159.777,30,"LINESTRING (13.409652 53.937701, 13.409649 53.9375988, 13.4096462 53.9375025, 13.4096415 53.9373407, 13.4097061 53.9370724, 13.4098035 53.9368022, 13.4098845 53.9366927, 13.410068 53.9366925, 13.4103602 53.9367134, 13.4105721 53.9367447)",,
