osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,width,tunnel
50770394,Lüßweg,residential,False,False,22.574,"LINESTRING (11.0515809 47.6660271, 11.0513598 47.6658891)",,,,,,
582879148,Hauptstraße,residential,False,False,22.273,"LINESTRING (11.0515809 47.6660271, 11.0517248 47.6658518)",,,,,,
582879158,Hauptstraße,residential,False,True,82.017,"LINESTRING (11.0515809 47.6660271, 11.0517678 47.6660856, 11.0518542 47.6661061, 11.051906 47.6661052, 11.0519448 47.6660997, 11.0519857 47.66608, 11.0520365 47.6660387, 11.0520675 47.6660035, 11.0520832 47.6659733, 11.0520809 47.6659498, 11.0520766 47.6659298, 11.0520496 47.6659021, 11.0520096 47.6658778, 11.0519454 47.6658488, 11.0518238 47.6658408, 11.0517248 47.6658518)",,,,,,
24917768,Hauptstraße,residential,False,True,39.873999999999995,"LINESTRING (11.0515809 47.6660271, 11.0515299 47.6660723, 11.0513475 47.666348)",,,,,,
24917768,Hauptstraße,residential,False,False,39.873999999999995,"LINESTRING (11.0513475 47.666348, 11.0515299 47.6660723, 11.0515809 47.6660271)",,,,,,
60411329,Hauptstraße,secondary,False,True,42.43,"LINESTRING (11.0513475 47.666348, 11.0514504 47.6663728, 11.0518698 47.6664956)",2,St 2062,50,,,
582879157,Hauptstraße,secondary,False,False,23.829,"LINESTRING (11.0513475 47.666348, 11.0512755 47.666339, 11.0512261 47.6663337, 11.051169 47.6663361, 11.0511039 47.6663411, 11.0510364 47.6663584)",2,St 2062,50,,,
31911313,Hauptstraße,secondary,False,True,33.802,"LINESTRING (11.0528316 47.6667871, 11.0530801 47.666815, 11.0532794 47.6668095)",2,St 2062,50,,,
32080528,Prentstraße,residential,False,True,35.789,"LINESTRING (11.0528316 47.6667871, 11.0529011 47.6666936, 11.0529145 47.6666582, 11.0529122 47.6666265, 11.0529124 47.6665519, 11.0528868 47.6664795)",,,,,,
50835748,Samstraße,residential,False,True,101.04100000000003,"LINESTRING (11.0528316 47.6667871, 11.0527896 47.6669423, 11.0527579 47.6670533, 11.0527303 47.6671819, 11.0526055 47.6673006, 11.0526065 47.6673578, 11.0526039 47.667406, 11.0525478 47.667456, 11.0524494 47.6675212, 11.0523558 47.6676007)",,,,,,
60411329,Hauptstraße,secondary,False,False,53.467,"LINESTRING (11.0528316 47.6667871, 11.0527372 47.6667731, 11.0524307 47.6666827, 11.0522174 47.6666081, 11.0521784 47.6665969)",2,St 2062,50,,,
50835749,Erlestraße,residential,False,False,75.262,"LINESTRING (11.0505536 47.6668154, 11.0513206 47.6672528)",2,,,,,
582879170,Hauptstraße,secondary,False,True,48.217,"LINESTRING (11.0505536 47.6668154, 11.0505897 47.6667761, 11.0507479 47.6665683, 11.0508197 47.6664879, 11.0508666 47.6664368)",2,St 2062,50,,,
