osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,bridge
25973428,Eckertsberg,living_street,False,True,28.833,,"LINESTRING (10.7908135 49.4929263, 10.7908384 49.4931851)",,
25973908,Obere Ringstraße,residential,True,False,162.65699999999998,30,"LINESTRING (10.7908135 49.4929263, 10.7918413 49.49288, 10.7927734 49.4928851, 10.7929122 49.4928587, 10.7930286 49.4928025)",,
47577853,Untere Ringstraße,tertiary,False,False,9.655,50,"LINESTRING (10.7947076 49.493316, 10.7948136 49.4933689)",FÜ 17,
25973581,Untere Ringstraße,tertiary,False,True,127.29499999999999,50,"LINESTRING (10.7947076 49.493316, 10.7942133 49.4931501, 10.7938123 49.4930485, 10.7933309 49.4929488, 10.7931053 49.492852)",FÜ 17,
148826731,Klaushofer Weg,tertiary,False,False,104.342,30,"LINESTRING (10.7947076 49.493316, 10.7947975 49.4932338, 10.7948784 49.4931318, 10.7949908 49.4929372, 10.7951329 49.4926859, 10.7952729 49.492456)",,
25973580,Untere Ringstraße,residential,False,False,87.05199999999999,,"LINESTRING (10.7976241 49.4949741, 10.7977667 49.4950056, 10.7979135 49.4950025, 10.7980051 49.4949976, 10.7981092 49.494979, 10.7982081 49.4949428, 10.7984363 49.494805, 10.7986314 49.494672)",,
"[47577852, 273501493]","['Denkmalplatz', 'Untere Ringstraße']",tertiary,False,False,84.542,50,"LINESTRING (10.7976241 49.4949741, 10.797731 49.4951493, 10.7977841 49.4953171, 10.7978157 49.4954521, 10.7978385 49.4955303, 10.7978393 49.4957147)",FÜ 17,
47577852,Untere Ringstraße,tertiary,False,True,71.374,50,"LINESTRING (10.7976241 49.4949741, 10.7974556 49.4948518, 10.7969451 49.4945518, 10.7969101 49.4945313)",FÜ 17,
"[364395578, 5023671]","['Denkmalplatz', 'Friedrich-Ebert-Straße']",tertiary,False,False,95.051,30,"LINESTRING (10.7978393 49.4957147, 10.7975298 49.4956891, 10.7972095 49.4956642, 10.796558 49.4955343)",,
"[47577852, 273501493]","['Denkmalplatz', 'Untere Ringstraße']",tertiary,False,True,84.542,50,"LINESTRING (10.7978393 49.4957147, 10.7978385 49.4955303, 10.7978157 49.4954521, 10.7977841 49.4953171, 10.797731 49.4951493, 10.7976241 49.4949741)",FÜ 17,
"[364395572, 32253751]","['Denkmalplatz', 'Nürnberger Straße']",tertiary,False,True,33.425,50,"LINESTRING (10.7978393 49.4957147, 10.7981007 49.4957355, 10.7982972 49.4957577)",FÜ 17,
25973431,Krämergasse,residential,True,False,51.629,20,"LINESTRING (10.7956389 49.4951489, 10.7959915 49.494745)",,
"[60446405, 32252732, 47577927, 47577929, 32252755, 25973788]",Sanktustorstraße,tertiary,False,"[False, True]",223.428,,"LINESTRING (10.7956389 49.4951489, 10.7954835 49.4953773, 10.7952518 49.4956951, 10.7951324 49.495838, 10.7950928 49.495884, 10.7950068 49.4959837, 10.7947689 49.4961855, 10.7947224 49.4962175, 10.7944298 49.4964091, 10.7941527 49.4965511, 10.793985 49.4966333, 10.793841 49.4967437)",,yes
273417157,Prinzregentenplatz,residential,False,True,63.367999999999995,20,"LINESTRING (10.7956389 49.4951489, 10.7950157 49.4948788, 10.7949495 49.4948075)",,
364395578,Friedrich-Ebert-Straße,tertiary,False,True,79.03500000000001,30,"LINESTRING (10.7956389 49.4951489, 10.7958465 49.4952444, 10.796063 49.4953339, 10.7961884 49.4953858, 10.796558 49.4955343)",,
