osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,junction,bridge
23054595,2,B 513,Südring,primary,50,7,False,True,275.248,"LINESTRING (8.2239116 51.9583372, 8.2243209 51.9581809, 8.2245261 51.958106, 8.2247713 51.9580298, 8.2251938 51.9579266, 8.2256601 51.9578456, 8.2261306 51.9578001, 8.2266069 51.9577743, 8.2275637 51.9577282, 8.2277315 51.9577148)",,
27519838,2,B 513,Südring,primary,50,7,False,False,46.412,"LINESTRING (8.2239116 51.9583372, 8.2236615 51.9584651, 8.2234125 51.9586187)",,
23054594,2,B 513,Münsterstraße,primary,50,7,False,False,10.637,"LINESTRING (8.2209521 51.9601776, 8.2208312 51.9602376)",,
27519838,2,B 513,Südring,primary,50,7,False,True,242.031,"LINESTRING (8.2209521 51.9601776, 8.2211277 51.9600865, 8.2214999 51.9598748, 8.2215731 51.9598338, 8.2222131 51.9594277, 8.2223488 51.9593375, 8.2226531 51.9591325, 8.2230336 51.958863, 8.2230538 51.9588487, 8.2232386 51.9587274, 8.2234125 51.9586187)",,
"[77502048, 252152009]",,,Münsterstraße,residential,30,,True,False,39.412,"LINESTRING (8.2209521 51.9601776, 8.2210806 51.9602615, 8.2212186 51.960334, 8.2213976 51.9603976)",,
178777119,2,B 513,Südring,primary,50,7,False,True,11.69,"LINESTRING (8.2277315 51.9577148, 8.2278998 51.9576976)",,
23054595,2,B 513,Südring,primary,50,7,False,False,275.248,"LINESTRING (8.2277315 51.9577148, 8.2275637 51.9577282, 8.2266069 51.9577743, 8.2261306 51.9578001, 8.2256601 51.9578456, 8.2251938 51.9579266, 8.2247713 51.9580298, 8.2245261 51.958106, 8.2243209 51.9581809, 8.2239116 51.9583372)",,
41922824,1,K 14,Clarholzer Straße,tertiary,50,,True,False,42.356,"LINESTRING (8.2277315 51.9577148, 8.2277903 51.9575858, 8.2279596 51.957362)",,
41922823,1,K 14,Clarholzer Straße,tertiary,50,,True,False,37.591,"LINESTRING (8.2279596 51.957362, 8.2279354 51.9575742, 8.2278998 51.9576976)",,
"[842733082, 120163222, 32704975]",2,,Gütersloher Straße,residential,30,,False,False,82.07300000000001,"LINESTRING (8.2323045 51.9591072, 8.232068 51.9592046, 8.2319843 51.9592386, 8.2313057 51.9595146)",,
476722313,1,,,residential,,,True,False,12.679,"LINESTRING (8.2323045 51.9591072, 8.2322867 51.9590809, 8.2322874 51.9590524, 8.2323064 51.9590264, 8.2323406 51.9590072)",roundabout,
"[137648041, 31743647]",,,Brentrups Garten,"['living_street', 'residential']",30,,False,False,100.535,"LINESTRING (8.2247053 51.9610787, 8.2248403 51.9608975, 8.2249845 51.9607346, 8.2251534 51.9605308, 8.2255167 51.9603459)",,
"[33489522, 1235183213]",,,Münsterstraße,residential,20,,False,True,16.009,"LINESTRING (8.2247053 51.9610787, 8.2246097 51.9610666, 8.224536 51.9610666, 8.2244738 51.961064)",,
"[842733075, 858684898, 858684899]",,,Münsterstraße,residential,20,,False,False,102.894,"LINESTRING (8.2247053 51.9610787, 8.2251468 51.9612135, 8.2251804 51.9612232, 8.2252206 51.9612337, 8.226067 51.9614685)",,
25028573,,,Dr.-Pieke-Straße,tertiary,30,,False,True,217.986,"LINESTRING (8.2271396 51.9627513, 8.227149 51.9627134, 8.2271763 51.9626679, 8.2272579 51.9625505, 8.2273104 51.962444, 8.2273432 51.9623527, 8.2273531 51.9622855, 8.2273556 51.9622686, 8.2274179 51.961843, 8.2275265 51.9613565, 8.2275404 51.9612255, 8.2275447 51.9611133, 8.2275441 51.9609696, 8.2275391 51.9608187)",,
31624667,2,,Brockhäger Straße,tertiary,30,,False,False,33.992999999999995,"LINESTRING (8.2271396 51.9627513, 8.2271666 51.9627892, 8.2272151 51.9628224, 8.2274887 51.9629632)",,
306864334,,,Brockhäger Straße,residential,20,,False,True,79.143,"LINESTRING (8.2271396 51.9627513, 8.2269868 51.9627096, 8.2268318 51.9626389, 8.2267358 51.9625696, 8.2266127 51.9624493, 8.2265129 51.9622777, 8.2264885 51.9622049)",,
26838416,,,,tertiary,30,,True,False,15.944,"LINESTRING (8.2276685 51.9629909, 8.2276706 51.9630195, 8.2276526 51.963046, 8.227618 51.9630652, 8.2275734 51.9630734, 8.2275274 51.9630691)",roundabout,
26838418,,,Brockhäger Straße,tertiary,50,,False,False,139.448,"LINESTRING (8.2276685 51.9629909, 8.227793 51.9629876, 8.2280713 51.9629855, 8.2281656 51.9629883, 8.2282511 51.9629952, 8.2285644 51.9630411, 8.2296273 51.9632769)",,
25028573,,,Dr.-Pieke-Straße,tertiary,30,,False,False,217.98600000000002,"LINESTRING (8.2275391 51.9608187, 8.2275441 51.9609696, 8.2275447 51.9611133, 8.2275404 51.9612255, 8.2275265 51.9613565, 8.2274179 51.961843, 8.2273556 51.9622686, 8.2273531 51.9622855, 8.2273432 51.9623527, 8.2273104 51.962444, 8.2272579 51.9625505, 8.2271763 51.9626679, 8.227149 51.9627134, 8.2271396 51.9627513)",,
"[31743725, 85150838]",,,Alter Markt,living_street,,,False,False,85.193,"LINESTRING (8.2275391 51.9608187, 8.2274517 51.9608245, 8.227252 51.9608735, 8.2267866 51.9609857, 8.2263761 51.9610846)",,
129464204,2,,Gütersloher Straße,residential,30,,False,True,89.545,"LINESTRING (8.2275391 51.9608187, 8.2278377 51.960759, 8.2282218 51.9606765, 8.228768 51.9605454)",,
476722314,,,Clarholzer Straße,tertiary,30,,False,False,44.778999999999996,"LINESTRING (8.2275391 51.9608187, 8.227525 51.9606686, 8.2274893 51.9605273, 8.2274463 51.9604212)",,
"[33489506, 1235183214]",,,Münsterstraße,residential,20,,False,True,94.756,"LINESTRING (8.2264885 51.9622049, 8.2265148 51.9620733, 8.22655 51.9619479, 8.2265487 51.9619, 8.2265322 51.9618336, 8.2264831 51.9617415, 8.2263954 51.9616535, 8.226258 51.9615505, 8.2261704 51.9615078, 8.226067 51.9614685)",,
