osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
4798677,3,L 3087,Bahnhofstraße,secondary,50,False,False,40.659,"LINESTRING (11.284318 50.8980423, 11.2842879 50.897954, 11.2842691 50.897896, 11.2841506 50.8976932)",,
9568772,3,B 85,Bachstraße,primary,50,False,False,28.451999999999998,"LINESTRING (11.284318 50.8980423, 11.2841279 50.8980931, 11.2839525 50.8981527)",,
"[151324291, 11308681, 1154045068, 151324303, 151324286]",4,,"['Bahnhofstraße', 'Blankenhainer Straße']",residential,,False,False,160.28499999999997,"LINESTRING (11.284318 50.8980423, 11.2843607 50.8982127, 11.2843666 50.8982595, 11.2843666 50.8983094, 11.2843666 50.8984405, 11.2843376 50.8986334, 11.2846701 50.8986362, 11.2848052 50.8986248, 11.2856632 50.8985181)",yes,
"[312321669, 250874952, 151324298, 151324299, 151324301, 151324302]","['2', '3']",B 85,Blankenhainer Straße,primary,50,False,True,263.08699999999993,"LINESTRING (11.284318 50.8980423, 11.2845356 50.8980057, 11.2848307 50.8979694, 11.2852843 50.8979292, 11.2854863 50.8979209, 11.2857224 50.8979121, 11.2866559 50.897889, 11.2868442 50.8978811, 11.2870569 50.8978586, 11.2871741 50.8978405, 11.2872915 50.897812, 11.287386 50.8977838, 11.2874839 50.897745, 11.2876054 50.8976852, 11.2878411 50.897543, 11.2878722 50.8975243)",yes,
29108539,2,K 311,Tiefengrubener Straße,tertiary,50,False,False,90.307,"LINESTRING (11.2821417 50.899137, 11.2819773 50.8990585, 11.2814612 50.8988121, 11.2812534 50.8987444, 11.281193 50.8987245, 11.2810659 50.8987016)",,
240571623,3,B 85,Bachstraße,primary,50,False,False,59.766999999999996,"LINESTRING (11.2821417 50.899137, 11.2819639 50.8992429, 11.2816331 50.899458, 11.2815454 50.8995207)",,
312321667,3,B 85,Bachstraße,primary,50,False,True,76.304,"LINESTRING (11.2821417 50.899137, 11.2822678 50.8990534, 11.2825925 50.8988433, 11.2827153 50.898772, 11.282916 50.8986553)",,
312321660,2,B 85,Bachstraße,primary,50,False,True,33.842,"LINESTRING (11.2805621 50.9017687, 11.2805959 50.9014651)",,
727173225,2,B 85,Weimarische Straße,primary,50,False,False,30.22,"LINESTRING (11.2805621 50.9017687, 11.2804985 50.9020375)",,
727173225,2,B 85,Weimarische Straße,primary,50,False,True,30.22,"LINESTRING (11.2804985 50.9020375, 11.2805621 50.9017687)",,
727173225,2,B 85,Weimarische Straße,primary,50,False,False,94.509,"LINESTRING (11.2804985 50.9020375, 11.2804346 50.9021821, 11.2804016 50.9022513, 11.2803224 50.9023484, 11.2800991 50.9025955, 11.280043 50.9026583, 11.2799169 50.9027993)",,
151324293,2,K 511,Zeughausstraße,tertiary,50,False,True,4.521,"LINESTRING (11.2820365 50.9006897, 11.2819923 50.9006601)",,
"[79813816, 252698428]",2,K 511,Hetschburger Straße,tertiary,30,False,True,93.344,"LINESTRING (11.2820365 50.9006897, 11.2823365 50.90085, 11.2825656 50.9009824, 11.2827962 50.9011092, 11.2829352 50.9011736, 11.2830747 50.9012061)",,
512356274,,,Weimarische Straße,residential,30,True,False,139.202,"LINESTRING (11.2820365 50.9006897, 11.2810688 50.9015501, 11.2808881 50.9017108)",,
54240322,,,Friedensplatz,living_street,,True,False,21.532,"LINESTRING (11.2830747 50.9012061, 11.2832764 50.9010601)",,
79813814,2,K 511,Hetschburger Straße,tertiary,30,False,True,59.324999999999996,"LINESTRING (11.2830747 50.9012061, 11.2831751 50.9012355, 11.2832651 50.9012802, 11.2834409 50.9013884, 11.2837095 50.9015535)",,4
"[79813816, 252698428]",2,K 511,Hetschburger Straße,tertiary,30,False,False,93.344,"LINESTRING (11.2830747 50.9012061, 11.2829352 50.9011736, 11.2827962 50.9011092, 11.2825656 50.9009824, 11.2823365 50.90085, 11.2820365 50.9006897)",,
240418275,,,Hetschburger Straße,residential,,False,True,75.336,"LINESTRING (11.286254 50.9022992, 11.2857829 50.9016903)",,
"[30672881, 252698429, 29236677, 29236678]",2,K 511,Hetschburger Straße,tertiary,"['50', '30']",False,False,198.877,"LINESTRING (11.286254 50.9022992, 11.2860259 50.9021796, 11.2857075 50.9020421, 11.285424 50.9019427, 11.2851158 50.9018499, 11.2849568 50.9018016, 11.2845669 50.901711, 11.284405 50.9016666, 11.2838518 50.9015856, 11.2837095 50.9015535)",yes,
