osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,ref,junction
18500960,1,Wassertor,living_street,False,True,65.277,,"LINESTRING (6.2468955 51.8298434, 6.2459928 51.8300262)",,
"[37775738, 43541780]",2,Parkring,"['residential', 'unclassified']",False,False,204.33300000000003,30,"LINESTRING (6.2468955 51.8298434, 6.2469805 51.830021, 6.2470579 51.8302067, 6.2470934 51.8303558, 6.2470962 51.8303706, 6.2471209 51.8304996, 6.2471339 51.8307249, 6.2471485 51.8308897, 6.2471314 51.8311325, 6.2471358 51.8311595, 6.2471397 51.8312944, 6.2471672 51.8314098, 6.2471904 51.831469, 6.247239 51.8315677, 6.2472919 51.8316503)",,
"[977492722, 24711852]",2,Parkring,residential,False,True,48.692,30,"LINESTRING (6.2468955 51.8298434, 6.2468091 51.8297372, 6.2466932 51.8296299, 6.246654 51.8296013, 6.2466054 51.8295674, 6.2464778 51.8294947)",,
"[977492722, 24711852]",2,Parkring,residential,False,False,48.692,30,"LINESTRING (6.2464778 51.8294947, 6.2466054 51.8295674, 6.246654 51.8296013, 6.2466932 51.8296299, 6.2468091 51.8297372, 6.2468955 51.8298434)",,
5179874,2,Im Euwer,residential,False,True,111.827,30,"LINESTRING (6.2479844 51.833257, 6.2479483 51.8331848, 6.2479123 51.8330411, 6.2479182 51.8330248, 6.2479606 51.8329073, 6.248049 51.8327332, 6.2481134 51.8326491, 6.2481492 51.8325896, 6.2482707 51.8323879, 6.2483277 51.8323014)",,
"[9605225, 9605218]",1,Hühnerstraße,residential,True,False,117.74,30,"LINESTRING (6.2479844 51.833257, 6.2480105 51.8333765, 6.2480156 51.8335055, 6.2479624 51.8336617, 6.2478924 51.8338148, 6.2478275 51.8339083, 6.2477025 51.8340726, 6.2476659 51.8341335, 6.2475816 51.8341988, 6.2475055 51.834234)",,
"[122380080, 24998038]",2,"['Kleiner Löwe', 'Wollenweberstraße']",residential,False,False,81.768,30,"LINESTRING (6.2479844 51.833257, 6.2477673 51.8332047, 6.2475846 51.8331368, 6.2473458 51.8331101, 6.2471457 51.8330973, 6.2468462 51.8330873)",,
9605232,1,Großer Löwe,residential,True,False,47.646,30,"LINESTRING (6.2475055 51.834234, 6.2473136 51.8343403, 6.2471947 51.8344566, 6.2470783 51.8345669)",,
9605238,3,Am Löwentor,residential,False,False,39.514,50,"LINESTRING (6.2470551 51.8347122, 6.2472234 51.835052)",,
29218681,2,Wallstraße,residential,False,True,342.86600000000004,30,"LINESTRING (6.2470551 51.8347122, 6.2469551 51.8347333, 6.2457269 51.8349992, 6.24503 51.8351057, 6.2449208 51.8351156, 6.2448375 51.8351231, 6.2446423 51.8351408, 6.2444609 51.8351487, 6.2441886 51.8351605, 6.2437569 51.8351527, 6.2435893 51.8351424, 6.2435512 51.8351401, 6.243346 51.8351275, 6.2430309 51.8350956, 6.2427214 51.8350416, 6.2424686 51.8349868, 6.2422356 51.8349091)",,
676272330,2,Großer Löwe,residential,False,True,16.581,30,"LINESTRING (6.2470551 51.8347122, 6.2470403 51.8346544, 6.2470783 51.8345669)",,
9605238,3,Am Löwentor,residential,False,True,39.514,50,"LINESTRING (6.2472234 51.835052, 6.2470551 51.8347122)",,
"[676272329, 225813362, 108188206]","['4', '3']",Gerhard-Storm-Straße,tertiary,False,True,53.76,50,"LINESTRING (6.2472234 51.835052, 6.247249 51.8351091, 6.2472665 51.8351412, 6.2472886 51.8351801, 6.2473037 51.8352171, 6.2473215 51.835257, 6.2473539 51.8353494, 6.2473846 51.8354772, 6.2473787 51.8355229)",,
"[459047361, 9605243, 510513377, 459047359]",2,Großer Wall,secondary,False,False,379.11,50,"LINESTRING (6.2472234 51.835052, 6.2470915 51.8350787, 6.2463666 51.8351901, 6.2452342 51.8353604, 6.2441331 51.8355293, 6.2439598 51.8355519, 6.2437715 51.8355788, 6.2436017 51.8355885, 6.2434632 51.8355845, 6.2433291 51.8355662, 6.2431835 51.8355409, 6.242977 51.8354813, 6.2427479 51.8353996, 6.2419942 51.8351296)",L 7,
18491285,1,'s-Heerenberger Straße,tertiary,False,False,135.327,,"LINESTRING (6.2360672 51.8339002, 6.2361758 51.8340029, 6.2364162 51.8343369, 6.2366725 51.8346937, 6.2368955 51.8350028)",,
"[237539816, 40127920, 376252728, 376252729, 376252730]","['4', '2', '3']",Steintor,secondary,False,True,113.9,,"LINESTRING (6.2360672 51.8339002, 6.2361237 51.8338383, 6.2362 51.8337415, 6.2363528 51.8335127, 6.2365317 51.8333033, 6.2366647 51.8331866, 6.236731 51.8331514, 6.2368319 51.8331137, 6.2369738 51.833087)",L 7,
18491285,1,'s-Heerenberger Straße,tertiary,False,True,135.327,,"LINESTRING (6.2368955 51.8350028, 6.2366725 51.8346937, 6.2364162 51.8343369, 6.2361758 51.8340029, 6.2360672 51.8339002)",,
344096422,1,Grollscher Weg,residential,False,True,148.515,30,"LINESTRING (6.2368955 51.8350028, 6.2369587 51.8349894, 6.2370219 51.8349762, 6.2371256 51.8349612, 6.2372854 51.8349681, 6.237566 51.8350415, 6.2378749 51.835153, 6.2385754 51.8354123, 6.2388134 51.835506)",,
18500960,1,Wassertor,living_street,False,False,65.277,,"LINESTRING (6.2459928 51.8300262, 6.2468955 51.8298434)",,
37775741,1,,residential,True,False,3.932,30,"LINESTRING (6.2459928 51.8300262, 6.2459922 51.8300351, 6.2459808 51.8300478, 6.2459643 51.830054)",,roundabout
"[18500961, 18500963]",1,"['Fischerort', 'Alter Markt']",residential,True,False,105.82300000000001,30,"LINESTRING (6.2441051 51.8297181, 6.2435772 51.8298186, 6.2431811 51.8298863, 6.2426187 51.8299649)",,
400647287,,Christoffelstraße,residential,False,True,23.656999999999996,30,"LINESTRING (6.2441051 51.8297181, 6.244152 51.8298698, 6.2441747 51.8299264)",,
18501351,3,Agnetenstraße,residential,False,False,32.839,50,"LINESTRING (6.2405208 51.834487, 6.2408216 51.8342575)",,
110373243,2,Großer Wall,secondary,False,False,21.483,50,"LINESTRING (6.2405208 51.834487, 6.2402797 51.834364)",L 7,
"[459047360, 459047358]","['2', '3']",Großer Wall,secondary,False,True,124.424,50,"LINESTRING (6.2405208 51.834487, 6.2411417 51.8348194, 6.2419942 51.8351296)",L 7,
