osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,width
26787758,Leipziger Straße,residential,30,False,False,30.696,"LINESTRING (7.1247414 50.5469717, 7.1246347 50.5467041)",,,,
"[26752929, 26752930]","['Stettiner Straße', 'Tilsiter Straße']",residential,30,False,True,371.47999999999996,"LINESTRING (7.1247414 50.5469717, 7.1246984 50.5471137, 7.1245859 50.5472265, 7.1236545 50.5473483, 7.122196 50.5475233, 7.1214014 50.5475026, 7.1210838 50.5474953, 7.1210756 50.5473875, 7.121102 50.5466877)",,,,
26787758,Leipziger Straße,residential,30,False,False,60.109,"LINESTRING (7.1246347 50.5467041, 7.1244148 50.5461819)",,,,
26787758,Leipziger Straße,residential,30,False,True,30.696,"LINESTRING (7.1246347 50.5467041, 7.1247414 50.5469717)",,,,
6266951,Danziger Straße,residential,30,False,False,107.548,"LINESTRING (7.1246347 50.5467041, 7.1242314 50.5467151, 7.123113 50.5467157)",,,,
6266951,Danziger Straße,residential,30,False,True,75.788,"LINESTRING (7.1200374 50.5466049, 7.1202937 50.5466274, 7.121102 50.5466877)",,,,
22662324,Ringener Straße,secondary,50,False,False,158.79,"LINESTRING (7.1200374 50.5466049, 7.1199143 50.5472062, 7.1197475 50.548021)",2,L 83,,
24368245,,secondary,50,False,False,152.02300000000002,"LINESTRING (7.1200374 50.5466049, 7.1200628 50.5465264, 7.1203606 50.5456042, 7.1204196 50.5453746, 7.1204482 50.5452631)",2,L 83,,
26752931,Ahrweilerstraße,residential,50,False,False,328.11,"LINESTRING (7.1200374 50.5466049, 7.1191831 50.5465624, 7.1179934 50.5465098, 7.1168192 50.5464501, 7.115406 50.5463923)",,,,
"[23179531, 1076700043]",St.-Pius-Straße,tertiary,,False,False,124.559,"LINESTRING (7.1219001 50.5412408, 7.1221848 50.5413197, 7.122369 50.5412924, 7.1225498 50.5412193, 7.1229004 50.5409982, 7.1229805 50.5409477, 7.1232662 50.5407335)",2,,,
"[1218814882, 32087217, 32087218]",,secondary,50,False,True,416.0,"LINESTRING (7.1219001 50.5412408, 7.121589 50.5418587, 7.1214807 50.5421675, 7.1213003 50.5427265, 7.1205743 50.5448831)",2,L 83,yes,
"[30189424, 48580980, 233850605]",St.-Pius-Straße,tertiary,"['50', '30']",False,False,88.722,"LINESTRING (7.1232662 50.5407335, 7.1234301 50.5407998, 7.1238342 50.5409671, 7.1240475 50.5410371, 7.1242462 50.5410766, 7.1243741 50.5410936)",2,,,
142674086,St.-Pius-Straße,residential,50,False,True,231.49699999999999,"LINESTRING (7.1232662 50.5407335, 7.1228043 50.5405214, 7.1225446 50.5404484, 7.1223801 50.5404137, 7.1220842 50.5403434, 7.121744 50.5403123, 7.1214878 50.5403012, 7.1210342 50.5402973, 7.1205764 50.5403226, 7.1203812 50.5403502, 7.1201711 50.5403898)",,,,
"[23179531, 1076700043]",St.-Pius-Straße,tertiary,,False,True,124.559,"LINESTRING (7.1232662 50.5407335, 7.1229805 50.5409477, 7.1229004 50.5409982, 7.1225498 50.5412193, 7.122369 50.5412924, 7.1221848 50.5413197, 7.1219001 50.5412408)",2,,,
23156800,Uhlandstraße,residential,,False,True,152.64,"LINESTRING (7.1243741 50.5410936, 7.1243649 50.5411869, 7.124306 50.5415576, 7.124101 50.5424101, 7.1240922 50.542454)",,,,
"[30189424, 48580980, 233850605]",St.-Pius-Straße,tertiary,"['50', '30']",False,True,88.722,"LINESTRING (7.1243741 50.5410936, 7.1242462 50.5410766, 7.1240475 50.5410371, 7.1238342 50.5409671, 7.1234301 50.5407998, 7.1232662 50.5407335)",2,,,
1220397654,Herderweg,residential,30,False,False,51.243,"LINESTRING (7.1239905 50.5433509, 7.1247098 50.5434094)",,,,
23156798,Uhlandstraße,residential,30,False,True,56.894000000000005,"LINESTRING (7.1239905 50.5433509, 7.1239885 50.5432472, 7.1239886 50.5430872, 7.1240078 50.5429128, 7.1240049 50.5428397)",,,,
"[27384757, 27384758, 27384759]","['Mörikestraße', 'Eichendorffstraße', 'Lessingstraße']",residential,30,False,False,285.07800000000003,"LINESTRING (7.1239905 50.5433509, 7.121915 50.5432694, 7.121835 50.5432875, 7.1217382 50.5435404, 7.1216701 50.5437465, 7.1216776 50.5438249, 7.1217268 50.5438646, 7.1222414 50.5439484, 7.1223803 50.544003, 7.1225143 50.5441228)",,,,
956239729,Uhlandstraße,residential,30,False,True,106.101,"LINESTRING (7.1239905 50.5433509, 7.123947 50.54383, 7.1238297 50.5442984)",,,,
23156800,Uhlandstraße,residential,,False,False,152.64000000000001,"LINESTRING (7.1240922 50.542454, 7.124101 50.5424101, 7.124306 50.5415576, 7.1243649 50.5411869, 7.1243741 50.5410936)",,,,
1220397654,Herderweg,residential,30,False,True,51.243,"LINESTRING (7.1247098 50.5434094, 7.1239905 50.5433509)",,,,
1218814881,Sebastianstraße,tertiary,50,False,False,7.986,"LINESTRING (7.1253522 50.5449442, 7.1254652 50.5449429)",2,,,
1218814881,Sebastianstraße,tertiary,50,False,True,103.01800000000001,"LINESTRING (7.1253522 50.5449442, 7.1249568 50.5449238, 7.1246084 50.5449165, 7.1243264 50.5449406, 7.124126 50.5449758, 7.1239154 50.5450166)",2,,,
22662320,Sebastianstraße,tertiary,50,False,False,310.15000000000003,"LINESTRING (7.1204482 50.5452631, 7.119716 50.5452621, 7.1194413 50.5452596, 7.1188482 50.5452851, 7.1181027 50.5453156, 7.1177737 50.5453097, 7.1172696 50.545293, 7.1160645 50.545251)",2,,,
24368245,,secondary,50,False,True,152.023,"LINESTRING (7.1204482 50.5452631, 7.1204196 50.5453746, 7.1203606 50.5456042, 7.1200628 50.5465264, 7.1200374 50.5466049)",2,L 83,,
26240026,Sebastianstraße,tertiary,50,False,False,41.186,"LINESTRING (7.1204482 50.5452631, 7.1206752 50.5452609, 7.121031 50.5452574)",2,,,
"[1095274920, 48580981]",,secondary,50,False,False,43.183,"LINESTRING (7.1204482 50.5452631, 7.1204765 50.5451777, 7.1205432 50.5449769, 7.1205743 50.5448831)",2,L 83,,
