osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,tunnel,maxspeed,width,bridge
23976190,St 2230,Luitpoldstraße,secondary,False,False,36.658,"LINESTRING (10.908131 48.9546598, 10.9081733 48.9543313)",,,,,
23976190,St 2230,Luitpoldstraße,secondary,False,True,30.887999999999998,"LINESTRING (10.908131 48.9546598, 10.9080919 48.9548398, 10.9080165 48.954922)",,,,,
24848337,,Goethestraße,residential,False,False,66.316,"LINESTRING (10.908131 48.9546598, 10.9085563 48.9546489, 10.9085882 48.9546481, 10.908921 48.9546379, 10.9090383 48.9546332)",,,,,
246283333,St 2230,Wettelsheimer Straße,secondary,False,True,42.769,"LINESTRING (10.9065648 48.9582587, 10.9065496 48.9586432)",2,,,,
46871194,St 2230,Wettelsheimer Straße,secondary,False,False,345.09600000000006,"LINESTRING (10.9065648 48.9582587, 10.9065881 48.9578082, 10.906527 48.957375, 10.9065055 48.9573011, 10.9064398 48.9570606, 10.9063697 48.9568039, 10.9063675 48.9567859, 10.9063644 48.9567599, 10.9063508 48.9565178, 10.9063618 48.9562615, 10.9064143 48.955845, 10.9064274 48.9557085, 10.9064288 48.9555604, 10.9064007 48.9554606, 10.906355 48.955357, 10.9062866 48.9552082, 10.9062747 48.9551824)",2,,,,
246283999,St 2216,Hahnenkammstraße,secondary,False,True,119.021,"LINESTRING (10.9065648 48.9582587, 10.9057821 48.9582538, 10.9049399 48.9581921)",2,,,,
23976190,St 2230,Luitpoldstraße,secondary,False,False,30.887999999999998,"LINESTRING (10.9080165 48.954922, 10.9080919 48.9548398, 10.908131 48.9546598)",,,,,
"[24964602, 262358100, 51257901]",St 2230,Oettinger Straße,secondary,False,True,112.18499999999999,"LINESTRING (10.9080165 48.954922, 10.9079019 48.9548735, 10.9077355 48.9548447, 10.9073114 48.9548254, 10.9070519 48.9548157, 10.9065832 48.9547983, 10.9065144 48.9548153)",2,yes,50,5,
"[18336306, 972789397]",St 2216,Luitpoldstraße,secondary,False,True,54.135000000000005,"LINESTRING (10.9080165 48.954922, 10.9081275 48.9550277, 10.9083211 48.9552283, 10.9084414 48.9553199)",2,,,,
23976190,St 2230,Luitpoldstraße,secondary,False,True,143.04399999999998,"LINESTRING (10.907845 48.9514581, 10.9077579 48.9516107, 10.9077737 48.9518802, 10.9078271 48.9524229, 10.9079235 48.9527263)",,,,,
"[24964600, 65434940]",St 2230,"['Oettinger Straße', 'Wettelsheimer Straße']",secondary,False,True,47.43,"LINESTRING (10.9065144 48.9548153, 10.9064341 48.9548549, 10.9063503 48.9549148, 10.9063006 48.954981, 10.9062701 48.9550433, 10.9062626 48.9551089, 10.9062686 48.9551693, 10.9062747 48.9551824)",2,,,,
25015744,,Am Perlachberg,residential,False,False,68.285,"LINESTRING (10.9065144 48.9548153, 10.9065066 48.9547322, 10.9065595 48.9542025)",,,,,
"[24964602, 262358100, 51257901]",St 2230,Oettinger Straße,secondary,False,False,112.18499999999999,"LINESTRING (10.9065144 48.9548153, 10.9065832 48.9547983, 10.9070519 48.9548157, 10.9073114 48.9548254, 10.9077355 48.9548447, 10.9079019 48.9548735, 10.9080165 48.954922)",2,yes,50,5,
23976190,St 2230,Luitpoldstraße,secondary,False,True,36.658,"LINESTRING (10.9081733 48.9543313, 10.908131 48.9546598)",,,,,
24848336,,Gutenbergstraße,residential,True,False,61.244,"LINESTRING (10.9081733 48.9543313, 10.9090117 48.9543475)",,,,,
23976190,St 2230,Luitpoldstraße,secondary,False,False,90.978,"LINESTRING (10.9081733 48.9543313, 10.9082594 48.9539608, 10.9083026 48.9537636, 10.9083113 48.953645, 10.9082997 48.9535198)",,,,,
25015742,,Gutenbergstraße,residential,False,False,77.53099999999999,"LINESTRING (10.9081733 48.9543313, 10.9072132 48.95424, 10.9071225 48.9542311)",,,,,
246283333,St 2230,Wettelsheimer Straße,secondary,False,False,42.769,"LINESTRING (10.9065496 48.9586432, 10.9065648 48.9582587)",2,,,,
24966677,,Wettelsheimer Straße,unclassified,False,False,102.477,"LINESTRING (10.9065496 48.9586432, 10.9066455 48.9587617, 10.9066964 48.9591402, 10.9066397 48.9594233, 10.9066384 48.9595452)",,,,,
18336305,,Bahnhofstraße,residential,False,False,34.733999999999995,"LINESTRING (10.9087055 48.9574454, 10.9087272 48.9573156, 10.9087574 48.9571349)",,,50,,
18336305,,Bahnhofstraße,residential,False,True,189.70999999999998,"LINESTRING (10.9087055 48.9574454, 10.9086977 48.9576947, 10.9087107 48.9577894, 10.9087381 48.957884, 10.9090404 48.9586233, 10.9091362 48.9588747, 10.9092591 48.9591015)",,,50,,
23976193,,Ringstraße,residential,False,True,126.79,"LINESTRING (10.9087055 48.9574454, 10.908006 48.9573656, 10.9076779 48.9573215, 10.9075191 48.9572999, 10.9073751 48.957278, 10.9073508 48.9571715, 10.9073125 48.9570308)",,,50,,
"[18336305, 1057550060]",,Bahnhofstraße,residential,False,False,64.427,"LINESTRING (10.9087574 48.9571349, 10.9087765 48.9569725, 10.908781 48.9567715, 10.9087818 48.9565965, 10.908782 48.956556)",,,"['50', '20']",,
18336305,,Bahnhofstraße,residential,False,True,34.733999999999995,"LINESTRING (10.9087574 48.9571349, 10.9087272 48.9573156, 10.9087055 48.9574454)",,,50,,
24910000,,Hafnergasse,residential,False,False,116.143,"LINESTRING (10.9087574 48.9571349, 10.9084504 48.9571075, 10.9083674 48.9571441, 10.9075051 48.9569804, 10.9073472 48.9569549, 10.9073125 48.9570308)",,,,,
23976193,,Ringstraße,residential,False,False,115.222,"LINESTRING (10.9087109 48.9556172, 10.9085718 48.9556555, 10.9084369 48.9557275, 10.9081229 48.9559154, 10.9076723 48.9562202, 10.9075526 48.9563099)",,,50,,
1057550060,,Bahnhofstraße,residential,False,False,32.967,"LINESTRING (10.9087109 48.9556172, 10.9086782 48.95554, 10.9086415 48.9554269, 10.9086095 48.9553284)",,,20,,
1057550060,,Bahnhofstraße,residential,False,True,104.999,"LINESTRING (10.9087109 48.9556172, 10.9087609 48.9557172, 10.9087604 48.9559659, 10.9087602 48.956073, 10.9087624 48.9561213, 10.9087792 48.9564287, 10.908782 48.956556)",,,20,,
18336306,St 2216,Luitpoldstraße,secondary,False,False,12.575,"LINESTRING (10.9086095 48.9553284, 10.9085469 48.9553338, 10.9084978 48.9553333, 10.9084414 48.9553199)",2,,,,
24964388,St 2216,Hauptstraße,secondary,False,False,54.003,"LINESTRING (10.9086095 48.9553284, 10.9089304 48.9552476, 10.9089858 48.955239, 10.9091351 48.9552157, 10.9093177 48.9551941)",,,50,,
1057550060,,Bahnhofstraße,residential,False,True,32.967,"LINESTRING (10.9086095 48.9553284, 10.9086415 48.9554269, 10.9086782 48.95554, 10.9087109 48.9556172)",,,20,,
"[18336306, 972789397]",St 2216,Luitpoldstraße,secondary,False,False,54.135000000000005,"LINESTRING (10.9084414 48.9553199, 10.9083211 48.9552283, 10.9081275 48.9550277, 10.9080165 48.954922)",2,,,,
18336306,St 2216,Luitpoldstraße,secondary,False,True,12.575,"LINESTRING (10.9084414 48.9553199, 10.9084978 48.9553333, 10.9085469 48.9553338, 10.9086095 48.9553284)",2,,,,
18336312,,Alte Burgstraße,residential,False,True,204.36199999999997,"LINESTRING (10.9084414 48.9553199, 10.9082982 48.9553595, 10.9080304 48.9553868, 10.9077123 48.9553914, 10.9072418 48.9553983, 10.907174 48.9554219, 10.907146 48.9554543, 10.9071654 48.9555623, 10.9071966 48.9558688, 10.9072215 48.956073, 10.9072547 48.9561436, 10.9074568 48.956269, 10.9075526 48.9563099)",,,,,
24896122,,Josef-Lidl-Straße,residential,False,False,176.49800000000002,"LINESTRING (10.9139633 48.9555791, 10.9139174 48.9557262, 10.9138318 48.955777, 10.9137978 48.9557941, 10.913652 48.9558743, 10.9132762 48.9560829, 10.9126451 48.9564191, 10.9123414 48.9564522, 10.9121138 48.9564507)",,,,,
"[27635532, 27635533, 27635524]",St 2216,Hauptstraße,secondary,False,True,124.156,"LINESTRING (10.9139633 48.9555791, 10.9140234 48.9555998, 10.9144125 48.9557437, 10.9147789 48.9559236, 10.9149496 48.9560275, 10.9151603 48.9561681, 10.915297 48.9562597)",2,,,,yes
"[293083892, 27635222]",St 2216,Hauptstraße,secondary,False,True,98.857,"LINESTRING (10.9139633 48.9555791, 10.9136697 48.955491, 10.9135661 48.9554673, 10.9133013 48.9554103, 10.9130346 48.9553661, 10.9128406 48.9553437, 10.91267 48.9553397)",,,,,
24848337,,Goethestraße,residential,False,True,44.998,"LINESTRING (10.9096435 48.954648, 10.909549 48.9546179, 10.9092752 48.9546267, 10.9090383 48.9546332)",,,,,
24848338,,Kanalstraße,residential,False,False,51.318,"LINESTRING (10.9096435 48.954648, 10.9099602 48.9544762, 10.9101827 48.954352)",,,,,
24848338,,Kanalstraße,residential,False,True,70.609,"LINESTRING (10.9096435 48.954648, 10.9095252 48.9547164, 10.9093779 48.9548024, 10.90933 48.9548482, 10.9093087 48.9550528, 10.9093177 48.9551941)",,,,,
24848338,,Kanalstraße,residential,False,True,55.592,"LINESTRING (10.9106718 48.9539699, 10.9105719 48.9540665, 10.9102729 48.9542857, 10.9101827 48.954352)",,,,,
24937331,,Jahnstraße,residential,False,False,59.742999999999995,"LINESTRING (10.9106718 48.9539699, 10.9108066 48.9539439, 10.9110055 48.9539118, 10.9111014 48.9538915, 10.9112537 48.9538592, 10.9114502 48.9538068)",,,,,
27635229,,Kanalstraße,residential,False,False,82.77799999999999,"LINESTRING (10.9106718 48.9539699, 10.9106264 48.9538608, 10.9106002 48.9534642, 10.9105577 48.9532315)",,,,,
18336305,,Bahnhofstraße,residential,False,False,189.71,"LINESTRING (10.9092591 48.9591015, 10.9091362 48.9588747, 10.9090404 48.9586233, 10.9087381 48.957884, 10.9087107 48.9577894, 10.9086977 48.9576947, 10.9087055 48.9574454)",,,50,,
