osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,junction,ref,tunnel
122050067,True,1,Dr.-Konrad-Adenauer-Straße,tertiary,50,False,27.537999999999997,"LINESTRING (7.8650958 49.8480024, 7.8649905 49.8481885, 7.8649377 49.8482245)",,,,
"[122050072, 107938755, 107938757]",False,2,Dr.-Konrad-Adenauer-Straße,tertiary,50,False,225.457,"LINESTRING (7.8650958 49.8480024, 7.8651192 49.8479302, 7.8655702 49.8465377, 7.8656753 49.8462132, 7.8657303 49.8460166)",yes,,,
4799509,True,1,,tertiary,50,False,12.124,"LINESTRING (7.8648104 49.8483953, 7.8647767 49.8483934, 7.8647444 49.8483871, 7.8647147 49.8483766, 7.864689 49.8483625, 7.8646683 49.8483452)",,roundabout,,
"[62461106, 25129635, 25129636]",False,2,"['Charles-de-Gaulle-Straße', 'Landfuhrbrücke']",tertiary,50,False,254.57800000000003,"LINESTRING (7.8648104 49.8483953, 7.8648166 49.84846, 7.8648348 49.8486906, 7.8648249 49.8487992, 7.8648101 49.848897, 7.8647649 49.8490264, 7.8644166 49.8500697, 7.864386 49.8501719, 7.8642324 49.8506444)",yes,,,
466597573,False,2,Dr.-Konrad-Adenauer-Straße,tertiary,50,True,58.967,"LINESTRING (7.8659099 49.8454991, 7.8657303 49.8460166)",,,,
466597573,False,2,Dr.-Konrad-Adenauer-Straße,tertiary,50,False,58.967,"LINESTRING (7.8657303 49.8460166, 7.8659099 49.8454991)",,,,
4620300,True,1,,tertiary,,False,42.416,"LINESTRING (7.8657303 49.8460166, 7.8657139 49.8458582, 7.865708 49.8458244, 7.86569 49.8457926, 7.8656741 49.845772, 7.8656488 49.8457531, 7.8656128 49.8457321, 7.8655742 49.8457165, 7.8655101 49.8456959)",,,,
"[122050072, 107938755, 107938757]",False,2,Dr.-Konrad-Adenauer-Straße,tertiary,50,True,225.457,"LINESTRING (7.8657303 49.8460166, 7.8656753 49.8462132, 7.8655702 49.8465377, 7.8651192 49.8479302, 7.8650958 49.8480024)",yes,,,
618040419,True,1,Am Römerkastell,tertiary,50,False,12.588,"LINESTRING (7.8655101 49.8456959, 7.865477 49.8457036, 7.8654423 49.8457067, 7.8654072 49.8457051, 7.8653735 49.8456989, 7.8653424 49.8456884)",,roundabout,,
4620299,True,1,Am Römerkastell,tertiary,50,False,93.217,"LINESTRING (7.864934 49.8463824, 7.8649699 49.8462, 7.865051 49.8459033, 7.8650965 49.8457881, 7.8651446 49.845692, 7.8651663 49.8456592, 7.8651926 49.8456286, 7.8652262 49.8456044, 7.8652676 49.8455903)",,,,
