osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,tunnel,junction
96583532,residential,False,False,13.029,"LINESTRING (12.7532557 54.0948428, 12.7533653 54.0948386, 12.753455 54.0948427)",,,,,,
191313516,secondary,False,False,155.679,"LINESTRING (12.7532557 54.0948428, 12.7532511 54.0947916, 12.75322 54.0946454, 12.7531509 54.0945018, 12.7530421 54.0943351, 12.752661 54.0938857, 12.7523633 54.0935574)",2,L 192,Sülzer Chaussee,50,,
191313516,secondary,False,True,56.331,"LINESTRING (12.7532557 54.0948428, 12.7532529 54.0949638, 12.7532137 54.0951472, 12.7531749 54.0952444, 12.7531173 54.0953395)",2,L 192,Sülzer Chaussee,50,,
542834329,secondary,False,False,12.247,"LINESTRING (12.7530432 54.0954407, 12.7531173 54.0953395)",2,L 192,Sülzer Chaussee,50,,
60434869,tertiary,False,False,49.041,"LINESTRING (12.7633391 54.093346, 12.7640903 54.0933254)",,,Goethestraße,,,
60434869,tertiary,False,True,53.477,"LINESTRING (12.7633391 54.093346, 12.7625232 54.0933943)",,,Goethestraße,,,
60434918,residential,False,True,173.773,"LINESTRING (12.7633391 54.093346, 12.7645013 54.0919397)",,,Teichstraße,,,
32605310,tertiary,False,False,29.943,"LINESTRING (12.7605813 54.093757, 12.7610134 54.0936659)",,,Vor dem Steintor,,,
"[713320406, 32605309, 32605310]",tertiary,False,True,45.30799999999999,"LINESTRING (12.7605813 54.093757, 12.7601127 54.0938546, 12.7599742 54.0938855, 12.7599281 54.0938958)",,,"['Vor dem Steintor', 'Karl-Marx-Straße']",,building_passage,
60434906,residential,False,True,153.83700000000002,"LINESTRING (12.7605813 54.093757, 12.7609406 54.0948148, 12.7609875 54.0948394, 12.761346 54.0948002, 12.7614367 54.0947901)",,,Wasserstraße,,,
191628596,residential,False,False,17.388,"LINESTRING (12.7640288 54.091643, 12.7639351 54.0917894)",,,Clara-Zetkin-Straße,,,
