osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width,tunnel,access,ref
"[25049517, 374967663, 374967664, 374967665, 967647964]",Bahnhofplatz,unclassified,False,False,117.497,"LINESTRING (7.949327 47.5557912, 7.9491807 47.555708, 7.9490935 47.5556691, 7.948899 47.5555855, 7.9486058 47.5554599, 7.9484408 47.555385, 7.9483959 47.5553638, 7.9483638 47.5553267, 7.948474 47.555085)",,,,,,
"[374967666, 374967667, 331544797]",Bahnhofstraße,residential,False,False,43.1,"LINESTRING (7.949327 47.5557912, 7.9493804 47.555741, 7.9495274 47.555603, 7.9495949 47.5555353, 7.9496206 47.5555095, 7.9496538 47.5554726)",2,50,,,,
"[1173394532, 331632553, 11262921, 1064511262, 331544955, 331544798]",Bahnhofstraße,residential,False,True,248.04500000000004,"LINESTRING (7.949327 47.5557912, 7.9493155 47.5558295, 7.9493458 47.5558693, 7.9493969 47.5559107, 7.9494681 47.5559467, 7.9495768 47.555997, 7.9498412 47.5561203, 7.9506452 47.5564915, 7.9514553 47.556871, 7.9515646 47.5569159, 7.9516785 47.5569392, 7.9517725 47.5569315, 7.9518621 47.556899, 7.9519303 47.556858, 7.9519761 47.5568276)",2,50,,,,
"[329613216, 374967671, 967940886, 52089799]",Waldshuter Straße,tertiary,False,False,225.547,"LINESTRING (7.9496538 47.5554726, 7.9497919 47.5555349, 7.9499242 47.5555945, 7.9500489 47.5556515, 7.9502813 47.5557598, 7.950624 47.5559211, 7.9508572 47.5560276, 7.9509407 47.5560658, 7.9512451 47.556248, 7.9516123 47.5565427, 7.951921 47.5567816)",2,30,,,,
"[374967666, 374967667, 331544797]",Bahnhofstraße,residential,False,True,43.1,"LINESTRING (7.9496538 47.5554726, 7.9496206 47.5555095, 7.9495949 47.5555353, 7.9495274 47.555603, 7.9493804 47.555741, 7.949327 47.5557912)",2,50,,,,
"[374967672, 374967673, 26531564, 967651852]",Waldshuter Straße,tertiary,False,True,148.377,"LINESTRING (7.9496538 47.5554726, 7.9495575 47.5554294, 7.9494655 47.5553881, 7.9493479 47.5553354, 7.9492127 47.5552753, 7.948541 47.5549801, 7.948424 47.5549288, 7.9483517 47.5549, 7.948223 47.5548458, 7.947993 47.5547487)",2,30,,,,
967940887,Waldshuter Straße,tertiary,False,True,6.577,"LINESTRING (7.9519761 47.5568276, 7.951921 47.5567816)",3,30,,,,
"[1173394532, 331632553, 11262921, 1064511262, 331544955, 331544798]",Bahnhofstraße,residential,False,False,248.045,"LINESTRING (7.9519761 47.5568276, 7.9519303 47.556858, 7.9518621 47.556899, 7.9517725 47.5569315, 7.9516785 47.5569392, 7.9515646 47.5569159, 7.9514553 47.556871, 7.9506452 47.5564915, 7.9498412 47.5561203, 7.9495768 47.555997, 7.9494681 47.5559467, 7.9493969 47.5559107, 7.9493458 47.5558693, 7.9493155 47.5558295, 7.949327 47.5557912)",2,50,,,,
"[374967672, 374967673, 26531564, 967651852]",Waldshuter Straße,tertiary,False,False,148.37699999999998,"LINESTRING (7.947993 47.5547487, 7.948223 47.5548458, 7.9483517 47.5549, 7.948424 47.5549288, 7.948541 47.5549801, 7.9492127 47.5552753, 7.9493479 47.5553354, 7.9494655 47.5553881, 7.9495575 47.5554294, 7.9496538 47.5554726)",2,30,,,,
"[153992416, 1241656139, 1055895086]",Bergseestraße,residential,True,False,118.001,"LINESTRING (7.947993 47.5547487, 7.9479631 47.5548107, 7.947945 47.554843, 7.9479158 47.554903, 7.9477464 47.5552896, 7.9477381 47.5553062, 7.9477018 47.555379, 7.9476834 47.5554175, 7.9476331 47.5555175, 7.9475731 47.5556065, 7.947544 47.5556363, 7.9474435 47.5557369)",1,50,6,,,
