osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,access,tunnel
"[125696216, 125696206]",True,"['5', '2']",B 37,Bahnhofstraße,primary,50,False,181.352,"LINESTRING (8.7903027 49.3945112, 8.7904323 49.3944833, 8.7907335 49.3944799, 8.7912137 49.3944734, 8.7913959 49.3944719, 8.791628 49.3944723, 8.7924412 49.3944604, 8.7928013 49.3944618)",,,
61655293,True,2,B 37,,primary,50,False,10.023,"LINESTRING (8.7941075 49.3946298, 8.79397 49.394619)",,,
"[1126935161, 24568229]",True,2,B 37;B 45,An der Friedensbrücke,primary,50,False,75.038,"LINESTRING (8.7941075 49.3946298, 8.7941096 49.3946632, 8.7941167 49.3946949, 8.794237 49.3949133, 8.7944328 49.3952685)",,,
25595784,False,1,,Neckarsteinacher Straße,residential,,True,84.45300000000002,"LINESTRING (8.7987333 49.3972685, 8.7987588 49.3973151, 8.7988034 49.3973913, 8.7988545 49.3974633, 8.7988658 49.3974769, 8.798883 49.3974944, 8.7988999 49.3975091, 8.7989212 49.3975265, 8.7989492 49.3975461, 8.7991445 49.3976665, 8.7992746 49.3977464, 8.7993883 49.3978394, 8.7994218 49.3978671)",,,
25595786,False,2,B 37;B 45,Neckarsteinacher Straße,primary,50,False,128.42,"LINESTRING (8.7987333 49.3972685, 8.798901 49.3972238, 8.7990297 49.39718, 8.7993708 49.3970423, 8.7994197 49.3970215, 8.7999558 49.3967961, 8.8001108 49.396735, 8.8002605 49.3966842)",,,
25595786,False,2,B 37;B 45,Neckarsteinacher Straße,primary,50,True,55.507000000000005,"LINESTRING (8.7987333 49.3972685, 8.7986376 49.3972889, 8.798528 49.3973089, 8.7984298 49.3973223, 8.798337 49.397335, 8.7979861 49.3973789)",,,
"[25099688, 276075254]",False,,,Uferstraße,residential,30,True,174.051,"LINESTRING (8.8008408 49.3965413, 8.8008184 49.3965084, 8.8007985 49.3964909, 8.8007686 49.3964752, 8.8007338 49.3964631, 8.8006982 49.3964553, 8.800644 49.3964474, 8.8004445 49.3964333, 8.799947 49.3963966, 8.7996824 49.3963837, 8.7993379 49.3963828, 8.7992568 49.3963866, 8.7991085 49.3964023, 8.7988083 49.3964695, 8.7985451 49.3965409)",,,
203187480,False,2,B 37;B 45,Neckarsteinacher Straße,primary,50,True,45.001999999999995,"LINESTRING (8.8008408 49.3965413, 8.8006779 49.3965715, 8.8005878 49.3965905, 8.8004675 49.3966222, 8.800372 49.3966482, 8.8002605 49.3966842)",,,
95222770,True,3,B 45,Bammentaler Straße,primary,50,False,29.59,"LINESTRING (8.7946839 49.3942215, 8.7943731 49.3943944)",,,
"[1092913040, 31098865, 26399971, 122702084]",False,4,B 45,Bammentaler Straße,primary,50,True,295.791,"LINESTRING (8.7946839 49.3942215, 8.7949688 49.3941089, 8.7952152 49.3939902, 8.7953586 49.3939076, 8.7955063 49.3938047, 8.7956926 49.3936595, 8.7958477 49.3934987, 8.7958967 49.3934337, 8.7959556 49.3933683, 8.7960098 49.3932959, 8.7960413 49.3932469, 8.7961127 49.3931431, 8.7961668 49.3930584, 8.7962111 49.3929676, 8.7962514 49.3928685, 8.7963067 49.3927111, 8.796339 49.3925701, 8.796371 49.3923805, 8.7963827 49.3922179, 8.7963955 49.3919615)",,,
