osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,tunnel,junction,bridge
72223999,2,Lindauer Straße,tertiary,50,False,False,18.49,"LINESTRING (10.310302 47.7236992, 10.3103592 47.72372, 10.310521 47.7237763)",,,,,
72223999,2,Lindauer Straße,tertiary,50,False,True,18.49,"LINESTRING (10.310521 47.7237763, 10.3103592 47.72372, 10.310302 47.7236992)",,,,,
72865845,,Mozartstraße,tertiary_link,50,True,False,49.218,"LINESTRING (10.310521 47.7237763, 10.3107467 47.7237785, 10.3108942 47.723755, 10.3109956 47.7237103, 10.3111172 47.7236409)",,,,,
215378441,2,Lindauer Straße,tertiary,50,False,False,44.419,"LINESTRING (10.310521 47.7237763, 10.3107822 47.723857, 10.3110684 47.7239306)",,,,,
8653161,2,Mozartstraße,tertiary,50,False,False,32.419,"LINESTRING (10.3110684 47.7239306, 10.3111172 47.7236409)",B 19,,,,
49776167,2,Beethovenstraße,tertiary,50,False,True,81.349,"LINESTRING (10.3110684 47.7239306, 10.3121363 47.724069)",B 19,,,,
8652907,2,Salzstraße,tertiary,50,False,False,103.243,"LINESTRING (10.3110684 47.7239306, 10.3110348 47.7241392, 10.3109927 47.724425, 10.310927 47.7248542)",,,,,
215378441,2,Lindauer Straße,tertiary,50,False,True,44.419,"LINESTRING (10.3110684 47.7239306, 10.3107822 47.723857, 10.310521 47.7237763)",,,,,
49776167,2,Beethovenstraße,tertiary,50,False,False,81.349,"LINESTRING (10.3121363 47.724069, 10.3110684 47.7239306)",B 19,,,,
49776167,2,Beethovenstraße,tertiary,50,False,True,85.55,"LINESTRING (10.3121363 47.724069, 10.313255 47.724229)",B 19,,,,
"[9608177, 904442026, 8653156]",,"['Bodmanstraße', 'Am Königsplatz']",residential,50,False,False,228.321,"LINESTRING (10.3121363 47.724069, 10.3120544 47.7243641, 10.3120345 47.7244359, 10.3120087 47.7245466, 10.3119995 47.7245868, 10.3119882 47.7246377, 10.3118242 47.7253527, 10.3118125 47.7253978, 10.3117672 47.7254508, 10.3108235 47.7253337)",,8.3,,,
"[4330208, 26819621, 70265926, 26819623, 49707464, 70265929, 70265912]",,"['Linggstraße', ""Auf'm Plätzle"", 'Zwingerstraße']","['residential', 'living_street']",20,False,"[False, True]",339.04099999999994,"LINESTRING (10.3145395 47.7243377, 10.3145134 47.7244256, 10.3144356 47.7245956, 10.3142942 47.724868, 10.3142674 47.7249197, 10.3141281 47.7251673, 10.3140466 47.725317, 10.3139662 47.7254471, 10.3139504 47.7254661, 10.3138598 47.7255749, 10.3138371 47.7256021, 10.3142359 47.7258818, 10.3143201 47.7258711, 10.3143872 47.7258402, 10.3144384 47.7257854, 10.3145841 47.7256431, 10.3147808 47.7254059, 10.315111 47.7247563)",,,,,
8117928,2,Beethovenstraße,tertiary,50,False,False,97.79599999999999,"LINESTRING (10.3145395 47.7243377, 10.3143863 47.7243508, 10.3142079 47.7243618, 10.3140216 47.7243459, 10.313255 47.724229)",B 19,,,,
"[8117905, 141673698]",2,"['Beethovenstraße', 'Freudenberg']",tertiary,50,False,True,250.33299999999997,"LINESTRING (10.3145395 47.7243377, 10.3148476 47.724289, 10.3149118 47.7242778, 10.3154541 47.724185, 10.3157405 47.7241586, 10.3164604 47.7241118, 10.3168031 47.7240895, 10.3178472 47.7240316)",B 19,,,,
