osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,bridge,tunnel,access
203799377,2,Carrefour Helbronner,secondary,50,roundabout,True,False,29.736000000000004,"LINESTRING (6.875195 45.9204864, 6.8752528 45.9205055, 6.8752998 45.9205357, 6.8753315 45.9205744, 6.8753452 45.920618, 6.8753394 45.9206624, 6.8753147 45.9207036)",,,,
"[358375656, 368628316, 25496405, 25496404]","['2', '3']",Avenue Cachat Le Géant,secondary,50,,False,True,247.99799999999996,"LINESTRING (6.8728146 45.9245959, 6.8728794 45.9245275, 6.8729492 45.9244449, 6.8730211 45.9243899, 6.8731076 45.9243395, 6.8732031 45.9242985, 6.8733004 45.9242667, 6.8734177 45.9242356, 6.8735156 45.9242173, 6.8736848 45.9242007, 6.8739477 45.9241916, 6.8741158 45.9241973, 6.8742874 45.9242005, 6.8744549 45.9241923, 6.8746139 45.9241754, 6.8747237 45.9241594, 6.8749611 45.9241066, 6.8751948 45.924024, 6.8753417 45.923975, 6.8754814 45.9239071, 6.875639 45.9237957)",D 1506,yes,,
434880813,2,Carrefour du Mont Blanc,secondary,50,roundabout,True,False,16.88,"LINESTRING (6.8728146 45.9245959, 6.8728474 45.924616, 6.8728709 45.9246416, 6.8728831 45.9246707, 6.8728832 45.9247011, 6.872871 45.9247302)",,,,
"[434880832, 434880833, 434880837, 434880838, 587849049, 307415322, 307415324]",2,Route du Bouchet,secondary,"['50', '30']",,False,False,268.273,"LINESTRING (6.872871 45.9247302, 6.8729583 45.9247734, 6.8730466 45.924813, 6.8731436 45.9248809, 6.8732936 45.9249949, 6.8734961 45.9251653, 6.8737473 45.9253767, 6.8738442 45.9254582, 6.8738943 45.9255004, 6.8739746 45.9255715, 6.8740231 45.9256143, 6.8742068 45.9257765, 6.8742794 45.925848, 6.8744051 45.9259579, 6.8744896 45.9260329, 6.8745845 45.9261272, 6.8746652 45.9262245, 6.8749311 45.9266003, 6.8749551 45.9266344)",D 1506,,,
434880813,2,Carrefour du Mont Blanc,secondary,50,roundabout,True,False,25.837000000000003,"LINESTRING (6.872871 45.9247302, 6.8728481 45.9247555, 6.872816 45.9247755, 6.8727773 45.9247885, 6.872737 45.9247936, 6.8726961 45.9247911, 6.8726577 45.9247812, 6.8726243 45.9247647, 6.8725983 45.9247426)",,,,
209102089,1,Rond-Point de la Mollard,tertiary,50,roundabout,True,False,17.884,"LINESTRING (6.8675694 45.9236705, 6.8675329 45.9236618, 6.8675012 45.9236465, 6.8674767 45.9236258, 6.8674613 45.9236013, 6.8674561 45.9235747, 6.8674616 45.9235482)",,,,
1086394159,2,Allée Recteur Payot,tertiary,50,,False,True,12.907,"LINESTRING (6.8675694 45.9236705, 6.867568 45.9237251, 6.8675745 45.9237864)",,,,
4821016,2,Rue de la Mollard,residential,30,,False,False,37.2,"LINESTRING (6.8674616 45.9235482, 6.8674016 45.9235285, 6.867318 45.9235023, 6.8672914 45.9234946, 6.8672669 45.9234932, 6.8672099 45.9234937, 6.8669978 45.9235028)",,,,
209102089,1,Rond-Point de la Mollard,tertiary,50,roundabout,True,False,9.387,"LINESTRING (6.8674616 45.9235482, 6.8674783 45.9235225, 6.8675048 45.9235013, 6.867539 45.9234863)",,,,
209102089,1,Rond-Point de la Mollard,tertiary,50,roundabout,True,False,34.263,"LINESTRING (6.8676166 45.923479, 6.8676537 45.9234866, 6.8676863 45.923501, 6.867712 45.9235211, 6.8677288 45.9235453, 6.8677354 45.9235718, 6.8677313 45.9235986, 6.8677169 45.9236235, 6.8676899 45.9236469, 6.8676539 45.9236634, 6.8676124 45.9236715, 6.8675694 45.9236705)",,,,
