osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,access,width
124162589,2,B 246,Markt,primary,30,False,False,72.155,"LINESTRING (12.0733936 52.1160664, 12.0735015 52.116045, 12.0735719 52.116034, 12.073724 52.11602, 12.073905 52.1160039, 12.0741625 52.11598, 12.0744338 52.1159583)",,,
786491676,2,B 246,Burgstraße,primary,30,False,True,110.951,"LINESTRING (12.0733936 52.1160664, 12.0733151 52.1160863, 12.0732462 52.1161089, 12.0731167 52.1161544, 12.0728369 52.1162519, 12.0725077 52.1163624, 12.0722271 52.1164665, 12.071983 52.1165603)",,,
"[1216572722, 25039202]",2,L 55,Markt,secondary,50,False,False,42.972,"LINESTRING (12.0733936 52.1160664, 12.0733279 52.1159575, 12.0732168 52.115773, 12.0731759 52.1157038)",,,
124162589,2,B 246,Markt,primary,30,False,True,72.155,"LINESTRING (12.0744338 52.1159583, 12.0741625 52.11598, 12.073905 52.1160039, 12.073724 52.11602, 12.0735719 52.116034, 12.0735015 52.116045, 12.0733936 52.1160664)",,,
1126520188,2,B 246,Dammstraße,primary,30,False,False,120.649,"LINESTRING (12.0744338 52.1159583, 12.0745496 52.115953, 12.0746222 52.1159525, 12.0746818 52.1159544, 12.0747874 52.1159622, 12.0749087 52.1159768, 12.0750297 52.1160009, 12.0751435 52.1160318, 12.0753448 52.1160912, 12.0754696 52.1161295, 12.0756044 52.1161666, 12.0757351 52.1161981, 12.0758427 52.1162189, 12.0759496 52.1162348, 12.0760357 52.116245, 12.0761104 52.1162517)",,,
"[88447332, 748799477]",,,Bergstraße,residential,30,True,False,150.212,"LINESTRING (12.0796405 52.1158897, 12.0796154 52.1158081, 12.0795495 52.1156336, 12.0794468 52.1153522, 12.0793823 52.1151781, 12.0793437 52.1150408, 12.0793158 52.1149302, 12.0792993 52.114827, 12.0792832 52.1147319, 12.0792784 52.1146747, 12.0792822 52.1146258, 12.0792901 52.114561)",,,
124162597,2,B 246,Dammstraße,primary,50,False,False,24.551000000000002,"LINESTRING (12.0796405 52.1158897, 12.0798072 52.1158817, 12.0799992 52.1158745)",,,
"[124162597, 1090299630]",2,B 246,Dammstraße,primary,50,False,True,62.333000000000006,"LINESTRING (12.0796405 52.1158897, 12.0795926 52.1158932, 12.0794695 52.1159022, 12.0793295 52.1159136, 12.0792043 52.1159261, 12.0787401 52.1159806)",,,
25039202,2,L 55,Markt,secondary,50,False,True,28.152,"LINESTRING (12.0730353 52.1154658, 12.0731759 52.1157038)",,,
"[31313521, 1201891718]",,,Markt,residential,30,True,False,95.995,"LINESTRING (12.0730353 52.1154658, 12.0732603 52.1154231, 12.0735192 52.1153743, 12.0739299 52.1152933, 12.0743634 52.1151847)",,,
