osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,name,geometry,bridge,width,access
493920788,3,B 294;B 462,primary,60,False,True,11.406,,"LINESTRING (8.3529882 48.2915119, 8.3529008 48.2914274)",,,
792978580,2,B 294;B 462,primary,60,False,True,31.259,,"LINESTRING (8.3529882 48.2915119, 8.3532588 48.2917278)",,,
78047378,,,tertiary,,True,False,24.721999999999998,Hauptstraße,"LINESTRING (8.3529882 48.2915119, 8.3528968 48.2915693, 8.3527853 48.2916081, 8.3527039 48.2916176)",,,
290294662,,,residential,,False,True,72.473,Zollmatt,"LINESTRING (8.3495038 48.2907443, 8.3491104 48.2913412)",,,
199139567,,,tertiary,30,False,False,103.08000000000001,Hauptstraße,"LINESTRING (8.3495038 48.2907443, 8.3489536 48.290585, 8.3485553 48.2904743, 8.3484171 48.2904358, 8.3482217 48.2903815)",,,
"[199139568, 834657768, 550002941, 1093530552]",,,tertiary,50,False,True,235.235,Hauptstraße,"LINESTRING (8.3495038 48.2907443, 8.3510808 48.2912024, 8.3512471 48.2912488, 8.351466 48.2913021, 8.352081 48.2914252, 8.3523336 48.291537, 8.352422 48.2915678)",,,
32878950,,,residential,30,False,False,30.657,Schenkenzeller Straße,"LINESTRING (8.3463231 48.2901458, 8.3466498 48.2899762)",,,
309135415,2,,tertiary,30,False,False,48.98,Hauptstraße,"LINESTRING (8.3463231 48.2901458, 8.345708 48.2903087)",,,
309135415,2,,tertiary,30,False,True,78.125,Hauptstraße,"LINESTRING (8.3463231 48.2901458, 8.346669 48.2900934, 8.3469219 48.2900911, 8.3470459 48.2900951, 8.3471804 48.2901104, 8.3473552 48.2901559)",,,
39431149,,,residential,,False,False,77.831,Grünstraße,"LINESTRING (8.3448015 48.2904917, 8.3448124 48.2905488, 8.3454822 48.2907616, 8.3456497 48.2906634)",,,
309135415,2,,tertiary,30,False,False,24.502,Hauptstraße,"LINESTRING (8.3448015 48.2904917, 8.3446253 48.2904962, 8.3444708 48.2905031)",,,
