osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width
11400065,2,Heinrich-Vogl-Straße,secondary,50,False,False,113.077,"LINESTRING (11.9687592 48.0780952, 11.9687734 48.0780642, 11.9687783 48.0780348, 11.9687666 48.0779972, 11.9687525 48.0779645, 11.9686633 48.0778058, 11.9686384 48.0777616, 11.9685769 48.0776226, 11.9685353 48.0774279, 11.968532 48.0772886, 11.9685373 48.0772075, 11.9685413 48.0771039)",,
"[605641944, 26937044, 26937045, 605641943]",2,Eberhardstraße,secondary,50,False,True,99.119,"LINESTRING (11.9687592 48.0780952, 11.9687439 48.0781151, 11.968725 48.0781303, 11.9686974 48.0781474, 11.9686782 48.0781611, 11.9686716 48.0781659, 11.9686426 48.0781893, 11.9686267 48.0782184, 11.9686059 48.0782895, 11.9685914 48.0783399, 11.9685654 48.0783931, 11.9685351 48.078435, 11.968516 48.0784541, 11.9684988 48.0784675, 11.9684525 48.0784893, 11.9683954 48.0784979, 11.968314 48.0784998, 11.9681875 48.0785063, 11.9680849 48.0785158, 11.9680123 48.0785269, 11.9679455 48.078542, 11.9678817 48.078563, 11.9678385 48.0785919)",St 2080,
24811286,,Pfarrer-Guggetzer-Straße,residential,30,False,False,101.234,"LINESTRING (11.9609831 48.0768941, 11.9596249 48.0768207)",,
24811286,,Pfarrer-Guggetzer-Straße,residential,30,False,True,106.39300000000001,"LINESTRING (11.9609831 48.0768941, 11.9612895 48.0769065, 11.9614847 48.0769168, 11.9619545 48.0769417, 11.9620812 48.0769495, 11.9624097 48.0769754)",,
"[698920570, 698920571, 44820910]",2,Münchener Straße,secondary,50,False,False,86.32,"LINESTRING (11.9623971 48.07604, 11.962624 48.0760671, 11.96272 48.076077, 11.9629211 48.0760976, 11.9631024 48.076117, 11.963279 48.0761228, 11.9635483 48.0761068)",,
44820911,2,Pleiningerstraße,residential,50,False,False,104.05599999999998,"LINESTRING (11.9623971 48.07604, 11.9623931 48.0761022, 11.9623911 48.0763933, 11.9623899 48.0765701, 11.9623893 48.0766512, 11.9623909 48.0767412, 11.9623983 48.0768289, 11.9624073 48.0769439, 11.9624097 48.0769754)",,
56730663,,Pfarrer-Bauer-Straße,residential,30,False,False,151.96200000000005,"LINESTRING (11.9675508 48.078971, 11.9675011 48.0789642, 11.9672985 48.0789258, 11.9671659 48.0789028, 11.967001 48.0788648, 11.9668488 48.0788254, 11.9666554 48.078765, 11.9663392 48.0786509, 11.9660869 48.0785591, 11.9658856 48.0784909, 11.9657708 48.0784528, 11.9657207 48.078443, 11.9656777 48.0784397)",,3.6
776069132,2,Eberhardstraße,secondary,50,False,False,47.366,"LINESTRING (11.9675508 48.078971, 11.9676598 48.0788107, 11.9676901 48.078766, 11.9677972 48.0786286, 11.9678385 48.0785919)",St 2080,
"[579357816, 776069132]",2,Eberhardstraße,secondary,50,False,True,122.362,"LINESTRING (11.9675508 48.078971, 11.9674977 48.0790502, 11.967391 48.0792222, 11.9673084 48.0793835, 11.9672315 48.0795866, 11.967229 48.0795936, 11.967203 48.0796741, 11.967178 48.079753, 11.9671257 48.0799185, 11.9670922 48.0800243)",St 2080,
4880818,2,Gärtnereistraße,tertiary,50,False,False,133.607,"LINESTRING (11.9635483 48.0761068, 11.9635384 48.0760468, 11.9635103 48.0758761, 11.9634837 48.0751139, 11.9635119 48.0749634, 11.9635209 48.0749379, 11.9635371 48.0749108)",,
"[698920570, 698920571, 44820910]",2,Münchener Straße,secondary,50,False,True,86.32,"LINESTRING (11.9635483 48.0761068, 11.963279 48.0761228, 11.9631024 48.076117, 11.9629211 48.0760976, 11.96272 48.076077, 11.962624 48.0760671, 11.9623971 48.07604)",,
"[48586593, 699270366]","['2', '3']",Münchener Straße,secondary,50,False,True,175.93300000000002,"LINESTRING (11.9635483 48.0761068, 11.9638643 48.0760667, 11.9642422 48.0760016, 11.9643341 48.0759855, 11.9644276 48.0759692, 11.9646277 48.0759343, 11.9649561 48.0758645, 11.9651382 48.0758397, 11.9653278 48.0758278, 11.9655564 48.0758241, 11.9656336 48.075829, 11.9657733 48.0758378, 11.9658606 48.0758532)",,
"[41222722, 699705965]",2,Heinrich-Vogl-Straße,secondary,50,False,False,167.648,"LINESTRING (11.9679238 48.0764466, 11.9677196 48.0764089, 11.9673757 48.0763455, 11.9672394 48.0763151, 11.9671818 48.0763023, 11.9671157 48.076286, 11.9666674 48.0761287, 11.9661154 48.0759332, 11.9659831 48.0758859, 11.9658606 48.0758532)",,
41222722,2,Heinrich-Vogl-Straße,secondary,50,False,True,62.73099999999999,"LINESTRING (11.9679238 48.0764466, 11.968064 48.0764775, 11.9681878 48.0765215, 11.968316 48.0765838, 11.9684576 48.0766585, 11.9684727 48.0766667, 11.9685082 48.076686, 11.968564 48.0767198, 11.9686146 48.0767586)",,
48586591,,Rickstraße,residential,,False,False,145.065,"LINESTRING (11.9679238 48.0764466, 11.9679322 48.0764165, 11.9679576 48.0763254, 11.968015 48.0761245, 11.968285 48.0752048, 11.9682918 48.0751655)",,
427775864,,Eichthalstraße,secondary,50,False,True,3.234,"LINESTRING (11.9686146 48.0767586, 11.9686347 48.0767328)",,
11400065,2,Heinrich-Vogl-Straße,secondary,50,False,True,39.06400000000001,"LINESTRING (11.9686146 48.0767586, 11.9685848 48.0768087, 11.9685665 48.0768589, 11.9685521 48.0769394, 11.9685413 48.0771039)",,
