osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,access,tunnel
"[144347442, 336688333]",3,L 1136,Strohgäustraße,secondary,50,False,False,55.257,"LINESTRING (9.0152158 48.8057445, 9.0155986 48.8055058, 9.0156375 48.8054839, 9.0156762 48.8054627, 9.0157667 48.8054051)",,,
19736908,,,Agnes-Miegel-Straße,residential,30,False,False,48.46000000000001,"LINESTRING (9.0162993 48.8028833, 9.0163846 48.8029178, 9.0165235 48.8029746, 9.0166894 48.8030775, 9.0168201 48.8031493)",,,
"[94505066, 618356486]","['2', '3']",L 1137,Feuerbacher Straße,secondary,30,False,True,163.015,"LINESTRING (9.0162993 48.8028833, 9.0162082 48.8030336, 9.016196 48.8030512, 9.0159246 48.803442, 9.0155786 48.803927, 9.0154839 48.8040727, 9.0153919 48.8042216)",,,
"[301981582, 336868239]",3,L 1137,Feuerbacher Straße,secondary,30,False,False,73.87100000000001,"LINESTRING (9.0162993 48.8028833, 9.016341 48.8027712, 9.0163811 48.8026643, 9.0164595 48.8023963, 9.0164676 48.8023688, 9.0164785 48.802326, 9.0165019 48.8022328)",,,
10073522,3,L 1180,Stuttgarter Straße,secondary,50,False,False,26.521,"LINESTRING (9.0165019 48.8022328, 9.0166117 48.8022504, 9.016654 48.8022572, 9.0166878 48.8022627, 9.0167135 48.8022668, 9.0168537 48.8022893)",,,
16629060,2,,Graf-Ulrich-Straße,residential,20,False,True,36.357,"LINESTRING (9.0165019 48.8022328, 9.016396 48.8022184, 9.0162831 48.8022006, 9.0162035 48.8021866, 9.0160217 48.8021507)",,,
"[301981582, 336868239]",3,L 1137,Feuerbacher Straße,secondary,30,False,True,73.871,"LINESTRING (9.0165019 48.8022328, 9.0164785 48.802326, 9.0164676 48.8023688, 9.0164595 48.8023963, 9.0163811 48.8026643, 9.016341 48.8027712, 9.0162993 48.8028833)",,,
648856835,2,K 1012,Grabenstraße,secondary,30,False,False,32.953,"LINESTRING (9.0165019 48.8022328, 9.0165317 48.8021265, 9.0165401 48.8020801, 9.0165633 48.8019394)",,,
26834947,,,Römerstraße,tertiary,30,False,False,50.561,"LINESTRING (9.0082301 48.7970659, 9.0083408 48.7970501, 9.0083629 48.7970469, 9.0083866 48.7970426, 9.0088979 48.7969512)",,,
26834947,,,Römerstraße,tertiary,30,False,True,61.68,"LINESTRING (9.0097146 48.7968165, 9.0095004 48.7968568, 9.0088979 48.7969512)",,,
"[968793389, 968793390, 968793391, 968793392, 968793393, 103565533, 745637533]","['4', '5', '2', '3']",K 1012,Eltinger Straße,secondary,"['50', '30']",False,True,185.33499999999998,"LINESTRING (9.0147411 48.7983632, 9.0150359 48.7984816, 9.0150689 48.7984944, 9.0155814 48.7987073, 9.0158853 48.7988468, 9.0159667 48.7988738, 9.0160571 48.7988947, 9.0163101 48.7989439, 9.0165268 48.798986, 9.0167187 48.7990485, 9.0168405 48.7991203, 9.0169146 48.7991793)",,,
968784308,,,Lindenstraße,tertiary,50,False,False,37.678,"LINESTRING (9.0147411 48.7983632, 9.0146483 48.7984074, 9.0145476 48.798455, 9.0145022 48.798471, 9.0142949 48.7985277)",,,
968784309,5,K 1012,Eltinger Straße,secondary,50,False,False,34.332,"LINESTRING (9.0147411 48.7983632, 9.0145598 48.798289, 9.0143418 48.7982015)",,,
11835310,2,L 1180,Bahnhofstraße,tertiary,50,False,False,31.872999999999998,"LINESTRING (9.0120412 48.8002327, 9.012166 48.8002197, 9.0124734 48.8002002)",,,
"[9872074, 964943258, 38207821]",2,,Lindenstraße,tertiary,30,False,True,162.151,"LINESTRING (9.0120412 48.8002327, 9.0120278 48.8001901, 9.0120128 48.8001356, 9.0119108 48.7997724, 9.0118472 48.7995499, 9.011842 48.7994753, 9.0118579 48.7994224, 9.0118697 48.7993849, 9.0119089 48.7993184, 9.0119365 48.7992907, 9.0120396 48.7992133, 9.012085 48.7991896, 9.0121769 48.7991549, 9.0122464 48.7991281, 9.0123521 48.799092, 9.0125598 48.7990309)",,,
"[419026266, 981276260]",2,,Bahnhofstraße,tertiary,50,False,True,48.245999999999995,"LINESTRING (9.0120412 48.8002327, 9.0117017 48.8002962, 9.0114173 48.8003702)",,,
11835310,2,L 1180,Bahnhofstraße,tertiary,50,False,True,31.872999999999998,"LINESTRING (9.0124734 48.8002002, 9.012166 48.8002197, 9.0120412 48.8002327)",,,
11835311,2,K 1082,Bahnhofstraße,tertiary,50,False,False,230.28900000000004,"LINESTRING (9.0124734 48.8002002, 9.0127733 48.8001897, 9.0132375 48.8001883, 9.0132937 48.8001886, 9.0135653 48.8001904, 9.0139183 48.8002032, 9.0144484 48.800215, 9.0151378 48.8002406, 9.015443 48.8002711, 9.0156101 48.8002864)",,,
"[34660817, 643668389, 1252018646]","['2', '3']",K 1082,Rutesheimer Straße,tertiary,50,False,True,248.117,"LINESTRING (9.0124734 48.8002002, 9.012465 48.8002528, 9.0124405 48.8003052, 9.0123792 48.8003519, 9.0122811 48.8004121, 9.0112556 48.8008951, 9.0111377 48.800953, 9.0108449 48.8011018, 9.0104704 48.8013209, 9.0102854 48.8013762, 9.0101471 48.8014041, 9.0099965 48.8014238, 9.0097805 48.8014332)",,,
9702526,3,K 1012,Seestraße,secondary,30,False,False,58.163,"LINESTRING (9.0164927 48.800621, 9.0166605 48.8005937, 9.0167017 48.8005813, 9.0167086 48.8005798, 9.01688 48.8005097, 9.0170438 48.8004324, 9.0171026 48.8003911, 9.0171445 48.8003466)",,,
"[968802920, 10073604]",2,K 1012,Grabenstraße,secondary,30,False,True,72.072,"LINESTRING (9.0164927 48.800621, 9.0165192 48.8006814, 9.0165353 48.8007139, 9.0165366 48.800745, 9.0165444 48.8007786, 9.0165474 48.8008037, 9.0165658 48.8008748, 9.0165902 48.8011249, 9.0165973 48.8012629)",,,
"[481468248, 12168267]",,,Graf-Eberhard-Straße,residential,"['20', '30']",False,False,80.778,"LINESTRING (9.0164927 48.800621, 9.0164459 48.8006261, 9.0163758 48.8006306, 9.0163353 48.800635, 9.016267 48.8006487, 9.0162324 48.8006572, 9.0162265 48.8006579, 9.0159415 48.8007112, 9.0156737 48.8007582, 9.0155701 48.8008042, 9.0154554 48.8008463)",5,,
"[1021999473, 708043495]",2,K 1082,Bahnhofstraße,tertiary,30,True,False,33.204,"LINESTRING (9.0164927 48.800621, 9.0164738 48.8005996, 9.0164582 48.800592, 9.0164185 48.8005588, 9.0163811 48.8005169, 9.01637 48.8005059, 9.0163154 48.800452, 9.0162055 48.8003949)",,Yes,
419026295,,,Mozartstraße,residential,30,False,False,63.785,"LINESTRING (9.0089853 48.799124, 9.0088725 48.7996928)",3.5,,
9820093,,,Distelfeldstraße,residential,30,False,True,160.12400000000002,"LINESTRING (9.0089853 48.799124, 9.0091523 48.7990998, 9.009349 48.7990258, 9.0095419 48.7989014, 9.0097174 48.7987792, 9.0098153 48.798724, 9.0099308 48.7986988, 9.010205 48.7984902, 9.010413 48.7982999, 9.0105538 48.7981736)",5,,
20578351,,,Mozartstraße,residential,30,False,True,166.80200000000002,"LINESTRING (9.0089853 48.799124, 9.0090869 48.7985022, 9.0091174 48.7984261, 9.00926 48.7982173, 9.0094033 48.7980486, 9.0094529 48.79799, 9.0097096 48.7977342)",,,
419026295,,,Mozartstraße,residential,30,False,True,63.785,"LINESTRING (9.0088725 48.7996928, 9.0089853 48.799124)",3.5,,
66348895,,,Liststraße,residential,30,False,False,48.777,"LINESTRING (9.0088725 48.7996928, 9.008891 48.7999047, 9.0088488 48.8001294)",4.2,,
419026289,,,Liststraße,residential,30,False,True,79.197,"LINESTRING (9.0088725 48.7996928, 9.009173 48.7996993, 9.0094368 48.7996734, 9.0096975 48.7996056, 9.0099101 48.7995418)",5,,
