osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,bridge,junction,access,width
28332728,Am See,residential,50,False,True,10.053,"LINESTRING (9.4009454 50.6368932, 9.4008931 50.6369773)",,,,,,
"[69347684, 497151124, 497151125, 497151126, 497151127, 497151128, 28197789]",Eselswörth,residential,50,False,True,151.83,"LINESTRING (9.4009454 50.6368932, 9.4009379 50.6368214, 9.4009206 50.636744, 9.4009098 50.6367135, 9.400873 50.636678, 9.4008054 50.636635, 9.4007708 50.6366131, 9.4007392 50.636593, 9.4006896 50.6365615, 9.4006612 50.6365435, 9.4006164 50.636515, 9.4005865 50.636496, 9.4005501 50.6364728, 9.4005114 50.6364483, 9.4004675 50.6364204, 9.4004429 50.6364048, 9.4003878 50.6363697, 9.4003045 50.6363168, 9.4001447 50.6362153, 9.3996385 50.6358782, 9.3996143 50.6358621)",,,,,,
92023595,Lindenstraße,primary,50,False,True,67.21700000000001,"LINESTRING (9.4009454 50.6368932, 9.4008288 50.6368694, 9.4007415 50.6368476, 9.4006676 50.6368292, 9.400623 50.6368161, 9.4004828 50.636775, 9.4002766 50.6367061, 9.4000872 50.6366342)",B 275,,,,,
1084518219,Lindenstraße,primary,50,False,False,38.998,"LINESTRING (9.4009454 50.6368932, 9.4013424 50.6369741, 9.4014713 50.6370016)",B 275,,,,,
28050609,Kanalstraße,residential,,False,False,9.695,"LINESTRING (9.3972106 50.6352987, 9.3971458 50.6353289, 9.3970963 50.6353469)",,,,,,
28050670,Langgasse,primary,30,False,False,95.382,"LINESTRING (9.3972106 50.6352987, 9.3972727 50.6353411, 9.3973524 50.6353842, 9.3980838 50.6357425, 9.39813 50.6357651, 9.3981772 50.6357877, 9.3982688 50.6358316)",B 275,2,,,,
622914480,Königsberger Straße,primary,50,False,True,18.569000000000003,"LINESTRING (9.3972106 50.6352987, 9.3971637 50.6352593, 9.3971394 50.6352389, 9.3970939 50.635184, 9.3970719 50.6351574)",B 275,,,,,
27864988,Königsberger Straße,primary,50,False,False,208.60000000000005,"LINESTRING (9.3959456 50.6334763, 9.3960772 50.6335272, 9.396126 50.6335547, 9.3962036 50.6336043, 9.3963066 50.6336944, 9.3964011 50.6337882, 9.3964867 50.6338854, 9.3965453 50.6339609, 9.3965986 50.6340379, 9.3968677 50.6345188, 9.3969149 50.6346186, 9.396952 50.6347202, 9.3969787 50.634823, 9.3969993 50.6349877, 9.3970166 50.635054, 9.397046 50.6351185, 9.3970719 50.6351574)",B 275,,,,,
"[28405352, 28405353, 176127734]",Vogelsbergstraße,primary,50,False,True,56.997,"LINESTRING (9.3959456 50.6334763, 9.3959019 50.6335285, 9.3958541 50.6335765, 9.3957968 50.6336252, 9.3957336 50.633671, 9.3956649 50.6337134, 9.3955285 50.6337766, 9.3953857 50.6338338)",B 275,,yes,,,
28696534,An der Ritsch,residential,50,False,True,56.342999999999996,"LINESTRING (9.3904563 50.6354086, 9.3905559 50.6353613, 9.3909556 50.6351045, 9.3910298 50.6350569)",,,,,,
