osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge
40392994,S 24,Schloßstraße,secondary,30,False,False,76.341,"LINESTRING (12.9951908 51.3664713, 12.9954846 51.3664184, 12.99613 51.3663061, 12.9962515 51.366291)",,
40392994,S 24,Schloßstraße,secondary,30,False,True,102.202,"LINESTRING (12.9951908 51.3664713, 12.9951747 51.3665288, 12.9951652 51.3665978, 12.9952136 51.3669428, 12.9951953 51.3673122, 12.9951865 51.3673876)",,
45646237,K 8919,Töpferplatz,tertiary,50,False,True,48.469,"LINESTRING (12.9951908 51.3664713, 12.9951796 51.3663962, 12.995115 51.366038)",,
4295002,S 24,Bahnhofstraße,secondary,30,False,False,48.42,"LINESTRING (12.996588 51.3662108, 12.9966145 51.3661691, 12.9966194 51.3661218, 12.9966234 51.3660189, 12.9966306 51.3658353, 12.9965963 51.3657829)",2,
26195030,K 8919,Markt,tertiary,30,False,True,77.077,"LINESTRING (12.996588 51.3662108, 12.9967737 51.3662634, 12.9974234 51.3662996, 12.9975495 51.3663074, 12.9976726 51.3663277)",,
45646239,S 24,Schloßstraße,secondary,30,False,True,26.287999999999997,"LINESTRING (12.996588 51.3662108, 12.996546 51.3662501, 12.9964705 51.3662685, 12.9962515 51.366291)",2,
4295002,S 24,Bahnhofstraße,secondary,30,False,True,48.42,"LINESTRING (12.9965963 51.3657829, 12.9966306 51.3658353, 12.9966234 51.3660189, 12.9966194 51.3661218, 12.9966145 51.3661691, 12.996588 51.3662108)",2,
31180931,S 24,Bahnhofstraße,secondary,30,False,False,81.15,"LINESTRING (12.9965963 51.3657829, 12.9965466 51.3656004, 12.9964618 51.3650583)",,
35340306,,Wurzener Straße,residential,,True,False,106.21000000000001,"LINESTRING (12.9965963 51.3657829, 12.9964292 51.3657688, 12.9955697 51.365739, 12.9950703 51.3657189)",,
"[469572664, 35429604]",,"['Markt', 'Kirchstraße']",residential,,True,False,166.646,"LINESTRING (12.9965963 51.3657829, 12.9966795 51.3657983, 12.9968797 51.365807, 12.9974388 51.365804, 12.9977449 51.365782, 12.9978126 51.3657776, 12.9980266 51.3657753, 12.9983883 51.3657944, 12.9989843 51.3658408)",,
40392992,S 24,Bahnhofstraße,secondary,50,False,False,81.126,"LINESTRING (12.9961721 51.3641831, 12.9960581 51.363457)",,
"[963219221, 19085133, 364180842]",S 27,Lindenstraße,secondary,,False,False,109.59299999999999,"LINESTRING (12.9961721 51.3641831, 12.9963059 51.3641762, 12.9968249 51.3641322, 12.9971438 51.3641078, 12.9973918 51.3640888, 12.997579 51.3640762, 12.9977387 51.364063)","['2', '3']",
84988334,S 24,Bahnhofstraße,secondary,50,False,True,99.637,"LINESTRING (12.9961721 51.3641831, 12.9961968 51.3642677, 12.9962566 51.3643576, 12.9963543 51.3646264, 12.9964618 51.3650583)",,
40392992,S 24,Bahnhofstraße,secondary,50,False,False,94.803,"LINESTRING (12.9959514 51.3629531, 12.9958574 51.3627627, 12.9957883 51.3626594, 12.9953941 51.3621772)",,
40392992,S 24,Bahnhofstraße,secondary,50,False,True,56.577,"LINESTRING (12.9959514 51.3629531, 12.9959941 51.3630787, 12.9960437 51.3633716, 12.9960581 51.363457)",,
35325733,,,residential,,False,True,29.51,"LINESTRING (12.9932776 51.3658225, 12.9933674 51.3655631)",,
769067126,K 8981,Bortewitzer Straße,tertiary,,False,False,35.936,"LINESTRING (12.9932776 51.3658225, 12.9937562 51.3656994)",,
4454257,K 8981,Bortewitzer Straße,tertiary,,False,True,145.45,"LINESTRING (12.9932776 51.3658225, 12.9924481 51.3662033, 12.9921106 51.3663932, 12.9916422 51.3666383)",,
45646237,K 8919,Töpferplatz,tertiary,50,False,False,35.618,"LINESTRING (12.9950703 51.3657189, 12.995115 51.366038)",,
44710611,K 8919,Wurzener Straße,tertiary,50,False,True,91.295,"LINESTRING (12.9950703 51.3657189, 12.9948588 51.3657092, 12.9946832 51.3657076, 12.9942582 51.3657075, 12.9939985 51.3656993, 12.9937562 51.3656994)",,
35429607,,Oschatzer Straße,residential,,False,True,99.72799999999998,"LINESTRING (12.9977387 51.364063, 12.9977534 51.3641331, 12.9978044 51.3642517, 12.9978715 51.3643933, 12.9978892 51.3644676, 12.9978987 51.3645286, 12.9979178 51.3645827, 12.9979521 51.3646482, 12.9979858 51.3646991, 12.9981517 51.3649155)",,
364180842,S 27,Lindenstraße,secondary,,False,False,36.233000000000004,"LINESTRING (12.9977387 51.364063, 12.9978264 51.3640538, 12.9979738 51.3640402, 12.9982504 51.3640001)",3,
"[364180842, 19085133, 963219221]",S 27,Lindenstraße,secondary,,False,True,109.593,"LINESTRING (12.9977387 51.364063, 12.997579 51.3640762, 12.9973918 51.3640888, 12.9971438 51.3641078, 12.9968249 51.3641322, 12.9963059 51.3641762, 12.9961721 51.3641831)","['2', '3']",
35326439,,Hospitalstraße,residential,,False,False,65.2,"LINESTRING (12.9997948 51.3641535, 12.9998725 51.3640787, 13.0000654 51.3640255, 13.0002104 51.3639673, 13.0003269 51.3639249, 13.0004348 51.363906, 13.0005275 51.3639013, 13.0006002 51.3639063)",,
71782126,S 27,Lindenstraße,secondary,,False,False,86.024,"LINESTRING (12.9997948 51.3641535, 12.9996437 51.3641249, 12.9993519 51.3641049, 12.9990496 51.364108, 12.9986878 51.3641351, 12.998567 51.3641378)",,
71782126,S 27,Lindenstraße,secondary,,False,True,162.644,"LINESTRING (12.9997948 51.3641535, 13.0003873 51.3642733, 13.000641 51.3643371, 13.001202 51.3645059, 13.0015414 51.3646187, 13.0017245 51.3646891, 13.0018961 51.3647791)",,
26195029,K 8919,August-Bebel-Straße,tertiary,30,False,False,19.253,"LINESTRING (12.9995246 51.3667862, 12.9992735 51.3667127)",,
26195026,,August-Bebel-Straße,tertiary,,True,False,26.149,"LINESTRING (12.9995246 51.3667862, 12.9995927 51.366775, 12.9998944 51.3668078)",,
26195029,K 8919,August-Bebel-Straße,tertiary,30,False,True,19.253,"LINESTRING (12.9992735 51.3667127, 12.9995246 51.3667862)",,
19085128,,Brühl,residential,,False,False,104.16399999999999,"LINESTRING (12.9992735 51.3667127, 12.9993158 51.366652, 12.9993414 51.3665915, 12.9993537 51.3665058, 12.9993496 51.3664297, 12.9993298 51.3663502, 12.9992877 51.3662485, 12.9992158 51.3660819, 12.9991607 51.3659803, 12.9990708 51.3658845, 12.9989843 51.3658408)",,
26195029,K 8919,August-Bebel-Straße,tertiary,30,False,False,119.208,"LINESTRING (12.9992735 51.3667127, 12.9989546 51.3666175, 12.9985922 51.3665298, 12.9981021 51.366419, 12.997846 51.3663642, 12.9976726 51.3663277)",,
26195027,,Bornstraße,residential,,False,False,43.198,"LINESTRING (13.0018961 51.3647791, 13.0019366 51.3649589, 13.0020344 51.3651566)",,
35326439,,Hospitalstraße,residential,,False,True,116.663,"LINESTRING (13.0018961 51.3647791, 13.0018202 51.3646007, 13.0017844 51.3644281, 13.0017653 51.3643445, 13.0017631 51.3643062, 13.0017157 51.3642626, 13.0016412 51.3642105, 13.0014851 51.3641212, 13.0013114 51.3640449, 13.0011177 51.363972, 13.0010845 51.3639387)",,
52085930,S 27,Strehlaer Straße,secondary,50,False,True,40.814,"LINESTRING (13.0018961 51.3647791, 13.0020804 51.3649322, 13.002214 51.3649828, 13.0023377 51.3649935)",,
71782126,S 27,Lindenstraße,secondary,,False,False,162.644,"LINESTRING (13.0018961 51.3647791, 13.0017245 51.3646891, 13.0015414 51.3646187, 13.001202 51.3645059, 13.000641 51.3643371, 13.0003873 51.3642733, 12.9997948 51.3641535)",,
26195029,K 8919,August-Bebel-Straße,tertiary,30,False,True,119.208,"LINESTRING (12.9976726 51.3663277, 12.997846 51.3663642, 12.9981021 51.366419, 12.9985922 51.3665298, 12.9989546 51.3666175, 12.9992735 51.3667127)",,
26195030,K 8919,Markt,tertiary,30,False,False,77.077,"LINESTRING (12.9976726 51.3663277, 12.9975495 51.3663074, 12.9974234 51.3662996, 12.9967737 51.3662634, 12.996588 51.3662108)",,
37051479,,Markt,residential,,False,False,47.822,"LINESTRING (12.9976726 51.3663277, 12.9977132 51.3661698, 12.9977381 51.3659001)",,
"[38716694, 26195031]",,Belgernsche Straße,tertiary,50,True,False,120.07300000000001,"LINESTRING (13.0029847 51.3668488, 13.0030637 51.3668599, 13.0031307 51.3668786, 13.003217 51.366909, 13.0034001 51.3670023, 13.0035544 51.3670826, 13.0036722 51.3671482, 13.0037384 51.3671948, 13.0038123 51.3672643, 13.003877 51.3673499, 13.0039325 51.3674512, 13.0040007 51.3676081, 13.0040082 51.3676479)",,yes
45649485,,Bornstraße,residential,,False,True,11.427,"LINESTRING (13.0029847 51.3668488, 13.0029859 51.3667996, 13.0029539 51.3667499)",,
35326441,,Goethestraße,residential,,False,False,79.5,"LINESTRING (13.0049918 51.3629377, 13.0049813 51.3633223, 13.0049783 51.3636526)",,
36291457,,Goethestraße,residential,,False,True,142.997,"LINESTRING (13.0049918 51.3629377, 13.0049483 51.3629377, 13.0046637 51.3629423, 13.0036863 51.3629411, 13.0036334 51.3629559, 13.0034566 51.3630396, 13.0033966 51.3630444, 13.0030944 51.362868)",,
35326441,,Goethestraße,residential,,False,True,79.5,"LINESTRING (13.0049783 51.3636526, 13.0049813 51.3633223, 13.0049918 51.3629377)",,
54643720,,Parkstraße,residential,,False,False,221.146,"LINESTRING (13.0049783 51.3636526, 13.0019443 51.36368, 13.0018494 51.3636874, 13.0017941 51.3636883)",,
36281302,,Stiller Winkel,residential,,False,False,71.02799999999999,"LINESTRING (13.0017941 51.3636883, 13.0017674 51.3636645, 13.0017652 51.3636221, 13.0017944 51.3630551)",,
54643720,,Parkstraße,residential,,False,False,56.79600000000001,"LINESTRING (13.0017941 51.3636883, 13.0017404 51.3637191, 13.0012495 51.363894, 13.0011672 51.3639181, 13.0010845 51.3639387)",,
54643720,,Parkstraße,residential,,False,True,221.146,"LINESTRING (13.0017941 51.3636883, 13.0018494 51.3636874, 13.0019443 51.36368, 13.0049783 51.3636526)",,
35326439,,Hospitalstraße,residential,,False,False,116.66300000000001,"LINESTRING (13.0010845 51.3639387, 13.0011177 51.363972, 13.0013114 51.3640449, 13.0014851 51.3641212, 13.0016412 51.3642105, 13.0017157 51.3642626, 13.0017631 51.3643062, 13.0017653 51.3643445, 13.0017844 51.3644281, 13.0018202 51.3646007, 13.0018961 51.3647791)",,
35326439,,Hospitalstraße,residential,,False,True,33.832,"LINESTRING (13.0010845 51.3639387, 13.0009739 51.3639325, 13.000725 51.3639188, 13.0006002 51.3639063)",,
54643720,,Parkstraße,residential,,False,True,56.79600000000001,"LINESTRING (13.0010845 51.3639387, 13.0011672 51.3639181, 13.0012495 51.363894, 13.0017404 51.3637191, 13.0017941 51.3636883)",,
35326438,,Hospitalstraße,residential,,False,False,102.16799999999999,"LINESTRING (13.0006002 51.3639063, 13.0006227 51.3638502, 13.0007018 51.3637454, 13.000818 51.3634789, 13.000867 51.3630683, 13.0008246 51.3630176)",,
35326439,,Hospitalstraße,residential,,False,False,33.832,"LINESTRING (13.0006002 51.3639063, 13.000725 51.3639188, 13.0009739 51.3639325, 13.0010845 51.3639387)",,
35326439,,Hospitalstraße,residential,,False,True,65.19999999999999,"LINESTRING (13.0006002 51.3639063, 13.0005275 51.3639013, 13.0004348 51.363906, 13.0003269 51.3639249, 13.0002104 51.3639673, 13.0000654 51.3640255, 12.9998725 51.3640787, 12.9997948 51.3641535)",,
35323731,K 8919,Wurzener Straße,tertiary,50,False,True,30.956,"LINESTRING (12.9933674 51.3655631, 12.9937562 51.3656994)",,
35325733,,,residential,,False,False,29.51,"LINESTRING (12.9933674 51.3655631, 12.9932776 51.3658225)",,
35325734,,Weststraße,residential,,False,False,152.594,"LINESTRING (12.9933674 51.3655631, 12.9934312 51.3654293, 12.993482 51.3649692, 12.993651 51.3645929, 12.9937321 51.3644663, 12.9938773 51.3642394)",,
35323743,,Max-Hupfer-Straße,residential,,False,False,71.625,"LINESTRING (12.9938773 51.3642394, 12.9937761 51.3639146, 12.9936804 51.3636071)",,
35325734,,Weststraße,residential,,False,False,81.307,"LINESTRING (12.9938773 51.3642394, 12.9940165 51.364022, 12.9940869 51.3639119, 12.9943119 51.3635604)",,
35325734,,Weststraße,residential,,False,True,152.594,"LINESTRING (12.9938773 51.3642394, 12.9937321 51.3644663, 12.993651 51.3645929, 12.993482 51.3649692, 12.9934312 51.3654293, 12.9933674 51.3655631)",,
35325734,,Weststraße,residential,,False,False,173.75799999999998,"LINESTRING (12.9943119 51.3635604, 12.9948836 51.3626894, 12.9950495 51.3624182, 12.9951567 51.3622944, 12.9952197 51.3622501, 12.9953941 51.3621772)",,
35325734,,Weststraße,residential,,False,True,81.307,"LINESTRING (12.9943119 51.3635604, 12.9940869 51.3639119, 12.9940165 51.364022, 12.9938773 51.3642394)",,
35323731,K 8919,Wurzener Straße,tertiary,50,False,False,30.956,"LINESTRING (12.9937562 51.3656994, 12.9933674 51.3655631)",,
769067126,K 8981,Bortewitzer Straße,tertiary,,False,True,35.936,"LINESTRING (12.9937562 51.3656994, 12.9932776 51.3658225)",,
44710611,K 8919,Wurzener Straße,tertiary,50,False,False,91.295,"LINESTRING (12.9937562 51.3656994, 12.9939985 51.3656993, 12.9942582 51.3657075, 12.9946832 51.3657076, 12.9948588 51.3657092, 12.9950703 51.3657189)",,
35323733,,Töpferplatz,residential,,False,True,87.70700000000001,"LINESTRING (12.9962515 51.366291, 12.9962322 51.3662486, 12.9961684 51.3661998, 12.9959027 51.3661324, 12.9954809 51.3660683, 12.9952015 51.3660353, 12.995115 51.366038)",,
