osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,access
5135709,St 2381,Augsburger Straße,secondary,50,False,False,11.192,"LINESTRING (10.8790527 48.4247819, 10.8790478 48.4247434, 10.87904 48.4246816)",,,
"[97096260, 56034141, 104626069]",,Bahnhofstraße,secondary,50,False,True,104.322,"LINESTRING (10.8790527 48.4247819, 10.8789793 48.424797, 10.8788901 48.4248149, 10.8788197 48.424829, 10.8784684 48.4248994, 10.8783941 48.4249151, 10.8782962 48.424934, 10.8779464 48.4250047, 10.8776999 48.4250545)",2,,
"[57385340, 1091564845, 1091564844, 539784447]",St 2381,Donauwörther Straße,secondary,50,False,True,164.015,"LINESTRING (10.8790527 48.4247819, 10.8790651 48.4249376, 10.8790682 48.424976, 10.8790699 48.424998, 10.8790849 48.4251876, 10.8791162 48.4256056, 10.8791251 48.4257364, 10.8791278 48.4258434, 10.8791266 48.4259289, 10.8791166 48.4260642, 10.8791167 48.4261117, 10.8791168 48.4261656, 10.8791144 48.4262555)",2,,
4008453,,Flurstraße,residential,30,False,True,51.31400000000001,"LINESTRING (10.8792982 48.42302, 10.879195 48.4230232, 10.8786955 48.4230398, 10.8786036 48.4230418)",,,
"[2512096, 1090414075]",,Augsburger Straße,secondary,50,False,False,145.59400000000002,"LINESTRING (10.8792982 48.42302, 10.8792891 48.422966, 10.8792458 48.4227078, 10.879216 48.4225304, 10.8791848 48.4223375, 10.8791313 48.4220255, 10.8791192 48.4219533, 10.8791048 48.4218707, 10.8790798 48.4217187)",,,
"[1090414074, 1090414075]",,Augsburger Straße,secondary,50,False,True,186.669,"LINESTRING (10.8792982 48.42302, 10.8792926 48.4232382, 10.8792709 48.4233575, 10.8792487 48.4234619, 10.8792185 48.4235735, 10.87921 48.4236061, 10.8791259 48.4238914, 10.8790346 48.4242014, 10.8790167 48.4242893, 10.8790088 48.4243661, 10.8790204 48.4245034, 10.8790247 48.4245422, 10.87904 48.4246816)",2,,
5135709,St 2381,Augsburger Straße,secondary,50,False,True,11.192,"LINESTRING (10.87904 48.4246816, 10.8790478 48.4247434, 10.8790527 48.4247819)",,,
"[1089639074, 4013037]",St 2381,Bauernstraße,secondary,50,False,True,140.349,"LINESTRING (10.87904 48.4246816, 10.8791163 48.4246718, 10.8792146 48.4246592, 10.8792872 48.4246499, 10.8793937 48.4246363, 10.8795266 48.4246193, 10.8795671 48.4246141, 10.8796433 48.4246044, 10.879982 48.4245612, 10.8801686 48.4245392, 10.8802517 48.4245274, 10.8803788 48.4245117, 10.8804565 48.4245021, 10.8806527 48.4244779, 10.8808335 48.4244556, 10.8809086 48.4244463)",,,
"[1090414074, 1090414075]",,Augsburger Straße,secondary,50,False,False,186.66899999999998,"LINESTRING (10.87904 48.4246816, 10.8790247 48.4245422, 10.8790204 48.4245034, 10.8790088 48.4243661, 10.8790167 48.4242893, 10.8790346 48.4242014, 10.8791259 48.4238914, 10.87921 48.4236061, 10.8792185 48.4235735, 10.8792487 48.4234619, 10.8792709 48.4233575, 10.8792926 48.4232382, 10.8792982 48.42302)",2,,
115677437,St 2381,Donauwörther Straße,secondary,50,True,False,15.059000000000001,"LINESTRING (10.8785447 48.4282907, 10.8785171 48.4282764, 10.8784976 48.4282586, 10.8784817 48.4282389, 10.8784745 48.4282157, 10.87848 48.4281717)",,roundabout,
3408297,St 2381,Donauwörther Straße,secondary,50,True,False,22.246,"LINESTRING (10.87848 48.4281717, 10.8785065 48.4281376, 10.8785268 48.4281228, 10.8785551 48.4281097, 10.878587 48.4280997, 10.8786163 48.4280968, 10.8786558 48.4280976, 10.8786926 48.4281038, 10.8787272 48.4281118)",,roundabout,
97096261,,Brucknerstraße,residential,30,False,True,36.084999999999994,"LINESTRING (10.87848 48.4281717, 10.8783809 48.4281545, 10.8783417 48.4281484, 10.8782154 48.4281353, 10.8779969 48.4281331)",,,
