osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,bridge,access
4925045,1,B 10,Hauptstraße,primary,50,roundabout,True,False,11.667,"LINESTRING (8.5698427 48.9532825, 8.5698467 48.9532476, 8.5698655 48.9532149, 8.5698974 48.9531869)",,
4925045,1,B 10,Hauptstraße,primary,50,roundabout,True,False,9.326,"LINESTRING (8.5701158 48.953164, 8.5701514 48.9531793, 8.5701808 48.9531996, 8.5702025 48.9532236)",,
"[441264018, 242839843]",1,B 10,Hauptstraße,primary,50,,True,False,162.93599999999998,"LINESTRING (8.5701158 48.953164, 8.5702287 48.9531036, 8.5703248 48.9530512, 8.5704218 48.9529968, 8.5705216 48.9529235, 8.570617 48.9528435, 8.5707373 48.9527213, 8.5708168 48.9526084, 8.5708817 48.9525081, 8.5710139 48.9522872, 8.5711466 48.9520454, 8.5712594 48.9519377)",,
4925045,1,B 10,Hauptstraße,primary,50,roundabout,True,False,12.670000000000002,"LINESTRING (8.5702189 48.9532797, 8.570212 48.9533078, 8.5701955 48.9533342, 8.5701702 48.9533573, 8.5701376 48.9533761)",,
242839845,,L 570,Bahnhofstraße,secondary,50,,True,False,30.926,"LINESTRING (8.5702189 48.9532797, 8.5702962 48.9533242, 8.5703994 48.9533762, 8.570563 48.9534405)",,
4077414,2,,Buchwaldstraße,residential,30,,False,True,102.979,"LINESTRING (8.5700239 48.9481805, 8.5713317 48.9485269)",,
23524092,,,Benzstraße,residential,30,,False,False,154.93699999999998,"LINESTRING (8.5749372 48.9527775, 8.5748994 48.952345, 8.5749134 48.9521703, 8.5749412 48.9520446, 8.5750028 48.9518774, 8.5751155 48.9516704, 8.5752669 48.9514233)",,
305028260,,,Dieselstraße,residential,30,,False,True,160.858,"LINESTRING (8.5749372 48.9527775, 8.5750196 48.9527786, 8.5764007 48.9528108, 8.5764822 48.9528076, 8.5765824 48.9527987, 8.5767172 48.9527634, 8.5768012 48.952716, 8.5770574 48.9526136)",,
1030183517,,,Remchinger Straße,residential,30,,False,False,141.526,"LINESTRING (8.5749372 48.9527775, 8.5740682 48.9527863, 8.5729992 48.9527775)",,
23524093,,,Draisstraße,residential,,,False,False,172.838,"LINESTRING (8.5770574 48.9526136, 8.5770041 48.9524906, 8.5769985 48.9523354, 8.5769995 48.9520108, 8.5769995 48.9517518, 8.5770062 48.9514982, 8.5770075 48.9513631, 8.5770082 48.9510642)",,
305028260,,,Dieselstraße,residential,30,,False,False,160.858,"LINESTRING (8.5770574 48.9526136, 8.5768012 48.952716, 8.5767172 48.9527634, 8.5765824 48.9527987, 8.5764822 48.9528076, 8.5764007 48.9528108, 8.5750196 48.9527786, 8.5749372 48.9527775)",,
"[441113721, 23524110]",,,Königsbacher Straße,residential,30,,False,False,65.896,"LINESTRING (8.5762204 48.9483766, 8.5762936 48.948342, 8.5763348 48.9483259, 8.5763873 48.9482939, 8.576398 48.9482695, 8.5763891 48.9479755, 8.5763807 48.9478402)",,
"[130643192, 441113722]",2,K 4580,Kinzigstraße,tertiary,30,,False,True,114.26400000000001,"LINESTRING (8.5762204 48.9483766, 8.5759073 48.9482583, 8.5753208 48.9480571, 8.5751294 48.9479899, 8.5750156 48.9479499, 8.5748488 48.9478827)",,
"[810540101, 23524094]",,,Schwarzwaldstraße,residential,30,,False,False,107.73599999999999,"LINESTRING (8.5762204 48.9483766, 8.5761817 48.9484019, 8.5761594 48.9484242, 8.5758582 48.9487477, 8.5754245 48.9491913)",,
23524094,,,Schwarzwaldstraße,residential,30,,False,True,103.851,"LINESTRING (8.5747432 48.9500111, 8.5754245 48.9491913)",,
23524094,,,Schwarzwaldstraße,residential,30,,False,False,100.419,"LINESTRING (8.5747432 48.9500111, 8.5744554 48.9504219, 8.5741612 48.9508293)",,
23524091,,,Remchinger Straße,residential,30,,False,False,57.762,"LINESTRING (8.5729992 48.9527775, 8.5727781 48.9527687, 8.5722112 48.9527327)",,
23524094,,,Schwarzwaldstraße,residential,30,,False,False,74.97299999999998,"LINESTRING (8.5729992 48.9527775, 8.5728841 48.9530649, 8.5728522 48.9532379, 8.5728563 48.9534407)",,
