osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,width
34698165,True,1,L 91,Hansdorfer Landstraße,secondary,50,False,27.886000000000003,"LINESTRING (10.2834585 53.6627699, 10.2833091 53.6628054, 10.2830628 53.6628588)",,
669784790,True,,,Wöhrendamm,secondary,50,False,6.5120000000000005,"LINESTRING (10.2834585 53.6627699, 10.2834353 53.6627441, 10.2834292 53.662715)",roundabout,
11648735,False,,,Up de Worth,residential,30,False,25.362,"LINESTRING (10.2843809 53.6634744, 10.2847221 53.66358)",,
11648735,False,,,Up de Worth,residential,30,True,83.955,"LINESTRING (10.2843809 53.6634744, 10.2841778 53.6634054, 10.2835566 53.6631942, 10.2832631 53.663113)",,
32595227,False,,,Eckhoff,residential,30,False,92.09299999999999,"LINESTRING (10.2843809 53.6634744, 10.2842396 53.6636663, 10.2841885 53.6637466, 10.2841529 53.6642792)",,
11648801,True,1,,Wöhrendamm,residential,50,False,8.96,"LINESTRING (10.2833008 53.6630644, 10.2833171 53.6629844)",,
244968554,False,,,Wöhrendamm,residential,50,False,5.948,"LINESTRING (10.2833008 53.6630644, 10.2832631 53.663113)",,
244968554,False,,,Wöhrendamm,residential,50,True,49.285,"LINESTRING (10.2828913 53.6634976, 10.2832631 53.663113)",,
32595258,False,,,Wöhrendamm,residential,,False,80.218,"LINESTRING (10.2828913 53.6634976, 10.2819973 53.6633727, 10.2817294 53.663294)",,
"[244968554, 102542486]",False,,,Wöhrendamm,residential,50,False,185.53900000000002,"LINESTRING (10.2828913 53.6634976, 10.2826538 53.6638057, 10.28262 53.6638899, 10.2825424 53.6640805, 10.2824993 53.664194, 10.2821785 53.6651053)",,
36941131,False,,,Eckhoffkoppel,living_street,,False,194.011,"LINESTRING (10.2821785 53.6651053, 10.2828196 53.6651815, 10.2831555 53.6651493, 10.2834348 53.6652353, 10.2840229 53.6652349, 10.2840405 53.6650313, 10.2840406 53.6649942, 10.2842756 53.6649978, 10.284276 53.6650084, 10.2842841 53.6652383)",,3
102542486,False,,,Wöhrendamm,residential,50,False,177.43699999999998,"LINESTRING (10.2821785 53.6651053, 10.2821148 53.6653561, 10.2819694 53.6659433, 10.2818508 53.666387, 10.2817718 53.6666827)",,
"[244968554, 102542486]",False,,,Wöhrendamm,residential,50,True,185.539,"LINESTRING (10.2821785 53.6651053, 10.2824993 53.664194, 10.2825424 53.6640805, 10.28262 53.6638899, 10.2826538 53.6638057, 10.2828913 53.6634976)",,
102542486,False,,,Wöhrendamm,residential,50,False,43.443,"LINESTRING (10.2817718 53.6666827, 10.2816351 53.6670649)",,
32595246,False,,,Am Brink,residential,30,False,223.404,"LINESTRING (10.2817718 53.6666827, 10.2827252 53.6668932, 10.2835004 53.6667089, 10.2838654 53.6666619, 10.2840575 53.6666469, 10.2840688 53.6662447, 10.2839211 53.6660954)",,
102542486,False,,,Wöhrendamm,residential,50,True,177.43699999999998,"LINESTRING (10.2817718 53.6666827, 10.2818508 53.666387, 10.2819694 53.6659433, 10.2821148 53.6653561, 10.2821785 53.6651053)",,
244968554,False,,,Wöhrendamm,residential,50,False,49.285,"LINESTRING (10.2832631 53.663113, 10.2828913 53.6634976)",,
244968554,False,,,Wöhrendamm,residential,50,True,5.948,"LINESTRING (10.2832631 53.663113, 10.2833008 53.6630644)",,
11648735,False,,,Up de Worth,residential,30,False,83.955,"LINESTRING (10.2832631 53.663113, 10.2835566 53.6631942, 10.2841778 53.6634054, 10.2843809 53.6634744)",,
32594835,False,,,Schaapkoppel,residential,30,False,72.545,"LINESTRING (10.2879917 53.6617412, 10.2884365 53.662338)",,
