osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry,bridge,lanes
"[23925946, 81412676]",L 101,Hauptstraße,secondary,False,False,149.436,30,"LINESTRING (11.6806544 53.8660122, 11.6807333 53.8659972, 11.6812619 53.8657912, 11.6819092 53.8655388, 11.6825597 53.8652781)",,
58404776,L 101,Bahnhofstraße,secondary,False,True,138.117,50,"LINESTRING (11.6806544 53.8660122, 11.6805453 53.8660038, 11.6791081 53.8651867)",,
27084375,,Bahnhofstraße,residential,True,False,66.67,,"LINESTRING (11.6812435 53.8665009, 11.6806544 53.8660122)",,
27084935,,Bergstraße,residential,False,False,60.433,30,"LINESTRING (11.6812435 53.8665009, 11.6817917 53.866064)",,
"[58404784, 27084374, 58404783]",,Bergstraße,residential,False,True,125.71000000000001,30,"LINESTRING (11.6812435 53.8665009, 11.6810163 53.8666767, 11.6809345 53.8667493, 11.6801621 53.867434)",yes,
81412676,L 101,Hauptstraße,secondary,False,True,99.168,30,"LINESTRING (11.6843617 53.8647343, 11.6841799 53.8647437, 11.683986 53.8647772, 11.6830072 53.8651076)",,
880563662,L 101,Hauptstraße,secondary,False,False,103.96,30,"LINESTRING (11.6843617 53.8647343, 11.6847618 53.8647441, 11.6857116 53.864747, 11.6859468 53.8647477)",,2
880563662,L 101,Hauptstraße,secondary,False,True,21.18,30,"LINESTRING (11.6866708 53.8647499, 11.6863478 53.8647489)",,2
"[27084377, 242282502]",L 101,"['Bützower Straße', 'Alter Markt']",secondary,False,False,179.681,30,"LINESTRING (11.6866708 53.8647499, 11.6870763 53.8647962, 11.6876679 53.8649648, 11.6888172 53.8652822, 11.6891888 53.8653712)",,
27084947,,Alter Markt,residential,False,False,95.565,50,"LINESTRING (11.6866708 53.8647499, 11.686781 53.8645597, 11.6868477 53.8644426, 11.6868923 53.864211, 11.6868882 53.8640897, 11.6868948 53.8640072, 11.6868961 53.8639093)",,
27084373,K 38,Bergstraße,tertiary,False,False,17.298,50,"LINESTRING (11.6800112 53.8675616, 11.6801621 53.867434)",,
499207802,,Bergstraße,residential,False,True,201.956,50,"LINESTRING (11.6800112 53.8675616, 11.6779424 53.8689072)",,
46898896,K 38,Feldstraße,tertiary,False,True,138.152,50,"LINESTRING (11.6800112 53.8675616, 11.6800885 53.8676867, 11.6808123 53.8687106)",,
27084373,K 38,Bergstraße,tertiary,False,True,17.298,50,"LINESTRING (11.6801621 53.867434, 11.6800112 53.8675616)",,
499209999,K 38,Goethestraße,tertiary,False,False,132.543,50,"LINESTRING (11.6801621 53.867434, 11.6786177 53.8666649)",,
"[58404784, 27084374, 58404783]",,Bergstraße,residential,False,False,125.71000000000001,30,"LINESTRING (11.6801621 53.867434, 11.6809345 53.8667493, 11.6810163 53.8666767, 11.6812435 53.8665009)",yes,
27084372,K 38,Goethestraße,tertiary,False,False,193.633,50,"LINESTRING (11.6767972 53.8657244, 11.6768203 53.8656209, 11.6771418 53.8651644, 11.6771833 53.8650776, 11.6774563 53.8641008, 11.6775204 53.864051)",,
383956762,,Zum Holzplatz,residential,False,True,223.97899999999998,,"LINESTRING (11.6767972 53.8657244, 11.67664 53.865818, 11.6764017 53.8660604, 11.6757387 53.8667348, 11.6755001 53.8669698, 11.6750841 53.8674609)",,
499209999,K 38,Goethestraße,tertiary,False,True,79.021,50,"LINESTRING (11.6767972 53.8657244, 11.6768707 53.8657932, 11.6776863 53.8661991)",,
27084372,K 38,Goethestraße,tertiary,False,True,193.633,50,"LINESTRING (11.6775204 53.864051, 11.6774563 53.8641008, 11.6771833 53.8650776, 11.6771418 53.8651644, 11.6768203 53.8656209, 11.6767972 53.8657244)",,
"[27084376, 58404773, 58404776]",L 101,Bahnhofstraße,secondary,False,False,153.10399999999998,50,"LINESTRING (11.6775204 53.864051, 11.6776106 53.8641046, 11.6776741 53.8641556, 11.6780454 53.8644236, 11.6784323 53.864703, 11.6790023 53.8651145)",yes,
27084376,L 101,Bahnhofstraße,secondary,False,True,42.003,50,"LINESTRING (11.6775204 53.864051, 11.6772666 53.8638671, 11.6771055 53.8637634)",,
27084935,,Bergstraße,residential,False,True,60.433,30,"LINESTRING (11.6817917 53.866064, 11.6812435 53.8665009)",,
40351693,,Burgstraße,residential,False,False,191.596,,"LINESTRING (11.6817917 53.866064, 11.6825285 53.8664908, 11.6827481 53.8666141, 11.6828455 53.8666512, 11.6842053 53.8669806)",,
27084936,,Neumarkt,residential,False,False,36.538,30,"LINESTRING (11.6830072 53.8651076, 11.6826831 53.8653749)",,
81412676,L 101,Hauptstraße,secondary,False,True,27.819,30,"LINESTRING (11.6830072 53.8651076, 11.6826511 53.8652436)",,
81412676,L 101,Hauptstraße,secondary,False,False,99.16799999999999,30,"LINESTRING (11.6830072 53.8651076, 11.683986 53.8647772, 11.6841799 53.8647437, 11.6843617 53.8647343)",,
27084938,,Rudolf-Breitscheid-Straße,residential,False,False,64.389,,"LINESTRING (11.6845982 53.8664499, 11.6842053 53.8669806)",,
27084937,,Kussiner Straße,residential,False,False,172.7,30,"LINESTRING (11.6845982 53.8664499, 11.6844863 53.8664172, 11.6836788 53.8661177, 11.6830612 53.8658381, 11.6824628 53.8655464)",,
27084938,,Rudolf-Breitscheid-Straße,residential,False,True,209.88099999999997,,"LINESTRING (11.6845982 53.8664499, 11.6847594 53.8662446, 11.6851036 53.8657926, 11.6855287 53.8653452, 11.6859151 53.8648938, 11.6859468 53.8647477)",,
27084936,,Neumarkt,residential,False,False,15.317,30,"LINESTRING (11.6824628 53.8655464, 11.6823222 53.8656564)",,
27084936,,Neumarkt,residential,False,True,23.923,30,"LINESTRING (11.6824628 53.8655464, 11.6824885 53.8655264, 11.6826831 53.8653749)",,
27084937,,Kussiner Straße,residential,False,True,172.7,30,"LINESTRING (11.6824628 53.8655464, 11.6830612 53.8658381, 11.6836788 53.8661177, 11.6844863 53.8664172, 11.6845982 53.8664499)",,
27084938,,Rudolf-Breitscheid-Straße,residential,False,False,209.881,,"LINESTRING (11.6859468 53.8647477, 11.6859151 53.8648938, 11.6855287 53.8653452, 11.6851036 53.8657926, 11.6847594 53.8662446, 11.6845982 53.8664499)",,
880563662,L 101,Hauptstraße,secondary,False,False,26.293999999999997,30,"LINESTRING (11.6859468 53.8647477, 11.686019 53.8647479, 11.6863478 53.8647489)",,2
880563662,L 101,Hauptstraße,secondary,False,True,103.96,30,"LINESTRING (11.6859468 53.8647477, 11.6857116 53.864747, 11.6847618 53.8647441, 11.6843617 53.8647343)",,2
880563662,L 101,Hauptstraße,secondary,False,False,21.18,30,"LINESTRING (11.6863478 53.8647489, 11.6866708 53.8647499)",,2
27084939,,Straße der Freundschaft,residential,False,False,166.37,30,"LINESTRING (11.6863478 53.8647489, 11.6862884 53.8655029, 11.6862234 53.8661941, 11.6862212 53.8662432)",,
880563662,L 101,Hauptstraße,secondary,False,True,26.293999999999997,30,"LINESTRING (11.6863478 53.8647489, 11.686019 53.8647479, 11.6859468 53.8647477)",,2
27084940,,Ernst-Thälmann-Straße,residential,False,False,111.243,50,"LINESTRING (11.6862212 53.8662432, 11.6878165 53.8665837)",,
