osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref,access
28900232,Hauptstraße,residential,30,False,False,33.798,"LINESTRING (10.0312193 49.4699865, 10.0311012 49.4698893, 10.0309402 49.4697427)",,,
"[32823880, 32823881, 32823878]",Hauptstraße,residential,"['50', '30']",False,True,77.964,"LINESTRING (10.0312193 49.4699865, 10.0313206 49.4700786, 10.0317719 49.4703996, 10.0318314 49.4704257, 10.0319293 49.4705111)",yes,,
237498641,Kieselallee,residential,30,False,True,44.13499999999999,"LINESTRING (10.0312193 49.4699865, 10.0309908 49.4702098, 10.0309589 49.4702464, 10.0308907 49.4703209)",,,
60273763,Hauptstraße,residential,30,True,False,32.199,"LINESTRING (10.0307662 49.4694861, 10.030629 49.4692106)",,,
32824411,Schmiedgasse,residential,,False,False,58.558,"LINESTRING (10.0307662 49.4694861, 10.0310895 49.4694151, 10.0312643 49.4692988, 10.0314687 49.4692478)",,,
32825101,Kirchenstaffel,residential,,False,True,36.785000000000004,"LINESTRING (10.0307662 49.4694861, 10.0306209 49.4694507, 10.0303778 49.4694633, 10.0302724 49.4694838)",,,
28900235,Kreuzstraße,residential,,False,False,41.889,"LINESTRING (10.0305159 49.4686746, 10.0310941 49.4686477)",,,
32824660,Hauptstraße,residential,,False,False,89.981,"LINESTRING (10.0305159 49.4686746, 10.0304454 49.4685425, 10.0303256 49.4683471, 10.0302158 49.4681165, 10.0301236 49.4680331, 10.0300002 49.4679507)",,,
32824907,Torstraße,residential,30,False,True,47.866,"LINESTRING (10.0305159 49.4686746, 10.0300777 49.4687291, 10.0298704 49.4687691)",,,
"[32840616, 28900236, 28900237]",Waldstraße,residential,30,False,False,74.73100000000001,"LINESTRING (10.0316136 49.468437, 10.0316983 49.4683198, 10.0318961 49.46823, 10.0320669 49.4681769, 10.0322552 49.4681488, 10.032422 49.4681247, 10.0324607 49.4681176)",,,
"[38229001, 32840642, 32840643]",Kreuzstraße,residential,,False,True,41.116,"LINESTRING (10.0316136 49.468437, 10.0315621 49.4684843, 10.0314456 49.4685438, 10.0311564 49.4686493)",yes,,
"[32824314, 32824317, 32842798]",Riemenschneiderbrücke,secondary,50,False,False,238.794,"LINESTRING (10.0316136 49.468437, 10.0318508 49.4686238, 10.0321115 49.4687897, 10.0324371 49.4689683, 10.0326459 49.4690671, 10.0328551 49.4691847, 10.0330187 49.4692893, 10.0331736 49.4694053, 10.033215 49.469432, 10.0339532 49.469946)",yes,L 1005,
38229008,Rothenburger Straße,secondary,50,False,True,230.031,"LINESTRING (10.0365887 49.4688061, 10.0357096 49.4690783, 10.0352417 49.4692743, 10.0347648 49.4695009, 10.0342803 49.4697598, 10.0339532 49.469946)",,L 2251,
"[32824314, 32824317, 32842798]",Riemenschneiderbrücke,secondary,50,False,True,238.794,"LINESTRING (10.0339532 49.469946, 10.033215 49.469432, 10.0331736 49.4694053, 10.0330187 49.4692893, 10.0328551 49.4691847, 10.0326459 49.4690671, 10.0324371 49.4689683, 10.0321115 49.4687897, 10.0318508 49.4686238, 10.0316136 49.468437)",yes,L 1005,
38229008,Rothenburger Straße,secondary,50,False,False,230.031,"LINESTRING (10.0339532 49.469946, 10.0342803 49.4697598, 10.0347648 49.4695009, 10.0352417 49.4692743, 10.0357096 49.4690783, 10.0365887 49.4688061)",,L 2251,
38229008,Rothenburger Straße,secondary,50,False,True,116.798,"LINESTRING (10.0339532 49.469946, 10.0333798 49.4702649, 10.0327165 49.4706223)",,L 2251,
32823877,Hauptstraße,residential,50,False,False,44.477,"LINESTRING (10.0323304 49.4708145, 10.0319293 49.4705111)",,,
