osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,access,bridge
175755678,Carlstraße,residential,30,False,False,107.759,,,"LINESTRING (9.9766105 54.0800127, 9.9778215 54.0793536)",,
48594543,Roonstraße,tertiary,50,False,False,169.673,2,K 15,"LINESTRING (9.9766105 54.0800127, 9.976122 54.0797072, 9.976108 54.0796978, 9.97492 54.0789117, 9.9748701 54.0788789)",,
318807495,Kaiserstraße,residential,30,True,False,54.260999999999996,,,"LINESTRING (9.9806562 54.074488, 9.9809609 54.0744339, 9.9810811 54.0744126, 9.9814471 54.0743374)",,
376559987,Kaiserstraße,residential,30,False,True,41.239000000000004,,,"LINESTRING (9.9806562 54.074488, 9.9802179 54.0745659, 9.9800511 54.0745366)",,
91750160,Fabrikstraße,residential,30,True,False,177.83599999999996,1,,"LINESTRING (9.9803679 54.0728747, 9.9793009 54.072431, 9.9787893 54.0721766, 9.9786396 54.0720626, 9.9785635 54.0719813, 9.9784854 54.071879, 9.9784832 54.0717893)",,
270375622,Fabrikstraße,residential,30,False,True,129.15800000000002,,,"LINESTRING (9.9803679 54.0728747, 9.9809762 54.0731793, 9.9814311 54.0734115, 9.9818664 54.0736337)",,
"[508218416, 508218417]",Bahnhofstraße,residential,"['50', '30']",False,False,108.532,2,,"LINESTRING (9.9803679 54.0728747, 9.980038 54.07312, 9.9800092 54.0731423, 9.9797781 54.0733835, 9.9797063 54.0734592, 9.9794717 54.0736941)",,
"[508218417, 737405629]",Bahnhofstraße,residential,50,False,"[False, True]",76.383,"['2', '3']",,"LINESTRING (9.9803679 54.0728747, 9.9807237 54.0726076, 9.9810915 54.0723347)",,
4228080,Bahnhofstraße,residential,30,False,False,18.758,,,"LINESTRING (9.9794717 54.0736941, 9.9795706 54.0738525)",,
24208562,Hinter der Bahn,residential,,False,False,60.513999999999996,,,"LINESTRING (9.9794717 54.0736941, 9.9793097 54.0738621, 9.9790151 54.0741678)",,
"[508218416, 508218417]",Bahnhofstraße,residential,"['50', '30']",False,True,108.53200000000001,2,,"LINESTRING (9.9794717 54.0736941, 9.9797063 54.0734592, 9.9797781 54.0733835, 9.9800092 54.0731423, 9.980038 54.07312, 9.9803679 54.0728747)",,
181684107,Konrad-Adenauer-Platz,tertiary,,False,False,13.685,,,"LINESTRING (9.9810883 54.0762414, 9.9811405 54.0763606)",,
4212695,Kuhberg,tertiary,30,True,False,49.99,2,,"LINESTRING (9.9810883 54.0762414, 9.9811683 54.0761655, 9.9812665 54.0760889, 9.9814956 54.0759143, 9.9815613 54.0758928)",,
172595195,Großflecken,tertiary,20,True,False,12.882,1,,"LINESTRING (9.9857432 54.0729853, 9.9858155 54.0728775)",,
81133500,Kuhberg,tertiary,20,False,True,34.921,2,,"LINESTRING (9.9857432 54.0729853, 9.9857068 54.0730273, 9.9856744 54.0730682, 9.9855112 54.0732683)",,
4212706,Großflecken,tertiary,20,True,False,12.744,1,,"LINESTRING (9.9861718 54.0727536, 9.9860734 54.0728526)",,
