osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,bridge,tunnel
4894250,Burgschmietstraße,residential,30,False,False,47.89,"LINESTRING (11.071151 49.4577034, 11.0712735 49.4577041, 11.0718135 49.4577102)",,,,
136506126,Egidienplatz,residential,30,False,True,24.928,"LINESTRING (11.0808453 49.45683, 11.08119 49.4568226)",,,,
136538105,Egidienplatz,residential,30,False,False,45.614,"LINESTRING (11.0808453 49.45683, 11.0809957 49.4564316)",,,,
237820172,Dr.-Erich-Mulzer-Straße,residential,30,False,False,54.97,"LINESTRING (11.0808453 49.45683, 11.0807971 49.4568438, 11.0806992 49.4568718, 11.0801366 49.457009)",,,,
136647112,Tetzelgasse,residential,30,False,True,33.135,"LINESTRING (11.0801366 49.457009, 11.08004 49.4567177)",2,,,
136647112,Tetzelgasse,residential,30,False,False,59.464,"LINESTRING (11.0801366 49.457009, 11.0801898 49.4571524, 11.0803293 49.4575289)",2,,,
237820172,Dr.-Erich-Mulzer-Straße,residential,30,False,True,54.970000000000006,"LINESTRING (11.0801366 49.457009, 11.0806992 49.4568718, 11.0807971 49.4568438, 11.0808453 49.45683)",,,,
5029495,Paniersplatz,residential,30,False,False,143.356,"LINESTRING (11.0810158 49.4579253, 11.080713 49.4580017, 11.0804822 49.458068, 11.0803087 49.4581111, 11.0802125 49.4581398, 11.0801284 49.458155, 11.0800317 49.4581649, 11.079863 49.4581742, 11.0791032 49.4581903)",,,,
136647112,Tetzelgasse,residential,30,False,True,67.399,"LINESTRING (11.0810158 49.4579253, 11.080605 49.4577488, 11.0804448 49.4576501, 11.0803293 49.4575289)",2,,,
221539188,Vestnertormauer,residential,30,False,False,15.092,"LINESTRING (11.078332 49.4583609, 11.0783282 49.4582252)",,,,
130583765,Burg,residential,30,False,True,58.227000000000004,"LINESTRING (11.0775723 49.458045, 11.0780223 49.4581429, 11.0783282 49.4582252)",,,,
8003443,Untere Kreuzgasse,living_street,,False,True,58.433,"LINESTRING (11.0716361 49.4534206, 11.0717028 49.4533442, 11.0722939 49.4531347)",,,,
"[58673218, 251114474]",Neutorgraben,secondary,50,True,False,129.966,"LINESTRING (11.0703929 49.4551282, 11.0704424 49.4552352, 11.0704517 49.4552625, 11.0704829 49.455354, 11.0705212 49.4555061, 11.0705429 49.4556177, 11.0705498 49.4556668, 11.0705592 49.4557677, 11.0705851 49.4562601, 11.0705865 49.4562858)","['2', '3']",,,
130583768,Burgstraße,residential,30,False,False,19.884,"LINESTRING (11.0775318 49.4570755, 11.0775527 49.4572538)",,,,
4858521,Schildgasse,residential,30,False,False,172.51,"LINESTRING (11.0775318 49.4570755, 11.0782141 49.4571515, 11.0787492 49.4572586, 11.0790025 49.4573188, 11.0797933 49.4575465)",,,,
130583768,Burgstraße,residential,30,False,True,39.277,"LINESTRING (11.0775318 49.4570755, 11.0775286 49.4569967, 11.0775032 49.4567228)",,,,
4858521,Schildgasse,residential,30,False,False,38.896,"LINESTRING (11.0797933 49.4575465, 11.0799576 49.4575292, 11.0803293 49.4575289)",,,,
4858521,Schildgasse,residential,30,False,True,172.51,"LINESTRING (11.0797933 49.4575465, 11.0790025 49.4573188, 11.0787492 49.4572586, 11.0782141 49.4571515, 11.0775318 49.4570755)",,,,
5029495,Paniersplatz,residential,30,False,True,87.526,"LINESTRING (11.0797933 49.4575465, 11.0796677 49.4577082, 11.0796205 49.4577548, 11.0791995 49.4581092, 11.0791032 49.4581903)",,,,
35813717,Kaspar-Hauser-Platz,living_street,,False,True,58.39,"LINESTRING (11.0711816 49.453711, 11.0710807 49.4535429, 11.0711092 49.453469, 11.0709495 49.4532214)",,,,
