osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,width
5122355,2,L 597,Bahnhofstraße,secondary,False,True,49.712,"LINESTRING (7.8115314 52.2179348, 7.8115657 52.2179012, 7.8116125 52.2178336, 7.8116354 52.2177725, 7.8116247 52.2177181, 7.8115774 52.2176691, 7.8115231 52.2176328, 7.8113791 52.2175665)",,
27660810,2,L 504,Am Weingarten,secondary,False,False,124.29899999999999,"LINESTRING (7.8115314 52.2179348, 7.8113539 52.2178528, 7.8110669 52.2177543, 7.8106564 52.2176573, 7.8103531 52.2176163, 7.8101007 52.2175953, 7.8098327 52.2175947)",,
"[771095002, 65748650, 700557285]","['2', '3']",L 504,Bahnhofstraße,secondary,False,True,163.90499999999997,"LINESTRING (7.8115314 52.2179348, 7.8116785 52.2180369, 7.8117779 52.2181062, 7.8119939 52.2182799, 7.8123812 52.2186005, 7.8125915 52.2187381, 7.8129096 52.2189354, 7.8129512 52.2189595, 7.8130302 52.2189962, 7.8130805 52.2190141, 7.8131285 52.2190242)",,
"[118838288, 1169714427, 23037855]",2,L 597,Pagenstraße,secondary,False,False,353.643,"LINESTRING (7.8238522 52.2242856, 7.8237605 52.2242415, 7.8235829 52.2241728, 7.8232667 52.2240843, 7.8230084 52.2240343, 7.8227498 52.2239934, 7.8224829 52.2239499, 7.8222909 52.2239086, 7.822108 52.2238657, 7.8215425 52.2237273, 7.8210834 52.2236141, 7.8203106 52.2234217, 7.8201132 52.2233708, 7.8199147 52.2233031, 7.8198768 52.2232854, 7.8197227 52.2232094, 7.8195712 52.2231066, 7.8194349 52.222965, 7.8193773 52.2228575)",,
"[118838282, 66356720, 27660817, 75561174, 118838262]",1,,"['Am Heesberg', 'Grafenstraße', 'Lehmkuhlenweg']","['unclassified', 'residential']",False,True,1751.2390000000003,"LINESTRING (7.8238522 52.2242856, 7.8239341 52.2242276, 7.824025 52.2242068, 7.8240572 52.2242045, 7.8241646 52.2242563, 7.8242261 52.2243123, 7.8243873 52.2244773, 7.8245234 52.2245825, 7.8247943 52.2247271, 7.8254257 52.225053, 7.8258709 52.2252462, 7.826077 52.2253292, 7.8262648 52.2253892, 7.8265639 52.2254303, 7.827103 52.2254516, 7.828078 52.2254533, 7.8288899 52.2254543, 7.8293265 52.2254467, 7.8297654 52.2254018, 7.8304708 52.2253132, 7.830689 52.225275, 7.8308823 52.2252303, 7.8310299 52.2251878, 7.8314144 52.2250698, 7.8314414 52.2249972, 7.8314342 52.2248795, 7.8313712 52.2247992, 7.8309702 52.2244373, 7.8306904 52.2240386, 7.8306299 52.2239428, 7.8300528 52.2236106, 7.8298203 52.2234581, 7.8295385 52.2232037, 7.8292548 52.2229564, 7.8292024 52.2228458, 7.8291807 52.2227315, 7.8292964 52.2223828, 7.8293327 52.2221572, 7.8293277 52.2218448, 7.8294535 52.2214866, 7.829555 52.2211814, 7.8295893 52.2208869, 7.8295552 52.220753, 7.8294942 52.2206256, 7.8294278 52.2205611, 7.8293717 52.2205033, 7.8292091 52.2204329, 7.8289641 52.220405, 7.8286839 52.2203613, 7.8281572 52.2202706, 7.8278635 52.2202161, 7.8275737 52.2201661, 7.8274202 52.2201334, 7.8272629 52.2200777, 7.8271122 52.2199986, 7.826729 52.2197624, 7.8262948 52.2195651, 7.82614 52.2194671, 7.8253487 52.2189039, 7.8251418 52.2187773, 7.8249548 52.2187043, 7.824785 52.2186997, 7.8246181 52.2187533, 7.8245238 52.2187913, 7.8244242 52.2188024, 7.8239106 52.2187436, 7.8238135 52.2187478, 7.8236834 52.2187731, 7.8235315 52.218825, 7.823307 52.2189039, 7.8231623 52.2189559, 7.8229838 52.2189891, 7.822938 52.218983, 7.8229169 52.2189607, 7.8229105 52.2188972, 7.8229594 52.2188353, 7.8230778 52.2187263, 7.8231413 52.2186876, 7.8232357 52.2186217, 7.8234345 52.2184953, 7.8235399 52.218401, 7.823555 52.2183656, 7.8235347 52.2183186)",50,
29268086,,,Sieklandstraße,residential,False,False,47.599000000000004,"LINESTRING (7.8196083 52.2216387, 7.8197399 52.2216391, 7.8200431 52.221633, 7.8203066 52.2216405)",,
52911633,,L 597,Pagenstraße,secondary,False,False,257.829,"LINESTRING (7.8196083 52.2216387, 7.8195627 52.2214605, 7.8194594 52.22128, 7.8192964 52.2211203, 7.8189663 52.2209017, 7.818405 52.2206077, 7.8178774 52.2203868, 7.8173492 52.2201722, 7.8170849 52.2200825, 7.8170217 52.2200624)",50,
"[700557284, 66356717]",3,L 597,Pagenstraße,secondary,False,True,137.47299999999998,"LINESTRING (7.8196083 52.2216387, 7.8196051 52.2217269, 7.8193903 52.2222978, 7.8193586 52.2224212, 7.8193489 52.2225427, 7.8193488 52.2226298, 7.8193616 52.2227893, 7.8193773 52.2228575)",,
73716784,,L 504,Lengericher Straße,secondary,False,True,19.681,"LINESTRING (7.814714 52.2185618, 7.8147993 52.2183927)",50,
205388421,2,L 597,Pagenstraße,secondary,False,True,60.541999999999994,"LINESTRING (7.814714 52.2185618, 7.814624 52.2187108, 7.8145993 52.2187515, 7.8144617 52.2189917, 7.8144671 52.2190221, 7.8144765 52.2190439, 7.8145096 52.2190718)",50,
