osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,bridge,width,junction
22441070,Wilhelmstraße,residential,30,False,False,36.906,,,"LINESTRING (9.8314937 48.6241161, 9.831588 48.6244421)",,,
22441070,Wilhelmstraße,residential,30,False,True,73.372,,,"LINESTRING (9.8314937 48.6241161, 9.8313176 48.6234666)",,,
332679492,Stuttgarter Straße,primary,50,False,False,108.863,2,B 10,"LINESTRING (9.8314937 48.6241161, 9.8319097 48.6240149, 9.8328798 48.6237711)",,,
16802180,Bahnhofstraße,tertiary,50,False,True,121.63499999999999,,,"LINESTRING (9.8358817 48.6230602, 9.8361628 48.6229284, 9.8362211 48.6229073, 9.8364915 48.6228168, 9.8373669 48.6225892)",,,
"[382496872, 24778920]",Eberhardstraße,primary,50,False,False,219.18,"['2', '3']",B 10,"LINESTRING (9.8358817 48.6230602, 9.8359351 48.6228795, 9.8359455 48.6228426, 9.8360724 48.6224349, 9.8361964 48.6220685, 9.8362077 48.6220353, 9.8363108 48.6217418, 9.8363946 48.6215034, 9.8365129 48.6211339)",,,
"[382496875, 382496876]",Werkstraße,tertiary,50,False,True,47.521,3,L 1224,"LINESTRING (9.8358817 48.6230602, 9.8358673 48.623225, 9.8358595 48.6232968, 9.8358675 48.6233379, 9.8359092 48.6234842)",,,
544079850,Bahnhofstraße,primary,50,True,False,35.922,,B 10,"LINESTRING (9.8358817 48.6230602, 9.8357479 48.623247, 9.8357054 48.6232732, 9.835602 48.6233107)",,,
7852124,Heidenheimer Straße,tertiary,50,False,True,107.432,,K 1441,"LINESTRING (9.8437738 48.6225612, 9.8426035 48.6219824)",,,
29315961,Auf dem Häring,living_street,,True,False,402.62699999999995,,,"LINESTRING (9.8437738 48.6225612, 9.8434832 48.6226475, 9.8431229 48.6227153, 9.8426961 48.6227247, 9.8413782 48.6226464, 9.8407967 48.6226625, 9.8403731 48.6226883, 9.8402215 48.6227042, 9.8397616 48.6227578, 9.8396632 48.6227537, 9.8395822 48.6227398, 9.8393215 48.6226244, 9.8385994 48.6222579)",,,
7852124,Heidenheimer Straße,tertiary,50,False,False,107.432,,K 1441,"LINESTRING (9.8426035 48.6219824, 9.8437738 48.6225612)",,,
"[965698634, 7852124]",Heidenheimer Straße,tertiary,50,False,True,95.83,,K 1441,"LINESTRING (9.8426035 48.6219824, 9.8420163 48.6216678, 9.8416498 48.6214714, 9.8415894 48.6214408)",,,
"[976693551, 24665903]",Kaiser-Wilhelm-Straße,residential,,False,False,227.68100000000004,,,"LINESTRING (9.8411399 48.6207865, 9.8409765 48.6207994, 9.8408008 48.6208173, 9.8406648 48.6208351, 9.8405405 48.6208549, 9.8393744 48.6210555, 9.838491 48.6212413, 9.8384544 48.6212497, 9.8381541 48.6213188)",,,
"[320262449, 320262450, 85176193]",Bahnhofstraße,tertiary,40,False,True,158.311,3,,"LINESTRING (9.8411399 48.6207865, 9.8411385 48.6207675, 9.8410922 48.6204082, 9.8410904 48.620392, 9.8410822 48.6203019, 9.8410668 48.6201315, 9.8410392 48.6198811, 9.8410038 48.6193658)",,,
"[827790088, 545102418]",Bahnhofstraße,tertiary,40,False,False,22.099000000000004,3,,"LINESTRING (9.8411399 48.6207865, 9.8411569 48.6208808, 9.8411637 48.6209106, 9.8411897 48.6209822)",,,
16802180,Bahnhofstraße,tertiary,50,False,False,116.865,,,"LINESTRING (9.8399766 48.6217327, 9.8399246 48.6217526, 9.8385994 48.6222579)",,,
29316032,Hauffstraße,residential,30,True,False,243.291,,,"LINESTRING (9.8399766 48.6217327, 9.8404346 48.6222245, 9.8405593 48.6222873, 9.8407023 48.6223247, 9.8420273 48.6223199, 9.8422302 48.6222758, 9.8423696 48.6222089, 9.8426035 48.6219824)",,,
827790087,Bahnhofstraße,tertiary,50,False,True,87.394,2,,"LINESTRING (9.8399766 48.6217327, 9.8405402 48.6215126, 9.8410163 48.6213522)",,,
24779132,Eybstraße,residential,30,False,True,73.802,,,"LINESTRING (9.8366375 48.6247375, 9.8367569 48.6247394, 9.8376133 48.6245927)",,,
25001211,Werkstraße,tertiary,50,False,False,90.99199999999999,2,L 1224,"LINESTRING (9.8366375 48.6247375, 9.8364337 48.6243571, 9.8362045 48.623971)",,,
"[25001209, 30033372, 25001211, 1223463228]",Werkstraße,tertiary,50,False,True,98.747,2,L 1224,"LINESTRING (9.8366375 48.6247375, 9.8366763 48.6248171, 9.8367699 48.6250092, 9.8367955 48.6250617, 9.8368484 48.6251676, 9.8368505 48.6251718, 9.8369258 48.6253207, 9.8370053 48.6254856, 9.8370366 48.6255849)",yes,,
827790085,Eybstraße,residential,30,False,False,128.02,2,,"LINESTRING (9.8366375 48.6247375, 9.8364939 48.6247395, 9.8359572 48.624858, 9.8353815 48.6249974, 9.8349782 48.625073)",,,
22441070,Wilhelmstraße,residential,30,False,True,72.623,,,"LINESTRING (9.8317711 48.6250839, 9.831588 48.6244421)",,,
24779131,Mühlstraße,residential,30,False,True,23.815,,,"LINESTRING (9.8317711 48.6250839, 9.8320931 48.6251078)",,,
