osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,access,width
147367793,True,1,Bahnhofstraße,residential,20,False,63.013999999999996,"LINESTRING (9.1838558 50.9118768, 9.1838741 50.9119262, 9.1839146 50.9119992, 9.1839146 50.9120871, 9.183861 50.912175, 9.1837537 50.9122495, 9.183589 50.9123658)",,,,
336354694,False,,Bahnhofstraße,tertiary,50,False,84.345,"LINESTRING (9.1838558 50.9118768, 9.1842249 50.9117908, 9.1843066 50.9117717, 9.1844436 50.9117387, 9.1845044 50.911724, 9.1849792 50.9116055)",L 3145,,,
336354694,False,,Bahnhofstraße,tertiary,50,True,64.155,"LINESTRING (9.1838558 50.9118768, 9.1835597 50.9119309, 9.1832611 50.9119942, 9.1831137 50.912009, 9.1829714 50.9120042)",L 3145,,,
25664741,False,,Zwalmstraße,tertiary,50,False,20.541,"LINESTRING (9.1888165 50.9114226, 9.1890871 50.9114934)",,,,
"[25492515, 25492517, 25492518]",False,3,Wasenberger Straße,secondary,50,False,64.276,"LINESTRING (9.1888165 50.9114226, 9.188865 50.9114018, 9.1889248 50.9113761, 9.1889532 50.9113532, 9.1890931 50.9111416, 9.1891242 50.9110926, 9.1891464 50.9110488, 9.1891573 50.9110097, 9.1891661 50.9109671, 9.1891649 50.9109114)",L 3145,yes,,
27636701,False,1,Töpferweg,residential,50,False,56.28,"LINESTRING (9.1888165 50.9114226, 9.1887704 50.9114477, 9.1887101 50.9114585, 9.1886358 50.9114586, 9.1884045 50.9114415, 9.1880336 50.9114591)",,,,
"[334556601, 332339211, 64906527]",False,"['2', '3']",Bahnhofstraße,secondary,50,True,173.484,"LINESTRING (9.1888165 50.9114226, 9.1886652 50.9113992, 9.1885837 50.9113836, 9.1880256 50.9112381, 9.1878938 50.9112085, 9.1877321 50.9111767, 9.1876089 50.911155, 9.1874985 50.9111395, 9.187394 50.9111305, 9.1872928 50.9111269, 9.1868865 50.9111374, 9.1867871 50.9111373, 9.1867134 50.9111353, 9.1866386 50.9111276, 9.1865657 50.911117, 9.1864288 50.9110933)",L 3145,,,
"[25492515, 25492517, 25492518]",False,3,Wasenberger Straße,secondary,50,True,64.276,"LINESTRING (9.1891649 50.9109114, 9.1891661 50.9109671, 9.1891573 50.9110097, 9.1891464 50.9110488, 9.1891242 50.9110926, 9.1890931 50.9111416, 9.1889532 50.9113532, 9.1889248 50.9113761, 9.188865 50.9114018, 9.1888165 50.9114226)",L 3145,yes,,
30156805,False,1,Ulrichsweg,residential,30,False,467.338,"LINESTRING (9.1891649 50.9109114, 9.1890026 50.9108684, 9.188474 50.9107694, 9.18759 50.9105205, 9.1868432 50.9102499, 9.1857703 50.9099576, 9.1846374 50.9096437, 9.1837104 50.9092919, 9.1832222 50.9090505)",,,,
"[64907656, 334823712]",False,,Wasenberger Straße,secondary,50,False,90.84299999999999,"LINESTRING (9.1891649 50.9109114, 9.1891653 50.9108441, 9.1891661 50.9107869, 9.1891742 50.9107346, 9.1891885 50.9106807, 9.1892266 50.9105752, 9.1892599 50.9105, 9.1892916 50.9104156, 9.1893711 50.9102204, 9.1894053 50.9101118)",L 3145,,,
