osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,width,junction
341170116,2,MIL 41,Trennfurter Straße,tertiary,50,False,False,8.441,"LINESTRING (9.1768155 49.7783408, 9.1768179 49.7782649)",,,,
23059626,,,Bahnhofstraße,unclassified,30,False,False,89.214,"LINESTRING (9.1768155 49.7783408, 9.1770231 49.7783712, 9.1773512 49.7784557, 9.1777323 49.7785537, 9.1779794 49.7786176)",,,,
"[96361130, 341170116]",2,MIL 41,Trennfurter Straße,tertiary,50,False,True,290.26300000000003,"LINESTRING (9.1768155 49.7783408, 9.1767433 49.7789365, 9.1767423 49.7789418, 9.1766693 49.7794069, 9.1766233 49.7796024, 9.1765615 49.7798421, 9.1765056 49.7800076, 9.1764003 49.7802846, 9.176261 49.780557, 9.1761239 49.7807918, 9.1760626 49.7808911)",,,,
"[39433155, 173278859, 23302148]",2,St 3259,Mainbrücke Klingenberg,secondary,50,False,"[False, True]",229.245,"LINESTRING (9.1772273 49.7813288, 9.1773207 49.7813092, 9.1774168 49.7813035, 9.1775112 49.7813121, 9.1776017 49.781325, 9.1776882 49.7813464, 9.1799457 49.7821881, 9.1800453 49.7822193)",yes,,,
"[611534500, 41014196, 327856029]",,,Bahnhofstraße,unclassified,30,False,True,181.227,"LINESTRING (9.1772273 49.7813288, 9.1772147 49.7812323, 9.1772069 49.7811796, 9.1772122 49.7811456, 9.1772164 49.781112, 9.1773292 49.780926, 9.1774263 49.7807647, 9.1774877 49.7806658, 9.1776777 49.7803596, 9.1778483 49.7801046, 9.1780257 49.7798003)",,,,
22990861,,,Lindenstraße,living_street,,False,False,22.216,"LINESTRING (9.1827041 49.7821412, 9.1823976 49.7821138)",,,,
22996285,,,Hauptstraße,living_street,,True,False,47.348,"LINESTRING (9.1827041 49.7821412, 9.1827195 49.7819959, 9.1827374 49.7818516, 9.1827398 49.7817162)",,,,
"[599459162, 60111811, 23304189]",2,St 2309,Brückenstraße,secondary,"['50', '30']",False,True,193.19599999999997,"LINESTRING (9.1811882 49.7817099, 9.1812308 49.7816867, 9.1814097 49.7815846, 9.1815879 49.7814734, 9.1816876 49.7814129, 9.1819644 49.7812347, 9.1822299 49.7810192, 9.1825016 49.7807741, 9.1826177 49.7806951, 9.1827442 49.7806494, 9.183016 49.7805918, 9.1831154 49.7805399)",,,,
"[327856026, 210607757]",,,Lindenstraße,living_street,,False,True,51.118,"LINESTRING (9.1811882 49.7817099, 9.1813008 49.7817485, 9.1818284 49.7819109)",,,,
"[1164681792, 1164681793, 210607761]",2,St 2309,Brückenstraße,secondary,50,False,False,84.94,"LINESTRING (9.1811882 49.7817099, 9.1811493 49.7817351, 9.1810163 49.7818214, 9.1807953 49.7819596, 9.1806409 49.7820578, 9.1804248 49.7821753, 9.1803654 49.7822037, 9.1803152 49.7822232)",,,,
