osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,width,tunnel
23392763,1,Johanneskreisel,tertiary,50,roundabout,True,False,4.969,"LINESTRING (7.4010102 50.4354161, 7.4009629 50.4353831)",,
23392763,1,Johanneskreisel,tertiary,50,roundabout,True,False,7.727,"LINESTRING (7.4010317 50.4352209, 7.401083 50.4352091, 7.4011375 50.4352076)",,
60199378,2,Aktienstraße,tertiary,50,,False,False,23.333,"LINESTRING (7.4008002 50.4347277, 7.4007848 50.4348407, 7.4007922 50.434937)",,
23393210,,Karolingerstraße,residential,30,,True,False,44.77,"LINESTRING (7.4079027 50.4376773, 7.4085122 50.4375705)",5,
23408006,,Grüner Weg,residential,30,,False,True,121.30099999999999,"LINESTRING (7.4079027 50.4376773, 7.4075238 50.4369976, 7.4073296 50.4366493)",7,
23392769,,Ludwigstraße,residential,30,,True,False,130.69,"LINESTRING (7.4071496 50.4390238, 7.4070403 50.4387867, 7.4064927 50.4379265)",4.5,
37137163,2,Koblenzer Straße,residential,50,,False,False,105.232,"LINESTRING (7.4071496 50.4390238, 7.4074092 50.438989, 7.4077294 50.4389403, 7.4078875 50.4389163, 7.4085965 50.4388086)",,
37137163,2,Koblenzer Straße,residential,50,,False,True,75.916,"LINESTRING (7.4071496 50.4390238, 7.4067438 50.4390951, 7.4063416 50.4391743, 7.4062144 50.4391993, 7.4061217 50.4391813)",,
55111992,,Landsegnung,residential,30,,False,True,95.087,"LINESTRING (7.408268 50.4355237, 7.4085562 50.4363589)",7,
25957013,2,Breite Straße,tertiary,30,,False,False,122.218,"LINESTRING (7.3959856 50.4379987, 7.3961176 50.4379308, 7.396403 50.4376194, 7.3965186 50.43748, 7.3967209 50.4372359, 7.3967893 50.4371817, 7.3969145 50.4370825)",,
23392765,2,Breite Straße,tertiary,30,,False,False,137.26000000000002,"LINESTRING (7.3969145 50.4370825, 7.3970355 50.4369757, 7.3973994 50.4367019, 7.3978007 50.4364673, 7.3983119 50.4362401)",,
25957013,2,Breite Straße,tertiary,30,,False,True,122.21799999999999,"LINESTRING (7.3969145 50.4370825, 7.3967893 50.4371817, 7.3967209 50.4372359, 7.3965186 50.43748, 7.396403 50.4376194, 7.3961176 50.4379308, 7.3959856 50.4379987)",,
"[37664241, 26116271]",2,Breite Straße,residential,50,,False,False,73.291,"LINESTRING (7.3969145 50.4370825, 7.3969702 50.4371278, 7.3970098 50.43716, 7.397096 50.4372648, 7.3971583 50.4374593, 7.3973552 50.4376063, 7.3974271 50.4376279)",,
37137162,2,Auf der Wick,residential,30,,False,False,63.973,"LINESTRING (7.3974271 50.4376279, 7.3975459 50.4376077, 7.3976517 50.4375709, 7.3978839 50.437466, 7.3980123 50.4374044, 7.3981374 50.4373563, 7.3982045 50.4373641)",6.5,
"[37664241, 26116271]",2,Breite Straße,residential,50,,False,True,73.291,"LINESTRING (7.3974271 50.4376279, 7.3973552 50.4376063, 7.3971583 50.4374593, 7.397096 50.4372648, 7.3970098 50.43716, 7.3969702 50.4371278, 7.3969145 50.4370825)",,
618576027,2,Auf der Wick,residential,,,False,True,18.899,"LINESTRING (7.3974271 50.4376279, 7.3973528 50.4376956, 7.3972665 50.4377635)",,
"[472541201, 472541202, 23564582]",,Am Stadtgraben,"['living_street', 'residential']",20,,False,False,95.053,"LINESTRING (7.4013236 50.4380727, 7.4012412 50.438057, 7.401087 50.4380148, 7.4007868 50.4379515, 7.4004428 50.4378737, 7.4002357 50.4378261, 7.4000592 50.437787)",5,
