osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel,width
35333559,True,2,B 10;B 294,Luisenstraße,primary,50,False,47.332,"LINESTRING (8.7007673 48.8935029, 8.7009339 48.8934543, 8.701136 48.8934224, 8.7011832 48.8934144, 8.7013857 48.8933815)",,,
"[330653155, 243696599]",False,4,B 10;B 294,Luisenstraße,primary,50,True,119.371,"LINESTRING (8.7007673 48.8935029, 8.7006238 48.8935124, 8.7004654 48.8935193, 8.700191 48.8935266, 8.6996161 48.8935392, 8.6991362 48.8935464)",,,
"[28510005, 459809166]",True,4,B 10;B 294,Bahnhofplatz,primary,50,False,62.284000000000006,"LINESTRING (8.7046398 48.8933763, 8.7039729 48.8933904, 8.7038772 48.893392, 8.7037883 48.8933944)",,,
"[976124675, 977005737, 976124674, 35333547]",True,"['2', '3']",B 10,Lindenstraße,primary,50,False,161.90900000000002,"LINESTRING (8.7067764 48.8926708, 8.7066408 48.8926808, 8.7064727 48.8926752, 8.7063939 48.8926757, 8.7063126 48.8926794, 8.7062101 48.892685, 8.7061474 48.8926902, 8.7060705 48.8927005, 8.7059957 48.8927131, 8.7059048 48.8927316, 8.7058126 48.8927554, 8.7057274 48.8927805, 8.7056399 48.8928088, 8.7055438 48.892842, 8.7054171 48.8928933, 8.7053432 48.8929245, 8.7052701 48.8929608, 8.7051948 48.8929998, 8.7051252 48.8930415, 8.7050607 48.8930844, 8.7049983 48.8931316, 8.7049342 48.8931819, 8.7048523 48.8932477)",,,
"[653949672, 35333557]",False,2,B 10,Lindenstraße,primary,50,False,101.719,"LINESTRING (8.7067764 48.8926708, 8.7068678 48.8926828, 8.707011 48.8927022, 8.7072885 48.8927426, 8.707427 48.8927631, 8.7081336 48.892872)",,,
29116955,True,1,,Deimlingstraße,secondary,50,False,15.523,"LINESTRING (8.703657 48.8900099, 8.703546 48.8898909)",,,
144880092,True,2,,Am Waisenhausplatz,secondary,50,False,39.34,"LINESTRING (8.703657 48.8900099, 8.7034751 48.8900206, 8.7031214 48.8900438)",,,
976764111,False,3,,Östliche Karl-Friedrich-Straße,secondary,50,False,7.888,"LINESTRING (8.704493 48.891488, 8.7046002 48.891496)",,,
"[291933889, 144195987]",True,"['2', '3']",,Deimlingstraße,secondary,50,False,188.64800000000002,"LINESTRING (8.704493 48.891488, 8.7045169 48.8914202, 8.7045449 48.8913547, 8.7045619 48.891292, 8.7045956 48.8911516, 8.7045955 48.8910315, 8.7045927 48.8909687, 8.7045829 48.8909141, 8.7045726 48.8908625, 8.7045584 48.8908046, 8.7045391 48.8907452, 8.7045022 48.8906819, 8.7044556 48.8906205, 8.7044055 48.8905639, 8.7043427 48.8905053, 8.7042695 48.8904465, 8.7040574 48.8902958, 8.703991 48.8902483, 8.7039448 48.8902147, 8.7038147 48.8901271, 8.7037534 48.8900861, 8.703657 48.8900099)",,,
321834747,False,,,Östliche Karl-Friedrich-Straße,living_street,,True,98.25099999999999,"LINESTRING (8.704493 48.891488, 8.7044525 48.8914837, 8.7042741 48.8914738, 8.7042022 48.8914709, 8.7038441 48.8914531, 8.7037104 48.891444, 8.7036781 48.8914439, 8.7033431 48.8914281, 8.703153 48.8914293)",,,
"[374789644, 374789645, 4899257, 10503516, 10503517]",False,"['2', '3']",,"['Rossbrücke', 'Leopoldstraße']",residential,"['50', '30']",False,111.334,"LINESTRING (8.6987648 48.8902713, 8.6987259 48.8902109, 8.6987117 48.8901845, 8.6985239 48.8898545, 8.6985142 48.8898367, 8.6983527 48.889638, 8.698336 48.88962, 8.6983185 48.8895957, 8.6981794 48.8893947, 8.6981545 48.8893557)",yes,,
"[141045763, 942535484, 62194999]",False,"['4', '5']",,"['Am Waisenhausplatz', 'Zerrennerstraße']",secondary,"['50', '30']","[False, True]",137.364,"LINESTRING (8.6987648 48.8902713, 8.6989644 48.8902421, 8.6990423 48.8902334, 8.6997518 48.8901724, 8.7000978 48.8901395, 8.700627 48.8901182)",,,
"[435770632, 734946695]",True,1,,Zerrennerstraße,secondary,30,False,70.997,"LINESTRING (8.6987648 48.8902713, 8.6986229 48.890323, 8.697827 48.8904178)",,,
"[26809760, 144215180, 435770982]",False,,,"['Baumstraße', 'Hafnergasse']",residential,50,False,98.423,"LINESTRING (8.697827 48.8904178, 8.6979031 48.8906629, 8.6979614 48.8908557, 8.6980143 48.8910706, 8.6980617 48.8910647, 8.6983447 48.8910316)",,building_passage,
