osmid,oneway,ref,name,highway,reversed,length,maxspeed,bridge,geometry,width,lanes,access
26366864,False,L 1044,Hauptstraße,secondary,False,19.738,,,"LINESTRING (9.6151721 49.2953812, 9.6154083 49.295293)",,,
"[319067920, 319067921, 9238054]",False,L 1044,Hauptstraße,secondary,False,71.746,50,yes,"LINESTRING (9.6151721 49.2953812, 9.6150387 49.29543, 9.6144928 49.2956294, 9.6143056 49.2956925)",,,
24598350,False,L 1044,Turmgasse,secondary,False,186.451,50,,"LINESTRING (9.6151721 49.2953812, 9.6150729 49.2949374, 9.6150481 49.2948363, 9.6149874 49.294572, 9.6149295 49.2942208, 9.6149163 49.2939031, 9.6149217 49.2937589, 9.614942 49.2937176)",,,
"[737531041, 47324967, 644570513, 644570514, 47324956]",False,,Brückenwiesenweg,residential,True,211.12599999999995,30,yes,"LINESTRING (9.6151721 49.2953812, 9.615225 49.2955193, 9.6153013 49.2956895, 9.6153967 49.295832, 9.6157354 49.2961272, 9.6158012 49.2961871, 9.61591 49.296261, 9.6160464 49.2963615, 9.6160956 49.2963997, 9.616195 49.2964793, 9.6163314 49.296578, 9.6165066 49.2967066, 9.6165578 49.2967443, 9.6166089 49.2967857, 9.616664 49.2968283, 9.6167108 49.2968644, 9.6167805 49.2969309)",,,
26756642,False,,Gerberstraße,residential,False,48.587999999999994,,,"LINESTRING (9.6189508 49.294925, 9.6189805 49.2949764, 9.6189945 49.295062, 9.6189729 49.2951718, 9.6189663 49.295357)",,,
27196872,False,L 1044,Bahnhofstraße,secondary,False,148.99499999999998,,,"LINESTRING (9.6189508 49.294925, 9.6188369 49.2947115, 9.6186633 49.2943481, 9.6185932 49.2942577, 9.6184596 49.294147, 9.6183322 49.2940415, 9.6178494 49.2938737)",,,
292953198,False,L 1044,Hauptstraße,secondary,True,79.69,,,"LINESTRING (9.6189508 49.294925, 9.6187706 49.2949361, 9.6185104 49.2949326, 9.6183559 49.2949229, 9.6181437 49.2949002, 9.6178619 49.2948634)",,,
725890831,False,L 1044,Neufelser Straße,secondary,True,29.858,,,"LINESTRING (9.6189508 49.294925, 9.6190955 49.2949098, 9.6191921 49.2948925, 9.619264 49.2948585, 9.6193079 49.2948179)",,,
26459282,False,,Pfarrgasse,residential,False,40.010999999999996,,,"LINESTRING (9.6183738 49.2956549, 9.6180676 49.2956732, 9.6178269 49.2957003)",,,
26459282,False,,Pfarrgasse,residential,True,57.209999999999994,,,"LINESTRING (9.6183738 49.2956549, 9.6187689 49.2956301, 9.6188397 49.2956156, 9.6188539 49.2955764, 9.6188863 49.2954814, 9.6189734 49.2954411)",,,
161809691,False,,Seehof,residential,False,37.571,,,"LINESTRING (9.6183738 49.2956549, 9.6183685 49.2958606, 9.6181722 49.2958934)",,,
26459282,False,,Pfarrgasse,residential,False,84.657,,,"LINESTRING (9.6178269 49.2957003, 9.6175803 49.2957688, 9.6173797 49.2957961, 9.6169164 49.2957985, 9.6166859 49.2957872)",,,
26459282,False,,Pfarrgasse,residential,True,40.010999999999996,,,"LINESTRING (9.6178269 49.2957003, 9.6180676 49.2956732, 9.6183738 49.2956549)",,,
47324951,False,,Schulstraße,residential,False,37.185,,,"LINESTRING (9.6178269 49.2957003, 9.6178162 49.2955836, 9.6178174 49.2953661)",,,
