osmid,lanes,name,highway,junction,oneway,reversed,length,geometry,ref,maxspeed,bridge
4865783,1,Joseph-Bauer-Platz,primary,roundabout,True,False,20.165000000000003,"LINESTRING (6.2874723 51.7370217, 6.2874819 51.7370091, 6.2874941 51.7369974, 6.2875088 51.7369868, 6.2875256 51.7369775, 6.2875442 51.7369696, 6.2875644 51.7369634, 6.2875857 51.7369589, 6.2876078 51.7369562, 6.2876302 51.7369553, 6.2876527 51.7369563, 6.2876748 51.7369591, 6.287696 51.7369637, 6.2877161 51.7369701)",,,
"[4865784, 43710239]",1,Gocher Straße,primary,,False,False,57.587,"LINESTRING (6.2874723 51.7370217, 6.2874009 51.7369961, 6.2869607 51.7368505, 6.2868778 51.7368096, 6.2867734 51.736744)",B 67,50,
4865783,1,Joseph-Bauer-Platz,primary,roundabout,True,False,16.932,"LINESTRING (6.2877161 51.7369701, 6.2877318 51.7369766, 6.2877462 51.7369842, 6.2877591 51.7369928, 6.2877704 51.7370022, 6.28778 51.7370123, 6.2877876 51.737023, 6.2877933 51.7370342, 6.2877969 51.7370457, 6.2877985 51.7370574, 6.2877979 51.7370691, 6.2877952 51.7370807, 6.2877904 51.737092, 6.2877836 51.7371029)",,,
501318352,2,Bahnhofstraße,primary,,False,False,67.447,"LINESTRING (6.2877161 51.7369701, 6.2877576 51.7369215, 6.2878999 51.7367707, 6.2880945 51.7365526, 6.2882101 51.7364468)",B 57; B 67,50,
4865783,1,Joseph-Bauer-Platz,primary,roundabout,True,False,16.568,"LINESTRING (6.2875456 51.7371507, 6.28753 51.7371445, 6.2875157 51.7371372, 6.2875027 51.7371291, 6.2874913 51.7371201, 6.2874815 51.7371103, 6.2874735 51.7371, 6.2874673 51.7370892, 6.2874632 51.737078, 6.287461 51.7370666, 6.2874608 51.7370552, 6.2874626 51.7370438, 6.2874665 51.7370326, 6.2874723 51.7370217)",,,
53773406,2,Bahnhofstraße,primary,,False,True,107.97699999999999,"LINESTRING (6.2875456 51.7371507, 6.2875096 51.7372057, 6.2874016 51.7373482, 6.2873082 51.7374796, 6.2872725 51.7375299, 6.2872106 51.7376481, 6.2871612 51.7377599, 6.2871419 51.7378141, 6.2871087 51.7379073, 6.2870722 51.7380704)",B 57,50,
"[711679256, 33718193]",,Behrnenweg,residential,,False,"[False, True]",8.842,"LINESTRING (6.2867734 51.736744, 6.2867199 51.7367743, 6.2866847 51.7368012)",,,
43710238,1,Gocher Straße,primary,,False,False,92.67800000000001,"LINESTRING (6.2867734 51.736744, 6.2867042 51.7366941, 6.2866389 51.7366393, 6.2865709 51.7365756, 6.286455 51.7364565, 6.2862704 51.7362572, 6.2861423 51.7361624, 6.2859966 51.7360677)",B 67,50,
"[4865784, 43710239]",1,Gocher Straße,primary,,False,True,57.587,"LINESTRING (6.2867734 51.736744, 6.2868778 51.7368096, 6.2869607 51.7368505, 6.2874009 51.7369961, 6.2874723 51.7370217)",B 67,50,
"[50140688, 1120199917]",2,Klever Straße,primary,,False,False,77.772,"LINESTRING (6.2867069 51.7387129, 6.2868462 51.7386099, 6.2868971 51.7385658, 6.2870243 51.7383495, 6.2870722 51.7380704)",B 57,50,
