osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,junction
45674088,4,B 3;B 36,Bahnhofstraße,primary,30,False,True,13.951,"LINESTRING (8.2134209 48.8600675, 8.2135852 48.8601312)",,,
72464240,4,B 3,Bahnhofstraße,primary,30,False,False,41.409,"LINESTRING (8.2134209 48.8600675, 8.2129058 48.8599131)",,,
"[16715752, 447582796]","['2', '3']",,Kapellenstraße,residential,50,False,True,65.405,"LINESTRING (8.2062578 48.8558965, 8.2063556 48.8557888, 8.206472 48.8556604, 8.2066117 48.8555066, 8.2067162 48.8553915)",,,
38087025,1,,Herrenstraße,residential,30,True,False,86.82300000000001,"LINESTRING (8.2062578 48.8558965, 8.2057087 48.8564783, 8.2056317 48.8565598)",,,
"[1012731365, 1012731366, 446856276, 447584280, 447584283]","['2', '3']",B 3,Kapellenstraße,primary,30,False,False,117.47,"LINESTRING (8.2062578 48.8558965, 8.2056923 48.8556621, 8.2055408 48.8555978, 8.2055024 48.8555818, 8.2053648 48.8555245, 8.2050002 48.8553727, 8.2049012 48.8553314)",,,
"[447584288, 995466560, 995466561, 346250312, 4604394, 343720555, 34716204]","['2', '3']",B 3,"['Kapellenstraße', 'Bahnhofstraße']",primary,30,False,True,267.51599999999996,"LINESTRING (8.2062578 48.8558965, 8.2064937 48.8559941, 8.2066145 48.8560658, 8.2066921 48.8561297, 8.2067705 48.8562079, 8.2068123 48.8562582, 8.2068572 48.8563183, 8.2069016 48.8563796, 8.2069461 48.8564731, 8.2069678 48.8565309, 8.2070273 48.8567443, 8.2070507 48.8568543, 8.2070606 48.8569441, 8.207058 48.8569812, 8.2070514 48.8570651, 8.2070411 48.8571237, 8.2070235 48.8571746, 8.2068693 48.8574214, 8.206836 48.8575177, 8.2068273 48.8575849, 8.2068428 48.8576484, 8.2068618 48.8576967, 8.2068895 48.8577349, 8.2069266 48.8577687, 8.2069763 48.8578013, 8.207052 48.8578372, 8.2072237 48.8579097, 8.207313 48.8579414)",,,
961001897,,,Lyzeumstraße,residential,30,False,False,10.814,"LINESTRING (8.2083258 48.861054, 8.2082328 48.8609784)",,,
4632951,,,Ludwig-Wilhelm-Straße,residential,30,False,True,119.316,"LINESTRING (8.2083258 48.861054, 8.2084042 48.8611052, 8.2084758 48.861152, 8.2094833 48.86181)",,,
961001895,1,,An der Ludwigfeste,tertiary,50,True,False,35.303,"LINESTRING (8.2083258 48.861054, 8.2082087 48.8611231, 8.2079552 48.8612572)",,,
9875608,,,An der Ludwigfeste,tertiary,50,True,False,35.795,"LINESTRING (8.2093573 48.859728, 8.2096019 48.8594492)",,,
9875603,,,Am Schloßplatz,residential,50,False,False,214.26,"LINESTRING (8.2093573 48.859728, 8.2087425 48.8594851, 8.208609 48.8594324, 8.2083238 48.8593197, 8.2074647 48.8589804, 8.2068482 48.8587341)",,,
12851740,,,Josefstraße,residential,50,False,False,4.079,"LINESTRING (8.2077521 48.8531757, 8.207807 48.8531693)",,,
12851740,,,Josefstraße,residential,50,False,True,62.333,"LINESTRING (8.2077521 48.8531757, 8.2076737 48.8531863, 8.2075865 48.8531977, 8.2074415 48.8532168, 8.2072679 48.853244, 8.2071026 48.8532823, 8.2069375 48.8533318)",,,
12851740,,,Josefstraße,residential,50,False,True,5.328,"LINESTRING (8.208525 48.8530857, 8.2084533 48.8530941)",,,
13215479,,,Prinz-Eugen-Straße,residential,30,False,True,114.357,"LINESTRING (8.2107464 48.8550397, 8.2114528 48.8549756, 8.2117757 48.8549697, 8.2120862 48.8549659, 8.212288 48.8550173)",,,
23147482,2,,Karlstraße,tertiary,30,False,False,90.971,"LINESTRING (8.2107464 48.8550397, 8.2106313 48.8546216, 8.2105254 48.8542346)",,,
"[1219525776, 23147482]",2,,Karlstraße,tertiary,30,False,True,149.25599999999997,"LINESTRING (8.2107464 48.8550397, 8.2107796 48.8551581, 8.2108405 48.8553751, 8.2108546 48.8554251, 8.2110952 48.8562675, 8.2111273 48.8563583)",,,
37682358,,,Prinz-Eugen-Straße,living_street,,False,False,119.172,"LINESTRING (8.2107464 48.8550397, 8.2102335 48.8551257, 8.2102015 48.8551441, 8.2101198 48.85519, 8.2099546 48.855217, 8.2098872 48.8551935, 8.2092016 48.8552962)",,,
41384143,2,K 3714,Rauentaler Straße,tertiary,30,False,True,27.832,"LINESTRING (8.2152052 48.8579379, 8.215173 48.8579211, 8.2151341 48.8579044, 8.2148525 48.8578514)",,,
4566746,,,Bismarckstraße,residential,30,False,False,120.45299999999999,"LINESTRING (8.2122261 48.8586251, 8.2134212 48.858902, 8.2136513 48.8589688, 8.2137012 48.8589965, 8.2137371 48.8590303)",,,
4566746,,,Bismarckstraße,residential,30,False,True,138.637,"LINESTRING (8.2122261 48.8586251, 8.2110966 48.8583722, 8.2105955 48.8582499, 8.2104376 48.8582132)",,,
