osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,bridge,lanes,ref
27215461,Plauensche Straße,residential,50,5,False,True,53.522000000000006,"LINESTRING (12.3978108 50.5090258, 12.3976411 50.5090424, 12.3975975 50.5090466, 12.3974638 50.5090672, 12.3973495 50.5090889, 12.3971314 50.5092048)",,,
"[81826002, 27215732, 118785318]",Plauensche Straße,residential,,,False,False,36.004000000000005,"LINESTRING (12.3978108 50.5090258, 12.3978872 50.5090184, 12.3979612 50.5090112, 12.3980022 50.5090072, 12.3983177 50.5090053)",yes,,
"[807395111, 807395112, 807395114, 807395092, 807395093]",Göltzschtalstraße,secondary,50,,False,True,143.942,"LINESTRING (12.3978108 50.5090258, 12.3978209 50.5091482, 12.3978231 50.5091744, 12.3978415 50.5092907, 12.3978687 50.5094068, 12.3979077 50.5095089, 12.3980024 50.509667, 12.3980683 50.5097711, 12.3982561 50.5100411, 12.3984088 50.5102493)",,"['2', '3']",S 278
"[807395113, 807395097, 948850911]",Göltzschtalstraße,secondary,50,8,False,False,169.94100000000003,"LINESTRING (12.3978108 50.5090258, 12.3977994 50.5088963, 12.3977962 50.5088605, 12.3977899 50.5085807, 12.3977992 50.5084409, 12.3978204 50.5083608, 12.3978605 50.508257, 12.3979263 50.5081436, 12.398208 50.5076834, 12.3982964 50.507555)",,2,S 278
"[807001890, 17923735]",Breitscheidstraße,secondary,50,7,False,False,28.931,"LINESTRING (12.3991024 50.5044183, 12.3992547 50.5044969, 12.3992898 50.504515, 12.3994201 50.5045822)",,2,S 278
"[807001891, 807001893]",Göltzschtalstraße,secondary,50,,False,True,27.463,"LINESTRING (12.3991024 50.5044183, 12.3990669 50.5045409, 12.3990557 50.5045767, 12.3990289 50.5046608)",,3,S 278
30007951,Dr.-Wilhelm-Külz-Straße,secondary,50,,False,False,87.31199999999998,"LINESTRING (12.4042491 50.5071704, 12.4045324 50.5072585, 12.4048126 50.5073286, 12.4051552 50.5074098, 12.4052098 50.5074227, 12.4053958 50.5074585)",,2,S 300
201675052,Schloßplatz,secondary,50,,False,False,186.645,"LINESTRING (12.4042491 50.5071704, 12.404172 50.5072535, 12.4040248 50.5073306, 12.4035661 50.5074924, 12.4034096 50.5075485, 12.4033288 50.5075774, 12.4031309 50.5076483, 12.4028525 50.5077481, 12.4025897 50.5078486, 12.4025356 50.5078852, 12.4024255 50.5079598, 12.4023732 50.5080245, 12.4023232 50.5082077)",,,S 278
"[857906440, 882576848, 857906439]",Dr.-Wilhelm-Külz-Straße,secondary,50,,False,True,213.117,"LINESTRING (12.4042491 50.5071704, 12.4029527 50.5067151, 12.4024215 50.5065432, 12.402004 50.506426, 12.4016782 50.5063256, 12.4015748 50.5062891)",,"['2', '3']",S 278
28075159,Hainberg,residential,,,False,False,46.075,"LINESTRING (12.4061934 50.5074527, 12.4062289 50.5073741, 12.4065059 50.507092)",,,
30007951,Dr.-Wilhelm-Külz-Straße,secondary,50,,False,True,56.524,"LINESTRING (12.4061934 50.5074527, 12.405924 50.5074658, 12.4056028 50.5074691, 12.4055483 50.5074689, 12.4053958 50.5074585)",,2,S 300
882576849,Breitscheidstraße,secondary,50,,False,True,24.999,"LINESTRING (12.4001765 50.5051865, 12.4000079 50.5049889)",,2,S 278
"[81825989, 101014750]","['Breitscheidstraße', 'Dr.-Wilhelm-Külz-Straße']",secondary,50,,False,False,128.57000000000002,"LINESTRING (12.4001765 50.5051865, 12.4004364 50.5054787, 12.4005293 50.5055823, 12.4006865 50.5057587, 12.4007652 50.5058161, 12.4008351 50.5058559, 12.4008711 50.5058764, 12.4009804 50.5059333, 12.4010889 50.5059925, 12.4012592 50.506098)",,2,S 278
260951469,Göltzschtalstraße,secondary,50,,False,False,129.13299999999998,"LINESTRING (12.3999944 50.5124109, 12.399535 50.5120162, 12.3994758 50.5119555, 12.3993896 50.5118236, 12.3991979 50.5113842)",,2,S 278
71361909,Altmarkt,living_street,,,False,False,74.48299999999999,"LINESTRING (12.4006211 50.5094098, 12.399911 50.5093957, 12.3997109 50.5094243, 12.3995765 50.5094435)",,,
172686071,Altmarkt,living_street,,,False,True,9.93,"LINESTRING (12.4006211 50.5094098, 12.4006301 50.5094588, 12.4006373 50.5094985)",,,
172686072,Altmarkt,living_street,,,False,True,17.773000000000003,"LINESTRING (12.4006211 50.5094098, 12.4006177 50.5093912, 12.400604 50.5093157, 12.400614 50.5092509)",,,
172686081,Amtsstraße,living_street,,,False,False,46.428,"LINESTRING (12.4006193 50.5089083, 12.4006455 50.5084911)",,,
172686081,Amtsstraße,living_street,,,False,True,38.097,"LINESTRING (12.4006193 50.5089083, 12.400614 50.5092509)",,,
172838648,Querstraße,living_street,,,False,False,57.183,"LINESTRING (12.4006193 50.5089083, 12.400798 50.5088842, 12.4009135 50.5088686, 12.4014103 50.5088015)",,,
172686080,Stadtgraben,residential,,,False,True,61.711999999999996,"LINESTRING (12.4006323 50.510626, 12.4005307 50.5103576, 12.400489 50.510233, 12.4004097 50.5100901)",,,
"[172838284, 28121221]",Talstraße,residential,,,False,True,148.873,"LINESTRING (12.3983177 50.5090053, 12.3983361 50.5089341, 12.398422 50.5087994, 12.398518 50.5086445, 12.3985662 50.5085755, 12.3986137 50.5085123, 12.3986985 50.5083867, 12.3987795 50.5082667, 12.3987856 50.5082575, 12.3989694 50.5079705, 12.3990846 50.5077608)",,,
40201527,Plauensche Straße,living_street,,,True,False,45.427,"LINESTRING (12.3983177 50.5090053, 12.3984696 50.5090114, 12.3986466 50.5090407, 12.3989422 50.5090941)",,,
"[81826002, 27215732, 118785318]",Plauensche Straße,residential,,,False,True,36.004000000000005,"LINESTRING (12.3983177 50.5090053, 12.3980022 50.5090072, 12.3979612 50.5090112, 12.3978872 50.5090184, 12.3978108 50.5090258)",yes,,
172687209,Göltzschtalstraße,living_street,,,True,False,198.314,"LINESTRING (12.3983177 50.5090053, 12.3983238 50.5091038, 12.3983246 50.5091229, 12.398303 50.5094962, 12.3983536 50.5096586, 12.3983989 50.5097665, 12.3984143 50.509799, 12.3984387 50.5098504, 12.3985253 50.5100326, 12.3985683 50.510127, 12.3985914 50.5101785, 12.3986206 50.5102421, 12.3986469 50.5102999, 12.3986568 50.5103108, 12.3988082 50.5104773, 12.3988919 50.5105648, 12.3990156 50.5106942)",,,
28121230,Am Graben,residential,,,True,False,145.17799999999997,"LINESTRING (12.3989422 50.5090941, 12.3989916 50.5088783, 12.3990248 50.5087335, 12.3990358 50.5086931, 12.3990888 50.5084697, 12.3991027 50.5084112, 12.3991196 50.5083402, 12.3992014 50.508094, 12.3992409 50.5079928, 12.3993874 50.5078302)",,,
"[172680459, 40201527]","['Nicolaistraße', 'Plauensche Straße']",living_street,,,True,False,49.875,"LINESTRING (12.3989422 50.5090941, 12.3995761 50.5091179, 12.3995775 50.5091626)",,,
172686081,Amtsstraße,living_street,,,False,False,38.097,"LINESTRING (12.400614 50.5092509, 12.4006193 50.5089083)",,,
172686072,Altmarkt,living_street,,,False,False,17.773,"LINESTRING (12.400614 50.5092509, 12.400604 50.5093157, 12.4006177 50.5093912, 12.4006211 50.5094098)",,,
172686074,Altmarkt,living_street,,,False,True,74.513,"LINESTRING (12.400614 50.5092509, 12.4005149 50.5092172, 12.3997217 50.5091715, 12.3995775 50.5091626)",,,
172686076,Kirchplatz,living_street,,,False,True,62.166,"LINESTRING (12.400614 50.5092509, 12.4007203 50.5092397, 12.40148 50.5091547)",,,
27215461,Plauensche Straße,residential,50,5,False,False,41.689,"LINESTRING (12.3966842 50.5094491, 12.3971314 50.5092048)",,,
