osmid,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,bridge,lanes,access
6076662,Mozartplatz,secondary,50,roundabout,True,False,9.399000000000001,"LINESTRING (7.1837874 49.3505965, 7.1837727 49.350623, 7.1837478 49.350646, 7.1837146 49.3506641)",,,,
171049189,Süduferstraße,secondary,50,,True,False,21.198,"LINESTRING (7.1837874 49.3505965, 7.1838333 49.3506347, 7.1839292 49.3506857, 7.1840126 49.3507145)",L 115,,,
6076662,Mozartplatz,secondary,50,roundabout,True,False,7.973000000000001,"LINESTRING (7.1834688 49.3506015, 7.1834636 49.3505658, 7.1834768 49.350531)",,,,
171049166,Karl-Schneider-Straße,secondary,50,,True,False,35.792,"LINESTRING (7.1834688 49.3506015, 7.1832223 49.3505381, 7.1830237 49.3504637)",L 115,,,
6076662,Mozartplatz,secondary,50,roundabout,True,False,21.606,"LINESTRING (7.1834768 49.350531, 7.1835033 49.3505036, 7.1835412 49.3504826, 7.183587 49.35047, 7.1836365 49.3504669, 7.1836851 49.3504736, 7.1837284 49.3504895)",,,,
6076662,Mozartplatz,secondary,50,roundabout,True,False,10.016,"LINESTRING (7.1837284 49.3504895, 7.1837603 49.3505112, 7.1837817 49.3505378, 7.1837909 49.3505672)",,,,
171049173,Ringstraße,tertiary,50,,True,False,43.734,"LINESTRING (7.1837284 49.3504895, 7.1837904 49.3504855, 7.1840845 49.3504202, 7.1843047 49.3503753)",,,,
57403083,Süduferstraße,secondary,50,,False,True,368.608,"LINESTRING (7.184615 49.350811, 7.1848587 49.3508077, 7.1852006 49.3507864, 7.1853265 49.3507669, 7.1861622 49.3506007, 7.1862707 49.3505781, 7.1863781 49.3505557, 7.1865113 49.3505268, 7.1866373 49.3504987, 7.1868677 49.3504416, 7.1871111 49.3503749, 7.1873877 49.3502838, 7.1876406 49.3502, 7.187895 49.3501113, 7.1881475 49.3500232, 7.1884369 49.3499105, 7.1886048 49.3498368, 7.1886356 49.3498238, 7.1892579 49.3495599)",L 115,,,
171049188,Süduferstraße,secondary,50,,True,False,68.595,"LINESTRING (7.184615 49.350811, 7.1844662 49.3508131, 7.1843481 49.3508108, 7.1842552 49.3508008, 7.184164 49.350791, 7.1839926 49.3507541, 7.1838759 49.3507115, 7.1837757 49.3506726, 7.1837146 49.3506641)",L 115,,,
6076662,Mozartplatz,secondary,50,roundabout,True,False,9.954,"LINESTRING (7.1836158 49.3506802, 7.183571 49.350674, 7.1835306 49.35066, 7.1834977 49.3506392)",,,,
"[171049169, 219694211]",Mozartstraße,tertiary,50,,True,False,24.264,"LINESTRING (7.1836158 49.3506802, 7.183579 49.3506994, 7.1835388 49.3507404, 7.183511 49.350771, 7.183396 49.3508421)",,yes,,
"[6076664, 27689224, 27689221]",Brückenstraße,tertiary,50,,False,False,50.009,"LINESTRING (7.1780119 49.3489304, 7.1779645 49.34901, 7.1779515 49.3490301, 7.1777871 49.3493018, 7.1777591 49.3493489)",,yes,3,
26826664,Brückenstraße,tertiary,30,,False,False,62.374,"LINESTRING (7.1780119 49.3489304, 7.1780768 49.3488114, 7.178128 49.3487418, 7.1783315 49.3484353, 7.1783458 49.3484137)",,,,
"[175742769, 171049167]",Karl-Schneider-Straße,secondary,50,,False,True,46.457,"LINESTRING (7.1780119 49.3489304, 7.178207 49.3489827, 7.1784956 49.3490702, 7.1785953 49.3491035)",L 115,,,
"[27689224, 27689221, 6076664]",Brückenstraße,tertiary,50,,False,True,50.00899999999999,"LINESTRING (7.1777591 49.3493489, 7.1777871 49.3493018, 7.1779515 49.3490301, 7.1779645 49.34901, 7.1780119 49.3489304)",,yes,3,
54727471,Brückenstraße,tertiary,30,,False,False,96.696,"LINESTRING (7.1777591 49.3493489, 7.1777275 49.3494074, 7.177359 49.3500988, 7.1773226 49.3501707)",,,,
