osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,junction,access
30101636,Hammerweg,residential,30,False,False,156.876,,,"LINESTRING (12.0677175 49.9795166, 12.0698324 49.9791414)",,
147469239,Marktredwitzer Straße,secondary,50,False,False,41.589,2,St 2177,"LINESTRING (12.0677175 49.9795166, 12.0677749 49.9796057, 12.0678283 49.9797327, 12.0678785 49.9798751)",,
147469239,Marktredwitzer Straße,secondary,50,False,True,93.13400000000001,2,St 2177,"LINESTRING (12.0677175 49.9795166, 12.0675934 49.9793579, 12.0674873 49.9792464, 12.0674451 49.9792079, 12.0673651 49.97915, 12.0671249 49.9790077, 12.0669067 49.9788728)",,
948714072,,secondary,60,True,False,31.994999999999997,1,,"LINESTRING (12.0682143 49.9868769, 12.0682151 49.9869317, 12.0681891 49.9869839, 12.0681389 49.9870282, 12.0680696 49.9870601, 12.0679882 49.9870764, 12.0679669 49.9870762)",roundabout,
147469239,Marktredwitzer Straße,secondary,50,False,False,167.632,2,St 2177,"LINESTRING (12.0678785 49.9798751, 12.0679038 49.9800167, 12.067941 49.9802464, 12.0679606 49.9803756, 12.0679763 49.9805167, 12.0680215 49.9809027, 12.0680622 49.9811802, 12.0680649 49.981203, 12.0680684 49.9812229, 12.0680723 49.9812609, 12.0680847 49.9813766)",,
147469239,Marktredwitzer Straße,secondary,50,False,True,41.589,2,St 2177,"LINESTRING (12.0678785 49.9798751, 12.0678283 49.9797327, 12.0677749 49.9796057, 12.0677175 49.9795166)",,
258181385,Kirchsteig,residential,30,False,True,148.70499999999998,,,"LINESTRING (12.0678785 49.9798751, 12.067963 49.9798611, 12.0680346 49.9798582, 12.0681417 49.9798865, 12.0682739 49.9799736, 12.0683925 49.9800492, 12.0685352 49.9801281, 12.068857 49.9802749, 12.0691326 49.9803971, 12.0695698 49.980591)",,
147469233,Langer Weg,residential,30,False,False,71.065,,,"LINESTRING (12.0627758 49.9807315, 12.0622149 49.9802039)",,
30085578,,residential,30,False,False,110.774,,,"LINESTRING (12.0627758 49.9807315, 12.062721 49.9810473, 12.0626641 49.9813979, 12.0625916 49.9817205)",,
147469233,Langer Weg,residential,30,False,True,74.472,,,"LINESTRING (12.0627758 49.9807315, 12.0628956 49.980871, 12.0629567 49.9808968, 12.0636677 49.9809722)",,
147469233,Langer Weg,residential,30,False,False,74.472,,,"LINESTRING (12.0636677 49.9809722, 12.0629567 49.9808968, 12.0628956 49.980871, 12.0627758 49.9807315)",,
187936987,Havilandstraße,residential,30,False,False,88.35000000000001,,,"LINESTRING (12.0636677 49.9809722, 12.0636504 49.9810461, 12.0636104 49.9812142, 12.0635943 49.9813674, 12.0635896 49.9817636)",,
187936987,Havilandstraße,residential,30,False,True,88.04,,,"LINESTRING (12.0636677 49.9809722, 12.0637478 49.9806485, 12.0638584 49.98019)",,
30085579,Havilandstraße,residential,30,False,True,7.387,,,"LINESTRING (12.0643098 49.9787182, 12.0642821 49.9786542)",,
