osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,junction,access,lanes,tunnel
259658215,Hindenburgstraße,tertiary,50,False,True,35.499,"LINESTRING (9.4779412 48.1511783, 9.4775905 48.1513955)",,,,,,
10309897,Kastanienallee,residential,30,False,False,118.92999999999999,"LINESTRING (9.4779412 48.1511783, 9.4778708 48.1511005, 9.477848 48.1510337, 9.477843 48.1509925, 9.4779637 48.15069, 9.4781547 48.150149)",,,,,,
259658215,Hindenburgstraße,tertiary,50,False,False,298.53100000000006,"LINESTRING (9.4779412 48.1511783, 9.4782725 48.1510111, 9.4788572 48.1507557, 9.4800089 48.1502802, 9.4805749 48.1500337, 9.4811452 48.1497763, 9.4813059 48.1497075)",,,,,,
24557373,Mühltorstraße,residential,30,True,False,99.639,"LINESTRING (9.4760344 48.1533614, 9.4761431 48.1534071, 9.4765311 48.1536812, 9.4765397 48.1536873, 9.4770007 48.1539806)",,,,,,
222861405,Haldenstraße,residential,30,True,False,17.875,"LINESTRING (9.4760344 48.1533614, 9.4760071 48.1533916, 9.4758883 48.1534889)",,,,,,
259349276,Ziegelhüttenstraße,secondary,30,False,False,47.587,"LINESTRING (9.4726097 48.1574657, 9.472801 48.157645, 9.4729963 48.157807)",L 277,,,,,
259349276,Ziegelhüttenstraße,secondary,30,False,True,63.18000000000001,"LINESTRING (9.4726097 48.1574657, 9.4724484 48.1572957, 9.4723094 48.1571486, 9.4721464 48.156989)",L 277,,,,,
259349276,Ziegelhüttenstraße,secondary,30,False,True,12.46,"LINESTRING (9.4721464 48.156989, 9.4720426 48.1569009)",L 277,,,,,
259349276,Ziegelhüttenstraße,secondary,30,False,False,63.17999999999999,"LINESTRING (9.4721464 48.156989, 9.4723094 48.1571486, 9.4724484 48.1572957, 9.4726097 48.1574657)",L 277,,,,,
259658215,Hindenburgstraße,tertiary,50,False,False,8.725,"LINESTRING (9.4813059 48.1497075, 9.4814059 48.1496662)",,,,,,
259658215,Hindenburgstraße,tertiary,50,False,True,298.531,"LINESTRING (9.4813059 48.1497075, 9.4811452 48.1497763, 9.4805749 48.1500337, 9.4800089 48.1502802, 9.4788572 48.1507557, 9.4782725 48.1510111, 9.4779412 48.1511783)",,,,,,
