osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,ref,width
26762642,Eichendorffstraße,residential,30,False,True,40.917,,"LINESTRING (7.4379313 50.0682471, 7.4382085 50.067925)",,
"[456318929, 800352014]",Zeller Straße,tertiary,50,False,False,173.536,"['2', '3']","LINESTRING (7.4379313 50.0682471, 7.4385042 50.068431, 7.4390683 50.0686122, 7.4391538 50.0686473, 7.4393583 50.0687312, 7.4394296 50.0687604, 7.440022 50.0690356)",,
456318929,Zeller Straße,tertiary,50,False,True,181.10399999999998,2,"LINESTRING (7.4379313 50.0682471, 7.4372408 50.0680295, 7.4368784 50.0679036, 7.4365669 50.0677766, 7.4363513 50.06767, 7.4361397 50.0675455, 7.4358318 50.0673548)",,
24517736,Bahnhofstraße,secondary,50,False,False,38.971,2,"LINESTRING (7.4425557 50.0685565, 7.4427226 50.0682228)",L 108,
"[24517736, 800352015]",Bahnhofstraße,secondary,50,False,"[False, True]",128.356,"['2', '3']","LINESTRING (7.4425557 50.0685565, 7.4424826 50.0687323, 7.4421821 50.0695144, 7.4421349 50.0696383, 7.4421161 50.0696757)",L 108,
26762642,Eichendorffstraße,residential,30,False,False,97.688,,"LINESTRING (7.4425557 50.0685565, 7.4424173 50.068526, 7.4419287 50.0684185, 7.441809 50.0683921, 7.4413379 50.0682566, 7.4412804 50.06824)",,
24517736,Bahnhofstraße,secondary,50,False,True,38.971,2,"LINESTRING (7.4427226 50.0682228, 7.4425557 50.0685565)",L 108,
24517736,Bahnhofstraße,secondary,50,False,False,116.95400000000001,2,"LINESTRING (7.4427226 50.0682228, 7.4431488 50.0673425, 7.4432194 50.0672207)",L 108,
26784417,Turnvater Jahn Straße,residential,,False,False,195.473,,"LINESTRING (7.4427226 50.0682228, 7.4434083 50.068395, 7.4435185 50.0683934, 7.4439132 50.0683363, 7.4440294 50.0683404, 7.444486 50.0684635, 7.4446595 50.0684957, 7.4452143 50.0687648)",,
24517736,Bahnhofstraße,secondary,50,False,True,116.95400000000001,2,"LINESTRING (7.4432194 50.0672207, 7.4431488 50.0673425, 7.4427226 50.0682228)",L 108,
