osmid,ref,name,highway,oneway,reversed,length,lanes,bridge,maxspeed,geometry,junction,tunnel,width
7826882,PA 86,Obere Vorstadt,tertiary,False,False,45.591,,,,"LINESTRING (13.1857566 48.6353548, 13.1854377 48.6350031)",,,
"[38691940, 38691941, 654050579, 654050580, 654050581, 73212820]",B 8,,primary,False,True,417.053,3,yes,100,"LINESTRING (13.1857566 48.6353548, 13.1860881 48.6352291, 13.1873824 48.6347007, 13.1878226 48.6345478, 13.1879606 48.6344918, 13.1891382 48.6339817, 13.1892669 48.6339246, 13.190545 48.6333456)",,,
130063243,,Stadtplatz,residential,False,False,22.391,,,,"LINESTRING (13.1851004 48.6346348, 13.18534 48.6345104)",,,
"[183206176, 1111157516]",PA 86,Obere Vorstadt,tertiary,False,True,47.870000000000005,,,,"LINESTRING (13.1851004 48.6346348, 13.1853511 48.6349069, 13.1854377 48.6350031)",,,
1028679050,PA 86,Kapuzinerstraße,tertiary,False,True,73.021,2,,,"LINESTRING (13.1851004 48.6346348, 13.1845909 48.6348443, 13.1842352 48.6349557)",,,
"[43527898, 1111157515]",PA 83,Obere Vorstadt,tertiary,False,False,114.48300000000002,,,,"LINESTRING (13.1851004 48.6346348, 13.1848716 48.6344448, 13.1847669 48.6343441, 13.1844663 48.6340502, 13.1843087 48.6339111, 13.1841645 48.633814)",,,
7826886,,,tertiary,True,False,16.582,,,,"LINESTRING (13.1814734 48.6353812, 13.1814309 48.6353934, 13.1813847 48.6353955, 13.1813401 48.6353875, 13.1813019 48.6353702, 13.181278 48.6353486)",roundabout,,
"[24731578, 24731574]",,"['Jahnallee', 'Obere Donaulände']",residential,False,True,304.053,,,,"LINESTRING (13.1814734 48.6353812, 13.181886 48.6358024, 13.1822932 48.6361869, 13.1824546 48.6363568, 13.182541 48.6364127, 13.1826926 48.6364738, 13.1831422 48.6364816, 13.1839061 48.6360382, 13.1839249 48.6360284, 13.1843717 48.6357883)",,,
7826885,PA 86,Kapuzinerstraße,tertiary,False,True,202.571,,,,"LINESTRING (13.1842352 48.6349557, 13.1840663 48.6349836, 13.1838926 48.6350073, 13.1835997 48.635042, 13.1832389 48.6350746, 13.183167 48.63508, 13.1828073 48.6351085, 13.1827518 48.6351092, 13.1826603 48.635116, 13.1823438 48.6351357, 13.1820755 48.6351669, 13.1817055 48.6352423, 13.1815324 48.6352831)",,,
24697583,,Alte Feuerwehrgasse,residential,False,False,57.709,,,,"LINESTRING (13.1842352 48.6349557, 13.1845236 48.6352331, 13.1847464 48.6353408)",,,
1028679050,PA 86,Kapuzinerstraße,tertiary,False,False,73.021,2,,,"LINESTRING (13.1842352 48.6349557, 13.1845909 48.6348443, 13.1851004 48.6346348)",,,
7826885,PA 86,Kapuzinerstraße,tertiary,False,False,202.571,,,,"LINESTRING (13.1815324 48.6352831, 13.1817055 48.6352423, 13.1820755 48.6351669, 13.1823438 48.6351357, 13.1826603 48.635116, 13.1827518 48.6351092, 13.1828073 48.6351085, 13.183167 48.63508, 13.1832389 48.6350746, 13.1835997 48.635042, 13.1838926 48.6350073, 13.1840663 48.6349836, 13.1842352 48.6349557)",,,
7826886,,,tertiary,True,False,12.468,,,,"LINESTRING (13.1815324 48.6352831, 13.181536 48.635311, 13.1815266 48.6353383, 13.181505 48.6353625, 13.1814734 48.6353812)",roundabout,,
24697720,,Lautensackstraße,residential,False,True,116.986,,,,"LINESTRING (13.1898607 48.6309867, 13.1898514 48.6311195, 13.1898272 48.6312822, 13.189732 48.6313744, 13.189622 48.6316305, 13.1896073 48.6317555, 13.1896839 48.6320028)",,,
