osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,width,bridge,access,tunnel
96381909,False,2,B 20; B 21,Loferer Straße,primary,60,False,65.219,"LINESTRING (12.8695981 47.7222914, 12.8703099 47.7219527)",,,,,
4078392,True,1,B 20,,primary_link,60,False,76.00300000000001,"LINESTRING (12.8695981 47.7222914, 12.869795 47.7221241, 12.8698219 47.7220797, 12.8698341 47.7220251, 12.8698273 47.7219783, 12.8697961 47.7219266, 12.8697529 47.7218839, 12.8696748 47.7218407, 12.8695883 47.7218177, 12.8694668 47.7218124)",,,,,
27311597,True,,,,primary_link,60,False,75.597,"LINESTRING (12.8694668 47.7218124, 12.8695866 47.7217854, 12.8696657 47.7217872, 12.8697781 47.721808, 12.869966 47.7218516, 12.8700919 47.7218722, 12.8702005 47.7218829, 12.8703265 47.7218857, 12.8704503 47.7218775)",,,,,
762483640,True,1,B 20,Reichenbachstraße,primary,50,False,16.761,"LINESTRING (12.8714515 47.7226114, 12.8715203 47.7226168, 12.8715799 47.7226363, 12.8716191 47.7226561, 12.8716435 47.722677)",roundabout,,,,
275138686,False,2,B 20,Reichenbachstraße,primary,50,False,7.377,"LINESTRING (12.8730837 47.7219098, 12.8731492 47.7218602)",,,,,
215153962,False,,,Triftmeisterweg,residential,,True,180.464,"LINESTRING (12.8730837 47.7219098, 12.8730291 47.7218747, 12.8726417 47.7215663, 12.8723499 47.7213769, 12.8721974 47.721244, 12.8720877 47.7211051, 12.8720526 47.7209862, 12.8724222 47.7206121)",,,,,
275138686,False,2,B 20,Reichenbachstraße,primary,50,True,102.43,"LINESTRING (12.8730837 47.7219098, 12.87238 47.722386, 12.8722644 47.7224643, 12.8721137 47.7225599)",,,,,
23640033,False,2,B 21,Loferer Straße,primary,60,False,319.777,"LINESTRING (12.8712544 47.7213906, 12.8713953 47.7212946, 12.8715554 47.7211707, 12.8719076 47.7208721, 12.8723407 47.7204647, 12.8726911 47.7200813, 12.8728089 47.7199327, 12.8730623 47.7195993, 12.8733511 47.719165, 12.8734827 47.7189571)",,,,,
"[229724747, 27311596]",True,1,,,primary_link,"['50', '60']",False,139.811,"LINESTRING (12.8712544 47.7213906, 12.8711862 47.7216306, 12.8711627 47.7217133, 12.8711505 47.7218442, 12.8711612 47.7219742, 12.8711931 47.722084, 12.8712713 47.7222692, 12.871413 47.722535, 12.8714515 47.7226114)",,,,,
96381908,False,2,B 21,Loferer Straße,primary,60,True,80.97500000000001,"LINESTRING (12.8712544 47.7213906, 12.8711072 47.7214909, 12.8709052 47.7216128, 12.8706777 47.7217511, 12.8704503 47.7218775)",,,,,
