osmid,name,highway,maxspeed,oneway,reversed,length,bridge,lanes,geometry,junction
195425941,Buckhörner Moor,residential,50,False,False,9.015,,,"LINESTRING (9.9887206 53.7075017, 9.9887608 53.7075792)",
"[59724128, 1242437253, 1108043911, 165120110, 165120111, 59722481, 591906644, 47125758]",Rathausallee,secondary,50,True,False,422.2509999999999,yes,"['2', '1']","LINESTRING (9.9887206 53.7075017, 9.990238 53.7072936, 9.9904169 53.7072696, 9.9905692 53.7072483, 9.9911013 53.707192, 9.9912268 53.70719, 9.9913374 53.7071875, 9.9914915 53.7071877, 9.9920319 53.7071956, 9.9922013 53.7071981, 9.9924357 53.7071996, 9.9926617 53.7072011, 9.9928956 53.7072066, 9.9929277 53.7072066, 9.9929466 53.7072066, 9.993637 53.7072066, 9.9937254 53.7072026, 9.9937888 53.7071969, 9.9938246 53.7071937, 9.9938966 53.7071865, 9.9939822 53.7071707, 9.9943049 53.7070817, 9.9947025 53.7069747, 9.9947456 53.706962, 9.9949681 53.7068965)",
"[152822977, 870947298]",Buckhörner Moor,residential,30,False,True,155.551,,2,"LINESTRING (9.9887206 53.7075017, 9.9885972 53.7072822, 9.9885022 53.7070354, 9.9883515 53.7066437, 9.9883371 53.7066063, 9.9883078 53.7065644, 9.9880594 53.7064317, 9.9877384 53.7063004)",
31891187,Alter Heidberg,residential,30,False,True,88.25399999999999,,,"LINESTRING (9.9937257 53.7125079, 9.9937421 53.7124502, 9.9937724 53.7124149, 9.9938142 53.7123869, 9.9938974 53.7123425, 9.9939699 53.712302, 9.9943169 53.7120557, 9.9945465 53.7118927)",
"[147371069, 59083046]",Waldstraße,tertiary,50,False,"[False, True]",230.89799999999997,,2,"LINESTRING (9.9937257 53.7125079, 9.9935627 53.7125147, 9.9933166 53.7125245, 9.9930714 53.7125291, 9.9928519 53.7125294, 9.9926148 53.7125209, 9.9923428 53.7125135, 9.9921603 53.7125122, 9.9919901 53.7125187, 9.9918243 53.7125273, 9.9913646 53.7125775, 9.9907677 53.7126423, 9.9906604 53.7126542, 9.9905915 53.7126666, 9.9905128 53.7126822, 9.9904518 53.7127008, 9.990403 53.7127207, 9.9903526 53.7127487, 9.9903097 53.7127806)",
246993517,Waldstraße,tertiary,50,False,False,157.122,,2,"LINESTRING (9.9937257 53.7125079, 9.9950712 53.7124536, 9.9961077 53.7124118)",
895878274,Friedrichsgaber Weg,residential,50,False,False,8.07,,,"LINESTRING (9.9845401 53.7081037, 9.9845786 53.7081726)",
59722481,Rathausallee,secondary,50,True,False,283.18899999999996,,,"LINESTRING (9.9845401 53.7081037, 9.9847198 53.7080745, 9.9852621 53.7079899, 9.9853526 53.707976, 9.9863033 53.7078421, 9.9874432 53.7076816, 9.9887206 53.7075017)",
"[1135978209, 1135978191]",Friedrichsgaber Weg,residential,30,False,True,102.24499999999999,,,"LINESTRING (9.9845401 53.7081037, 9.9844993 53.7080339, 9.9844765 53.7079921, 9.9840606 53.7072291)",
305583883,Rathausallee,secondary,50,True,False,70.353,,1,"LINESTRING (9.9898042 53.7074418, 9.9887608 53.7075792)",
26928623,Rathausallee,residential,,False,False,140.413,,,"LINESTRING (9.9898042 53.7074418, 9.98982 53.7075204, 9.9898486 53.7076556, 9.989917 53.7077316, 9.9904413 53.7082043, 9.9905199 53.7082815, 9.9905831 53.7083516, 9.9906626 53.7083872, 9.9907538 53.7084163, 9.9909249 53.7084471)",
23411750,Drosselstieg,residential,30,False,False,72.17,,,"LINESTRING (9.9885804 53.7107168, 9.9877216 53.7111204)",
152350348,Drosselstieg,residential,,True,False,79.726,,,"LINESTRING (9.9885804 53.7107168, 9.9895967 53.7103266)",
"[27228778, 23411655]",Taubenstieg,residential,30,False,"[False, True]",294.89300000000003,,,"LINESTRING (9.9885804 53.7107168, 9.9881591 53.710382, 9.988033 53.7102818, 9.987934 53.7102022, 9.9877748 53.7100629, 9.9870092 53.7093932, 9.9867816 53.70916, 9.9865876 53.7089172, 9.9864784 53.7086256, 9.9864049 53.708433)",
23411751,Birkhahnkamp,residential,30,False,True,248.60399999999998,,,"LINESTRING (9.9852361 53.7094922, 9.9853973 53.709491, 9.9866779 53.7102468, 9.9877216 53.7111204)",
782649413,Friedrichsgaber Weg,residential,50,False,False,205.447,,2,"LINESTRING (9.9852361 53.7094922, 9.985583 53.7104214, 9.985848 53.7111311, 9.9859097 53.7112963)",
782649413,Friedrichsgaber Weg,residential,50,False,True,73.12200000000001,,2,"LINESTRING (9.9852361 53.7094922, 9.9851878 53.7093854, 9.9850236 53.7090216, 9.9849344 53.7088595)",
895878274,Friedrichsgaber Weg,residential,50,False,True,8.07,,,"LINESTRING (9.9845786 53.7081726, 9.9845401 53.7081037)",
"[1051627160, 782649413]",Friedrichsgaber Weg,residential,50,False,False,59.122,,2,"LINESTRING (9.9845786 53.7081726, 9.9846035 53.7082238, 9.9846206 53.7082568, 9.9848399 53.7086813)",
28896602,Elisabeth-Schwarzhaupt-Kamp,living_street,,False,False,71.706,,,"LINESTRING (9.9828023 53.7050481, 9.9826766 53.7050671, 9.9817466 53.7052073)",
152822985,Friedrichsgaber Weg,residential,30,False,False,111.327,,,"LINESTRING (9.9828023 53.7050481, 9.9829713 53.7053648, 9.9831498 53.7056991, 9.9833239 53.7059493, 9.9833519 53.7059942)",
152822985,Friedrichsgaber Weg,residential,30,False,True,99.3,,,"LINESTRING (9.9840606 53.7072291, 9.983579 53.7063828)",
"[152823008, 1051599595]",Grasweg,living_street,,False,True,298.618,,,"LINESTRING (9.9840606 53.7072291, 9.9842202 53.7072006, 9.9847071 53.7071345, 9.9848706 53.7071795, 9.9852217 53.7071316, 9.9853666 53.7070364, 9.9856658 53.7069946, 9.9856824 53.7069924, 9.9865794 53.7068733, 9.9871789 53.7067863, 9.9873176 53.7068005, 9.9875386 53.7067657, 9.9876174 53.7067146, 9.9875966 53.7066231, 9.9875387 53.7065195, 9.9875484 53.7064776, 9.9877384 53.7063004)",
"[1135978209, 1135978191]",Friedrichsgaber Weg,residential,30,False,False,102.24499999999999,,,"LINESTRING (9.9840606 53.7072291, 9.9844765 53.7079921, 9.9844993 53.7080339, 9.9845401 53.7081037)",
152822985,Friedrichsgaber Weg,residential,30,False,False,99.3,,,"LINESTRING (9.983579 53.7063828, 9.9840606 53.7072291)",
152822985,Friedrichsgaber Weg,residential,30,False,True,45.723,,,"LINESTRING (9.983579 53.7063828, 9.9833519 53.7059942)",
152823006,Rosa-Luxemburg-Weg,residential,30,False,False,114.555,,,"LINESTRING (9.983579 53.7063828, 9.9834443 53.7064097, 9.9830864 53.7064813, 9.9829901 53.7064883, 9.9822737 53.7063189, 9.9821589 53.7062372, 9.9821045 53.7061403)",
152823006,Rosa-Luxemburg-Weg,residential,30,False,False,31.088,,,"LINESTRING (9.9821045 53.7061403, 9.9819555 53.705875)",
152823006,Rosa-Luxemburg-Weg,residential,30,False,True,114.55499999999999,,,"LINESTRING (9.9821045 53.7061403, 9.9821589 53.7062372, 9.9822737 53.7063189, 9.9829901 53.7064883, 9.9830864 53.7064813, 9.9834443 53.7064097, 9.983579 53.7063828)",
152822994,Deichgrafenweg,residential,,False,False,40.772,,,"LINESTRING (9.9870339 53.7053676, 9.9865121 53.70517)",
152822994,Deichgrafenweg,residential,,False,True,40.772,,,"LINESTRING (9.9865121 53.70517, 9.9870339 53.7053676)",
28157527,Deichgrafenweg,residential,,False,False,60.775,,,"LINESTRING (9.9865121 53.70517, 9.9864266 53.7052504, 9.9863023 53.7053674, 9.98603 53.7056361)",
152822994,Deichgrafenweg,residential,,False,False,41.288999999999994,,,"LINESTRING (9.9865121 53.70517, 9.9860539 53.7050108, 9.9859754 53.7049781)",
152822994,Deichgrafenweg,residential,,False,True,41.288999999999994,,,"LINESTRING (9.9859754 53.7049781, 9.9860539 53.7050108, 9.9865121 53.70517)",
152822987,Immensee,living_street,,False,True,115.364,,,"LINESTRING (9.9850203 53.7062978, 9.9855655 53.7062168, 9.9856945 53.7062315, 9.9859365 53.7061917, 9.9859976 53.706119, 9.9859122 53.7059292, 9.9859282 53.7058791, 9.986064 53.7057528)",
"[29425340, 152822988]","['Schimmelreiterweg', 'Pole-Poppenspäler-Stieg']",living_street,,False,False,204.03800000000004,,,"LINESTRING (9.9850203 53.7062978, 9.98519 53.7066623, 9.985483 53.7066182, 9.9855002 53.7066156, 9.9862063 53.7065094, 9.9863509 53.706506, 9.9864871 53.7065215, 9.9867068 53.706492, 9.9867553 53.7064781, 9.9867801 53.7064598, 9.9867889 53.7064368, 9.9867907 53.7064056, 9.9867146 53.7062154, 9.9867138 53.7061943, 9.9867239 53.706173, 9.9868678 53.7060074)",
"[152822988, 152822982]","['Pole-Poppenspäler-Stieg', 'Häwelmannweg']",living_street,,False,True,157.224,,,"LINESTRING (9.9850203 53.7062978, 9.9849065 53.7062498, 9.9847113 53.7057898, 9.9845994 53.7057546, 9.9836055 53.7059047, 9.9833519 53.7059942)",
"[152822988, 29425340]","['Schimmelreiterweg', 'Pole-Poppenspäler-Stieg']",living_street,,False,True,204.038,,,"LINESTRING (9.9868678 53.7060074, 9.9867239 53.706173, 9.9867138 53.7061943, 9.9867146 53.7062154, 9.9867907 53.7064056, 9.9867889 53.7064368, 9.9867801 53.7064598, 9.9867553 53.7064781, 9.9867068 53.706492, 9.9864871 53.7065215, 9.9863509 53.706506, 9.9862063 53.7065094, 9.9855002 53.7066156, 9.985483 53.7066182, 9.98519 53.7066623, 9.9850203 53.7062978)",
152822977,Buckhörner Moor,residential,30,False,False,66.012,,2,"LINESTRING (9.9868678 53.7060074, 9.9870706 53.7060604, 9.9877384 53.7063004)",
