osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,bridge,width,junction
24428549,Alter Markt,residential,False,True,75.86299999999999,"LINESTRING (7.607931 50.7992636, 7.6078204 50.7992453, 7.6073166 50.7991793, 7.6070359 50.7991669, 7.606871 50.7991909)",,,,,,
179317261,Amtsstraße,residential,False,True,133.196,"LINESTRING (7.607931 50.7992636, 7.6085231 50.7993466, 7.6097579 50.7995798)",1,50,,,,
"[724803556, 813143310]",Rathausstraße,primary,False,False,108.97200000000001,"LINESTRING (7.607931 50.7992636, 7.6080859 50.7990245, 7.6081187 50.798985, 7.6082094 50.7988687, 7.6085611 50.7983685)","['2', '3']",50,B 256,,,
"[11003097, 9060196, 9060165]",Obernauer Straße,tertiary,False,True,103.067,"LINESTRING (7.6132573 50.7964154, 7.613276 50.7963079, 7.6134327 50.795636, 7.6134766 50.7955424, 7.6135019 50.7955036)",,50,,yes,,
"[74494642, 224782722]",Rathausstraße,primary,False,False,50.048,"LINESTRING (7.6132573 50.7964154, 7.6135709 50.7964264, 7.6139687 50.7964344)",2,50,B 256,,,
298341333,Rathausstraße,primary,False,True,151.40800000000002,"LINESTRING (7.6132573 50.7964154, 7.6128422 50.7964125, 7.612584 50.7964205, 7.612346 50.7964401, 7.6111393 50.7966221)",2,50,B 256,,,
"[11003097, 9060196, 9060165]",Obernauer Straße,tertiary,False,False,103.06700000000001,"LINESTRING (7.6135019 50.7955036, 7.6134766 50.7955424, 7.6134327 50.795636, 7.613276 50.7963079, 7.6132573 50.7964154)",,50,,yes,,
"[224896281, 224896282]",Lindenpützer Straße,tertiary,False,True,160.716,"LINESTRING (7.6135019 50.7955036, 7.6134178 50.7954843, 7.6132765 50.7954873, 7.613082 50.7955151, 7.6128228 50.7955905, 7.6125776 50.7956439, 7.6123433 50.7956821, 7.6121924 50.7956878, 7.6120473 50.7956703, 7.6119276 50.795635, 7.6117925 50.7955419, 7.6116288 50.7954329, 7.6114822 50.7953459)",,"['50', '30']",,,,
225580740,Obernauer Straße,tertiary,False,True,80.066,"LINESTRING (7.6135019 50.7955036, 7.6136806 50.7954469, 7.6140408 50.7953308, 7.6145227 50.7951841)",,50,,,,
179317335,Hurster Straße,secondary,False,False,21.641,"LINESTRING (7.6137752 50.8001868, 7.6139438 50.8001153, 7.6140324 50.8000798)",2,50,L 333,,6.5,
"[527246819, 1237238483, 179317335]",Hurster Straße,secondary,False,True,208.521,"LINESTRING (7.6137752 50.8001868, 7.6136797 50.8002464, 7.6135733 50.8003351, 7.6134313 50.8004594, 7.6133639 50.8005109, 7.6133061 50.8005372, 7.6132511 50.8005538, 7.6131518 50.800572, 7.6129173 50.8005822, 7.6127295 50.8005867, 7.6121749 50.8006061, 7.6114788 50.8006303, 7.6110821 50.8006441)",2,"['50', '30']",L 333,,"['6', '6.5']",
"[527246818, 527246820]",Seifer Straße,residential,False,False,68.534,"LINESTRING (7.6137752 50.8001868, 7.6138204 50.8002298, 7.6138258 50.8002688, 7.6138271 50.8003213, 7.6137923 50.8004428, 7.6137882 50.8005154, 7.6138248 50.8006181, 7.6138774 50.8007197, 7.6139526 50.8007637)",,30,,,,
8107885,Am Wieschen,residential,False,False,41.336,"LINESTRING (7.6140324 50.8000798, 7.6139845 50.8000069, 7.6139686 50.7999699, 7.6139704 50.7999237, 7.6139859 50.7998604, 7.6139828 50.7998191, 7.6139091 50.7997274)",1,50,,,4.9,
179317335,Hurster Straße,secondary,False,False,280.391,"LINESTRING (7.6140324 50.8000798, 7.6141708 50.8000456, 7.6142797 50.8000242, 7.6143938 50.8000071, 7.614725 50.7999819, 7.6148449 50.799961, 7.6149331 50.7999269, 7.6150018 50.799881, 7.6150458 50.7998292, 7.6150675 50.7997382, 7.6150399 50.7996658, 7.6149819 50.7995955, 7.614919 50.799532, 7.6148544 50.7994904, 7.61476 50.7994567, 7.6146319 50.7994239, 7.6144319 50.7993787, 7.6143618 50.7993449, 7.6143021 50.7993102, 7.6142568 50.7992586, 7.6142328 50.7992036, 7.6142373 50.7991412, 7.6142529 50.799096, 7.6142831 50.7990433, 7.6143217 50.7989929, 7.6143931 50.7989138, 7.6144655 50.7988505, 7.6145565 50.798794, 7.614636 50.7987622, 7.6147353 50.7987374, 7.6148399 50.7987329, 7.6149226 50.7987415, 7.6150046 50.7987583, 7.6151935 50.7988339)",2,50,L 333,,6.5,
179317335,Hurster Straße,secondary,False,True,21.641,"LINESTRING (7.6140324 50.8000798, 7.6139438 50.8001153, 7.6137752 50.8001868)",2,50,L 333,,6.5,
8980907,Kirchstraße,residential,False,False,189.349,"LINESTRING (7.6111141 50.7997052, 7.6113852 50.7985237, 7.6113978 50.7983093, 7.6112612 50.7980278)",1,50,,,4,
179317262,Amtsstraße,residential,False,False,96.333,"LINESTRING (7.6111141 50.7997052, 7.6098749 50.7995933, 7.6097579 50.7995798)",1,30,,,,
179317263,Amtsstraße,residential,False,True,129.935,"LINESTRING (7.6111141 50.7997052, 7.6111228 50.7998117, 7.6111979 50.7998521, 7.6112949 50.7998644, 7.6114891 50.79985, 7.6122563 50.7998083, 7.6123843 50.7998013, 7.6126919 50.7998135, 7.6127701 50.7998251)",1,50,,,5.2,
179317338,Mittelstraße,residential,False,False,85.301,"LINESTRING (7.6097579 50.7995798, 7.610083 50.7988407)",1,50,,,,
10441280,Mittelstraße,residential,False,True,129.691,"LINESTRING (7.6097579 50.7995798, 7.6096511 50.7998691, 7.6096317 50.8000401, 7.6096275 50.800158, 7.6096284 50.8007379)",1,30,,,,
179317261,Amtsstraße,residential,False,False,133.196,"LINESTRING (7.6097579 50.7995798, 7.6085231 50.7993466, 7.607931 50.7992636)",1,50,,,,
179317262,Amtsstraße,residential,False,True,96.333,"LINESTRING (7.6097579 50.7995798, 7.6098749 50.7995933, 7.6111141 50.7997052)",1,30,,,,
179255237,Kirchstraße,residential,True,False,8.021,"LINESTRING (7.6111803 50.797966, 7.6112367 50.7979604, 7.6112775 50.7979856)",,50,,,,roundabout
"[35576784, 1237236502]",Bergstraße,residential,False,"[False, True]",60.22599999999999,"LINESTRING (7.6118096 50.7977508, 7.6119168 50.7977513, 7.6120354 50.7977345, 7.6121255 50.7977097, 7.6122237 50.7976624, 7.6122824 50.797659, 7.6124031 50.7976868, 7.6125127 50.7977166, 7.612601 50.7977459)",1,50,,,,
179255230,Alte Dorfstraße,residential,False,False,72.017,"LINESTRING (7.6118096 50.7977508, 7.6118275 50.7977053, 7.6118253 50.797677, 7.6117931 50.7975108, 7.6118709 50.7972305, 7.6118675 50.7971512, 7.6118533 50.7971111)",1,,,,,
179255230,Alte Dorfstraße,residential,False,True,30.923000000000002,"LINESTRING (7.6118096 50.7977508, 7.6116514 50.7978796, 7.6114991 50.7979426)",1,,,,,
35576690,Kirchplatz,residential,False,False,12.738,"LINESTRING (7.6118533 50.7971111, 7.6120169 50.7970618)",1,,,,,
