osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,access,junction,bridge
149706228,2,L 3094,Dieburger Straße,secondary,50,False,False,176.133,"LINESTRING (8.6782609 49.8818179, 8.6784794 49.8818646, 8.6789128 49.881954, 8.6792372 49.8820293, 8.6792756 49.8820382, 8.6794527 49.8820793, 8.6797107 49.8821392, 8.6803808 49.8822947, 8.6805797 49.8823432)",,,,
149706228,2,L 3094,Dieburger Straße,secondary,50,False,True,73.547,"LINESTRING (8.6782609 49.8818179, 8.6776702 49.8816848, 8.6775317 49.8816525, 8.6773896 49.8816193, 8.677293 49.8815977)",,,,
150041571,,,Flotowstraße,residential,30,False,False,118.869,"LINESTRING (8.6782609 49.8818179, 8.6782252 49.8818807, 8.6778923 49.8824659, 8.6777665 49.8826869, 8.6776899 49.8828216)",,,,
21881700,,,Mozartweg,residential,30,False,False,172.84099999999998,"LINESTRING (8.6803366 49.8841348, 8.6802725 49.8841173, 8.6797925 49.8839809, 8.6794334 49.8838693, 8.6792548 49.8838017, 8.6791329 49.8837555, 8.6785654 49.8835365, 8.6782124 49.8834029)",,,,
149706228,2,L 3094,Dieburger Straße,secondary,50,False,True,176.133,"LINESTRING (8.6805797 49.8823432, 8.6803808 49.8822947, 8.6797107 49.8821392, 8.6794527 49.8820793, 8.6792756 49.8820382, 8.6792372 49.8820293, 8.6789128 49.881954, 8.6784794 49.8818646, 8.6782609 49.8818179)",,,,
21881700,,,Mozartweg,residential,30,False,True,61.501000000000005,"LINESTRING (8.677502 49.8830925, 8.6777534 49.8831988, 8.6782124 49.8834029)",,,,
150041571,,,Flotowstraße,residential,30,False,False,76.376,"LINESTRING (8.677502 49.8830925, 8.6772255 49.8834175, 8.6769662 49.883686)",,,,
150041571,,,Flotowstraße,residential,30,False,True,32.994,"LINESTRING (8.677502 49.8830925, 8.6776237 49.882917, 8.6776899 49.8828216)",,,,
150041571,,,Flotowstraße,residential,30,False,False,60.97,"LINESTRING (8.6763072 49.8842714, 8.6757633 49.8846931)",,,,
150041571,,,Flotowstraße,residential,30,False,True,80.414,"LINESTRING (8.6763072 49.8842714, 8.6769662 49.883686)",,,,
27735662,,,Richard-Wagner-Weg,residential,30,False,False,234.066,"LINESTRING (8.6763072 49.8842714, 8.676584 49.884396, 8.6769862 49.8845303, 8.6774535 49.8846572, 8.6776793 49.8847313, 8.6779205 49.8848416, 8.6781787 49.8849965, 8.6784592 49.8851826, 8.6788716 49.885432, 8.6789426 49.8854765)",,,,
27735662,,,Richard-Wagner-Weg,residential,30,False,True,209.06,"LINESTRING (8.6763072 49.8842714, 8.6759481 49.8841069, 8.675592 49.8839314, 8.6748296 49.8835613, 8.6740059 49.8831168)",,,,
21883156,,,Heinz-Heim-Weg,residential,30,False,True,82.391,"LINESTRING (8.6756039 49.884799, 8.674675 49.8843622)",,,,
150041571,,,Flotowstraße,residential,30,False,False,35.713,"LINESTRING (8.6756039 49.884799, 8.6752422 49.88502)",,,,
150041571,,,Flotowstraße,residential,30,False,True,16.404,"LINESTRING (8.6756039 49.884799, 8.6757633 49.8846931)",,,,
"[4228876, 1268187606]",,,Schwarzer Weg,residential,20,False,False,224.80499999999998,"LINESTRING (8.6734878 49.8859929, 8.6735969 49.8860845, 8.6736198 49.8861011, 8.6737533 49.8862616, 8.6739324 49.8864819, 8.6740017 49.8865592, 8.674159 49.8867614, 8.6742221 49.8868437, 8.6743523 49.8870135, 8.6744651 49.8871589, 8.6747206 49.8874891, 8.6748256 49.887654, 8.6748052 49.8878003)",4.6,,,
150041607,,,Schwarzer Weg,residential,30,True,False,20.676,"LINESTRING (8.6734878 49.8859929, 8.6734288 49.8860028, 8.6733731 49.8860015, 8.673305 49.8859979, 8.6732732 49.885986, 8.6732538 49.8859682, 8.6732417 49.8859484)",6.9,destination,roundabout,
4228879,,,Alfred-Messel-Weg,residential,30,False,True,136.354,"LINESTRING (8.6734013 49.8858373, 8.6733237 49.8856544, 8.6732388 49.8855247, 8.6728215 49.8848964, 8.6727648 49.884831, 8.6726607 49.8847109)",5.5,,,
