osmid,highway,oneway,reversed,length,geometry,lanes,name,maxspeed,bridge,ref
109874898,residential,False,True,157.602,"LINESTRING (121.4692225 14.4013136, 121.4692162 14.4013424, 121.4692102 14.4013821, 121.4692028 14.4014316, 121.4691942 14.4014883, 121.4691831 14.4015614, 121.4691643 14.4016861, 121.4691433 14.4017969, 121.4691272 14.4018827, 121.4691138 14.4019359, 121.4690963 14.4020087, 121.4690762 14.4021074, 121.4690655 14.4022243, 121.4690597 14.4023323, 121.4690669 14.4024373, 121.4690856 14.4025295, 121.4691085 14.4026036, 121.4691328 14.4026802, 121.4691446 14.4027062)",,,,,
"[961570880, 109875953, 961570879]",secondary,False,False,197.241,"LINESTRING (121.4692225 14.4013136, 121.4692386 14.4012855, 121.4692579 14.4012358, 121.4693015 14.4010474, 121.4693364 14.4009617, 121.4693766 14.4008656, 121.4694061 14.400798, 121.4694517 14.4007149, 121.4695039 14.400639, 121.4695617 14.4005772, 121.4696779 14.4004808, 121.469726 14.4004404, 121.4698762 14.4003063, 121.4700231 14.4001725, 121.4701554 14.4000326, 121.4702821 14.3999225)",2,San Marcos Street,40,yes,
"[1145544648, 96046877, 1145544647]",secondary,False,True,49.725,"LINESTRING (121.4692225 14.4013136, 121.4691919 14.4013179, 121.4691612 14.4013136, 121.469053 14.4012996, 121.4687648 14.4012636)",2,Isla Street,40,yes,
1145544647,secondary,False,False,26.868,"LINESTRING (121.4685161 14.4012446, 121.4687648 14.4012636)",2,Isla Street,40,,
109876448,secondary,False,True,140.779,"LINESTRING (121.4685161 14.4012446, 121.4684124 14.4022061, 121.4683949 14.4023165, 121.4683641 14.4024257, 121.4683404 14.4024965)",2,Paete-Pakil-Famy Diversion Road,40,,
96030482,tertiary,False,True,47.683,"LINESTRING (121.4682368 14.4034712, 121.4682568 14.4035336, 121.4682822 14.4035973, 121.4683091 14.4036986, 121.4683171 14.4037596, 121.4683278 14.4038883)",,,,,
109876448,secondary,False,False,110.682,"LINESTRING (121.4682368 14.4034712, 121.4682258 14.4028697, 121.4682321 14.402784, 121.4682461 14.4027062, 121.468289 14.4025998, 121.4683159 14.4025438, 121.4683404 14.4024965)",2,Paete-Pakil-Famy Diversion Road,40,,
162851867,secondary,False,True,389.6319999999999,"LINESTRING (121.4682368 14.4034712, 121.4682021 14.4035128, 121.4681548 14.4035649, 121.4680818 14.4036311, 121.4680114 14.4036882, 121.4679222 14.4037551, 121.4678793 14.4037907, 121.4678309 14.4038227, 121.4677801 14.4038492, 121.4677251 14.4038784, 121.4675642 14.4039356, 121.4673797 14.4040025, 121.4671914 14.4040597, 121.4670189 14.4041097, 121.4668889 14.4041486, 121.4667292 14.4041889, 121.4665765 14.4042195, 121.4664141 14.4042571, 121.4662069 14.4043084, 121.4660447 14.4043513, 121.4659254 14.4043818, 121.4658227 14.4044019, 121.465747 14.4044175, 121.4656679 14.4044214, 121.465523 14.4044195, 121.4654057 14.4044097, 121.4653385 14.4044006, 121.4652783 14.4043883, 121.4651092 14.4043468, 121.4649912 14.4043156, 121.4649342 14.4043032, 121.4648994 14.4042993, 121.4648683 14.4043065)",2,Paete-Pakil-Famy Diversion Road,40,,
"[96046920, 778552499, 1149231781]",primary,False,True,181.418,"LINESTRING (121.4720188 14.4048685, 121.4715871 14.405097, 121.4712855 14.4052442, 121.4705252 14.4056226)",2,National Highway,80,yes,602
925187550,tertiary,False,False,7.866,"LINESTRING (121.4646419 14.4049369, 121.4647129 14.4049203)",,,,,
1145544646,secondary,False,False,16.354,"LINESTRING (121.4646419 14.4049369, 121.4646761 14.4047936)",2,Paete-Pakil-Famy Diversion Road,40,,
109871398,residential,False,True,31.032,"LINESTRING (121.4683404 14.4024965, 121.4680678 14.4024061)",,,,,
109876448,secondary,False,False,140.779,"LINESTRING (121.4683404 14.4024965, 121.4683641 14.4024257, 121.4683949 14.4023165, 121.4684124 14.4022061, 121.4685161 14.4012446)",2,Paete-Pakil-Famy Diversion Road,40,,
109876448,secondary,False,True,110.68200000000002,"LINESTRING (121.4683404 14.4024965, 121.4683159 14.4025438, 121.468289 14.4025998, 121.4682461 14.4027062, 121.4682321 14.402784, 121.4682258 14.4028697, 121.4682368 14.4034712)",2,Paete-Pakil-Famy Diversion Road,40,,
96030482,tertiary,False,False,47.68300000000001,"LINESTRING (121.4683278 14.4038883, 121.4683171 14.4037596, 121.4683091 14.4036986, 121.4682822 14.4035973, 121.4682568 14.4035336, 121.4682368 14.4034712)",,,,,
"[96030482, 23434898]",tertiary,False,True,167.956,"LINESTRING (121.4683278 14.4038883, 121.4684418 14.4038537, 121.4688844 14.4037116, 121.4689501 14.4037025, 121.4689936 14.4037164, 121.4690468 14.4037622, 121.4694759 14.4044051)",,Natividad Extension,,,
96046916,residential,False,True,38.735,"LINESTRING (121.4683278 14.4038883, 121.4683344 14.404052, 121.4683572 14.4042352)",,,,,
96046916,residential,False,False,38.735,"LINESTRING (121.4683572 14.4042352, 121.4683344 14.404052, 121.4683278 14.4038883)",,,,,
96046916,residential,False,True,145.57999999999998,"LINESTRING (121.4683572 14.4042352, 121.4681197 14.4043399, 121.4678797 14.4044274, 121.4674345 14.4045573, 121.4670843 14.4046711)",,,,,
