osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,width,geometry
38617961,4,Heroes Boulevard,secondary,40,False,False,73.152,,,"LINESTRING (121.107639 16.3873443, 121.1069556 16.3872901)"
385069882,4,Maharlika Highway,primary,40,False,True,69.332,1,13.2,"LINESTRING (121.107639 16.3873443, 121.1076761 16.3867218)"
809926654,2,Old San Fernando Road,tertiary,40,False,True,61.257,,,"LINESTRING (121.107639 16.3873443, 121.108212 16.3873803)"
385069882,4,Maharlika Highway,primary,40,False,False,83.512,1,13.2,"LINESTRING (121.107639 16.3873443, 121.1075923 16.3877916, 121.1075666 16.3880921)"
38617961,4,Heroes Boulevard,secondary,40,False,False,69.476,,,"LINESTRING (121.1062991 16.3872487, 121.1056496 16.3872027)"
38617961,4,Heroes Boulevard,secondary,40,False,True,70.185,,,"LINESTRING (121.1062991 16.3872487, 121.1069556 16.3872901)"
157398507,2,Osmeña Street,residential,,False,False,69.763,,6.1,"LINESTRING (121.1062991 16.3872487, 121.1063298 16.386622)"
157398507,2,Osmeña Street,residential,,False,True,81.211,,6.1,"LINESTRING (121.1062991 16.3872487, 121.1062565 16.3879779)"
38617961,4,Heroes Boulevard,secondary,40,False,False,63.643,,,"LINESTRING (121.1056496 16.3872027, 121.1050546 16.387161)"
38617961,4,Heroes Boulevard,secondary,40,False,True,69.476,,,"LINESTRING (121.1056496 16.3872027, 121.1062991 16.3872487)"
849805149,2,Boyie Street,tertiary,30,False,True,69.959,,9,"LINESTRING (121.1056496 16.3872027, 121.1056971 16.3865752)"
1017158226,2,Boyie Street,tertiary,30,False,False,79.669,,9,"LINESTRING (121.1056496 16.3872027, 121.1056288 16.3879189)"
38617961,4,Heroes Boulevard,secondary,40,False,True,31.317,,,"LINESTRING (121.1047622 16.3871359, 121.1050546 16.387161)"
1017158223,4,Heroes Boulevard,secondary,40,False,False,48.974,,,"LINESTRING (121.1047622 16.3871359, 121.1043046 16.3871005)"
1017158224,2,Real Street,residential,,False,False,81.873,,9,"LINESTRING (121.1047622 16.3871359, 121.1047222 16.3878712)"
1017158229,2,Real Street,tertiary,30,False,True,75.1,,9,"LINESTRING (121.1047622 16.3871359, 121.104804 16.3864617)"
1017158223,4,Heroes Boulevard,secondary,40,False,False,36.558,,,"LINESTRING (121.1032565 16.3870457, 121.1029151 16.3870171)"
1017158223,4,Heroes Boulevard,secondary,40,False,True,38.336,,,"LINESTRING (121.1032565 16.3870457, 121.1036152 16.3870666)"
157399639,1,Gomez Street,residential,,False,True,87.74600000000001,,4,"LINESTRING (121.1032565 16.3870457, 121.1032954 16.3866309, 121.1033244 16.3862593)"
1017158223,4,Heroes Boulevard,secondary,40,False,False,26.013,,,"LINESTRING (121.1029151 16.3870171, 121.1026718 16.3870014)"
1017158223,4,Heroes Boulevard,secondary,40,False,True,36.558,,,"LINESTRING (121.1029151 16.3870171, 121.1032565 16.3870457)"
157399622,1,Zamora Street,residential,,False,False,87.781,,4,"LINESTRING (121.1029151 16.3870171, 121.1029494 16.3866206, 121.1029913 16.3862311)"
157399638,1,Ermita Street,tertiary,,False,False,7.736,,4,"LINESTRING (121.1025386 16.38695, 121.1025353 16.3870195)"
837811399,2,Heroes Boulevard,secondary,40,True,False,15.316,,,"LINESTRING (121.1025386 16.38695, 121.1026718 16.3870014)"
157399638,1,Ermita Street,tertiary,,False,True,83.47,,4,"LINESTRING (121.1025386 16.38695, 121.1025403 16.3868663, 121.1025627 16.3861997)"
157399627,1,Camposanto Street,tertiary,,False,True,9.65,,4,"LINESTRING (121.1019759 16.3869938, 121.1019798 16.3869071)"
781652282,2,Heroes Boulevard,secondary,40,True,False,109.078,,6.6,"LINESTRING (121.1019759 16.3869938, 121.100956 16.3869239)"
157399644,1,Sinombre Street,tertiary,30,False,False,9.319,,4,"LINESTRING (121.100956 16.3869239, 121.1009621 16.3868403)"
157398499,2,Fe Street,residential,,False,False,71.901,,6.1,"LINESTRING (121.1071929 16.3840218, 121.1078665 16.3840438)"
157398499,2,Fe Street,residential,,False,True,68.758,,6.1,"LINESTRING (121.1071929 16.3840218, 121.1065497 16.3839822)"
157398500,1,Metodista Street,residential,,False,False,62.619,,4,"LINESTRING (121.1071929 16.3840218, 121.1072363 16.3834602)"
157398500,1,Metodista Street,residential,,False,True,51.767,,4,"LINESTRING (121.1071929 16.3840218, 121.1071442 16.384485)"
157398517,4,Rizal Boulevard,residential,,False,False,70.59,,12,"LINESTRING (121.1058139 16.3849281, 121.1064735 16.3849787)"
849805149,2,Boyie Street,tertiary,30,False,False,75.381,,9,"LINESTRING (121.1058139 16.3849281, 121.1057622 16.3856042)"
849805149,2,Boyie Street,tertiary,30,False,True,60.962,,9,"LINESTRING (121.1058139 16.3849281, 121.1058437 16.3843806)"
157398517,4,Rizal Boulevard,residential,,False,False,60.005,,12,"LINESTRING (121.1077826 16.3850825, 121.1083441 16.3851143)"
157398517,4,Rizal Boulevard,residential,,False,True,73.288,,12,"LINESTRING (121.1077826 16.3850825, 121.1070989 16.385018)"
385069882,4,Maharlika Highway,primary,40,False,False,72.302,1,13.2,"LINESTRING (121.1077826 16.3850825, 121.1077446 16.3857317)"
385069882,4,Maharlika Highway,primary,40,False,True,61.439,1,13.2,"LINESTRING (121.1077826 16.3850825, 121.1078307 16.3845319)"
157398507,2,Osmeña Street,residential,,False,False,60.649,,6.1,"LINESTRING (121.1064735 16.3849787, 121.1065146 16.3844347)"
157398507,2,Osmeña Street,residential,,False,True,74.596,,6.1,"LINESTRING (121.1064735 16.3849787, 121.1064026 16.3856461)"
157398517,4,Rizal Boulevard,residential,,False,False,66.86,,12,"LINESTRING (121.1064735 16.3849787, 121.1070989 16.385018)"
157398517,4,Rizal Boulevard,residential,,False,True,70.59,,12,"LINESTRING (121.1064735 16.3849787, 121.1058139 16.3849281)"
157398500,1,Metodista Street,residential,,False,False,59.464,,4,"LINESTRING (121.1070989 16.385018, 121.1071442 16.384485)"
157398500,1,Metodista Street,residential,,False,True,74.974,,4,"LINESTRING (121.1070989 16.385018, 121.1070415 16.38569)"
157398517,4,Rizal Boulevard,residential,,False,False,73.288,,12,"LINESTRING (121.1070989 16.385018, 121.1077826 16.3850825)"
157398517,4,Rizal Boulevard,residential,,False,True,66.86,,12,"LINESTRING (121.1070989 16.385018, 121.1064735 16.3849787)"
385069882,4,Maharlika Highway,primary,40,False,False,67.447,1,13.2,"LINESTRING (121.107896 16.3834379, 121.1078665 16.3840438)"
849805150,2,Mendiola Street,tertiary,30,False,False,58.034,,6.6,"LINESTRING (121.107896 16.3834379, 121.1084395 16.3834155)"
849805150,2,Mendiola Street,tertiary,30,False,True,70.421,,6.6,"LINESTRING (121.107896 16.3834379, 121.1072363 16.3834602)"
241134476,4,Maharlika Highway,primary,40,False,True,185.07800000000003,1,13.2,"LINESTRING (121.107896 16.3834379, 121.1079137 16.383281, 121.107967 16.3830209, 121.1083173 16.3821528, 121.1084337 16.3818629)"
157398499,2,Fe Street,residential,,False,False,60.759,,6.1,"LINESTRING (121.1052826 16.383947, 121.1058518 16.3839661)"
157400220,2,William Street,residential,,False,False,49.408,,6.1,"LINESTRING (121.1052826 16.383947, 121.1053053 16.3835032)"
