osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge,junction
31624884,Rosal Street,residential,False,False,90.414,"LINESTRING (122.3321374 11.6408598, 122.3326254 11.640202)",,,,
246812428,Poinsettia Street,residential,False,False,76.455,"LINESTRING (122.3321374 11.6408598, 122.3316277 11.640387)",,,,
"[876591785, 246812428, 876591789]","['Poinsettia Street', 'Azucena Street']",residential,False,True,198.115,"LINESTRING (122.3321374 11.6408598, 122.3321683 11.6408885, 122.3327491 11.6414384, 122.332766 11.6414502, 122.3327813 11.6414555, 122.3327973 11.6414571, 122.3328134 11.641455, 122.3328319 11.6414471, 122.3328473 11.6414343, 122.3333654 11.6407632)",,,,
31624884,Rosal Street,residential,False,False,7.029,"LINESTRING (122.3336299 11.638851, 122.3336679 11.6387999)",,,,
84883410,J.P. Rizal Street,secondary,True,False,92.347,"LINESTRING (122.3336299 11.638851, 122.3329086 11.6384144)",,,,
31624884,Rosal Street,residential,False,True,57.790000000000006,"LINESTRING (122.3336299 11.638851, 122.3333281 11.639257, 122.3333175 11.6392711)",,,,
368158282,Natividad Road,residential,False,False,55.026,"LINESTRING (122.3365767 11.6358849, 122.3362072 11.6355474)",,,,
283924382,Capiz-Aklan Road,primary,False,False,187.615,"LINESTRING (122.3365767 11.6358849, 122.3364858 11.6359978, 122.3363362 11.6361795, 122.3362859 11.6362595, 122.3362001 11.6363988, 122.3360977 11.6366247, 122.336055 11.636755, 122.3359906 11.6370159, 122.3359463 11.6371743, 122.3358943 11.6373122, 122.3358557 11.6373936)",2,503,,
283924382,Capiz-Aklan Road,primary,False,True,72.236,"LINESTRING (122.3365767 11.6358849, 122.3368493 11.6355681, 122.3370037 11.6353878)",2,503,,
876591784,Rosas de Papel Street,residential,False,False,98.868,"LINESTRING (122.3355082 11.6379383, 122.3347237 11.6374909)",,,,
879774420,Aklan East Road,primary,False,False,75.311,"LINESTRING (122.3355082 11.6379383, 122.3351024 11.6384867)",,503,,
283924382,Capiz-Aklan Road,primary,False,True,71.625,"LINESTRING (122.3355082 11.6379383, 122.3356328 11.6377718, 122.3356962 11.6376842, 122.3357492 11.6375922, 122.3358208 11.637472, 122.3358557 11.6373936)",2,503,,
246812437,,unclassified,False,False,82.381,"LINESTRING (122.3358557 11.6373936, 122.3363445 11.6376334, 122.3364249 11.6376789, 122.3365187 11.6377472)",,,,
283924382,Capiz-Aklan Road,primary,False,False,71.625,"LINESTRING (122.3358557 11.6373936, 122.3358208 11.637472, 122.3357492 11.6375922, 122.3356962 11.6376842, 122.3356328 11.6377718, 122.3355082 11.6379383)",2,503,,
283924382,Capiz-Aklan Road,primary,False,True,187.615,"LINESTRING (122.3358557 11.6373936, 122.3358943 11.6373122, 122.3359463 11.6371743, 122.3359906 11.6370159, 122.336055 11.636755, 122.3360977 11.6366247, 122.3362001 11.6363988, 122.3362859 11.6362595, 122.3363362 11.6361795, 122.3364858 11.6359978, 122.3365767 11.6358849)",2,503,,
283924382,Capiz-Aklan Road,primary,False,False,72.236,"LINESTRING (122.3370037 11.6353878, 122.3368493 11.6355681, 122.3365767 11.6358849)",2,503,,
