osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,ref,name,width
180970197,2,tertiary,40,False,False,314.42900000000003,"LINESTRING (125.8131779 7.4446765, 125.8131392 7.4446306, 125.8131002 7.444583, 125.8130573 7.4445378, 125.8130003 7.4444932, 125.8129339 7.4444534, 125.8128655 7.4444194, 125.812767 7.4443796, 125.8126623 7.4443497, 125.811291 7.4440392, 125.811234 7.4440225, 125.8111837 7.4440012, 125.8111408 7.4439753, 125.8108981 7.4437839, 125.8108472 7.4437485, 125.8107714 7.4437133, 125.8106828 7.4436907, 125.8105776 7.4436741)",,,
423655442,4,trunk,,False,False,43.297,"LINESTRING (125.8131779 7.4446765, 125.8132234 7.4446468, 125.8135057 7.4444621)",74,Apokon Road,
423655442,4,trunk,,False,True,76.468,"LINESTRING (125.8131779 7.4446765, 125.8131294 7.4447082, 125.812599 7.4450552)",74,Apokon Road,
180970197,2,tertiary,40,False,False,46.927,"LINESTRING (125.8086724 7.4433249, 125.8083895 7.4430096)",,,
180970197,2,tertiary,40,False,True,53.717000000000006,"LINESTRING (125.8086724 7.4433249, 125.8087456 7.4433982, 125.8087945 7.4434341, 125.8088482 7.443458, 125.8089056 7.4434736, 125.8089682 7.4434832, 125.8091078 7.4434998)",,,
180970199,,unclassified,,False,False,169.491,"LINESTRING (125.8086724 7.4433249, 125.8086001 7.4434108, 125.8085267 7.4434842, 125.8075678 7.4443839)",,Narra Street,
31614805,,residential,,False,True,48.131,"LINESTRING (125.8105776 7.4436741, 125.8106094 7.4432424)",,,
180970197,2,tertiary,40,False,False,163.212,"LINESTRING (125.8105776 7.4436741, 125.8091078 7.4434998)",,,
180970197,2,tertiary,40,False,True,314.429,"LINESTRING (125.8105776 7.4436741, 125.8106828 7.4436907, 125.8107714 7.4437133, 125.8108472 7.4437485, 125.8108981 7.4437839, 125.8111408 7.4439753, 125.8111837 7.4440012, 125.811234 7.4440225, 125.811291 7.4440392, 125.8126623 7.4443497, 125.812767 7.4443796, 125.8128655 7.4444194, 125.8129339 7.4444534, 125.8130003 7.4444932, 125.8130573 7.4445378, 125.8131002 7.444583, 125.8131392 7.4446306, 125.8131779 7.4446765)",,,
31614832,,residential,,False,False,113.668,"LINESTRING (125.8075318 7.442672, 125.8067348 7.4433204)",,,
990581457,1,trunk,30,True,False,75.361,"LINESTRING (125.806235 7.4428581, 125.8067348 7.4433204)",1,Davao-Agusan National Highway,
33196674,,residential,,False,True,10.569,"LINESTRING (125.8081317 7.4426479, 125.8081047 7.4427391)",,,
31614926,2,tertiary,,False,True,74.426,"LINESTRING (125.8056399 7.4487471, 125.8056339 7.4480778)",,Jose Abad Santos Street,
96226167,2,tertiary,,False,False,139.07299999999998,"LINESTRING (125.8056399 7.4487471, 125.8067095 7.4487621, 125.8069003 7.44878)",,Quezon Street,
96226167,2,tertiary,,False,True,139.07299999999998,"LINESTRING (125.8069003 7.44878, 125.8067095 7.4487621, 125.8056399 7.4487471)",,Quezon Street,
169953731,4,tertiary,,False,False,112.15300000000002,"LINESTRING (125.8069003 7.44878, 125.8069478 7.4487964, 125.8070827 7.4488304, 125.807194 7.4488397, 125.8073536 7.4488423, 125.8076057 7.4488197, 125.8077606 7.448804, 125.8079074 7.4487892)",,Quirante 2 Street,
423655445,4,trunk,,False,False,115.999,"LINESTRING (125.8069003 7.44878, 125.8067899 7.4488507, 125.8060074 7.4493317)",909,Pioneer Avenue,
423655445,4,trunk,,False,True,125.18299999999999,"LINESTRING (125.8069003 7.44878, 125.8069999 7.4487137, 125.8074341 7.4484246, 125.8075765 7.4483298, 125.8078077 7.4481759, 125.8078436 7.4481535)",909,Pioneer Avenue,
31614829,,residential,,False,True,43.483,"LINESTRING (125.8083895 7.4430096, 125.8081047 7.4427391)",,,
180970197,2,tertiary,40,False,True,46.927,"LINESTRING (125.8083895 7.4430096, 125.8086724 7.4433249)",,,
31614926,2,tertiary,,False,False,73.575,"LINESTRING (125.8056226 7.4460482, 125.8056325 7.4467098)",,Jose Abad Santos Street,
31614926,2,tertiary,,False,True,153.335,"LINESTRING (125.8056226 7.4460482, 125.8056372 7.4446693)",,Jose Abad Santos Street,
33196699,4,tertiary,,False,False,314.74800000000005,"LINESTRING (125.8056226 7.4460482, 125.8075361 7.4460548, 125.808477 7.4460332)",,Lapu-Lapu Street,
423655445,4,trunk,,False,True,124.345,"LINESTRING (125.8050722 7.4499567, 125.8051539 7.4499021, 125.8052357 7.4498474, 125.8053175 7.4497927, 125.8054797 7.4496844, 125.8056419 7.449576, 125.8060074 7.4493317)",909,Pioneer Avenue,
732013632,2,trunk,30,True,False,84.52,"LINESTRING (125.808477 7.4460332, 125.8080073 7.4454325)",1,Davao-Agusan National Highway,
33196699,4,tertiary,,False,True,314.74800000000005,"LINESTRING (125.808477 7.4460332, 125.8075361 7.4460548, 125.8056226 7.4460482)",,Lapu-Lapu Street,
1113257001,4,tertiary,30,False,False,41.157,"LINESTRING (125.808477 7.4460332, 125.8085725 7.4460303, 125.8087545 7.4460249, 125.8088501 7.446022)",,,
96215846,4,tertiary,,False,True,16.936,"LINESTRING (125.8111654 7.4460203, 125.8110118 7.4460204)",,Lapu-Lapu Extension,
423655439,2,trunk,,True,False,202.342,"LINESTRING (125.8111654 7.4460203, 125.8096361 7.4470262)",74,Apokon Road,
754247511,,residential,,False,False,104.621,"LINESTRING (125.8068307 7.4497296, 125.8076975 7.4501124)",,,
105732733,,residential,,False,True,100.98299999999999,"LINESTRING (125.8068307 7.4497296, 125.806433 7.4495383, 125.8061834 7.4494182, 125.8060074 7.4493317)",,,
425996041,,residential,,False,False,258.77099999999996,"LINESTRING (125.8068307 7.4497296, 125.8068386 7.4502227, 125.8068425 7.4504983, 125.8068455 7.4507121, 125.8068399 7.451212, 125.8068285 7.4512505, 125.8067983 7.4512825, 125.8067568 7.4512998, 125.8067098 7.4513068, 125.8066436 7.4513102, 125.8060353 7.4513045)",,Ostrea Drive,
31614926,2,tertiary,,False,False,75.868,"LINESTRING (125.8056325 7.4467098, 125.8056332 7.4473921)",,Jose Abad Santos Street,
31614926,2,tertiary,,False,True,73.575,"LINESTRING (125.8056325 7.4467098, 125.8056226 7.4460482)",,Jose Abad Santos Street,
31614926,2,tertiary,,False,False,47.248,"LINESTRING (125.8056251 7.4438136, 125.8056349 7.4442384)",,Jose Abad Santos Street,
31614926,2,tertiary,,False,True,125.049,"LINESTRING (125.8056251 7.4438136, 125.8056461 7.4426892)",,Jose Abad Santos Street,
425996041,,residential,,False,True,258.771,"LINESTRING (125.8060353 7.4513045, 125.8066436 7.4513102, 125.8067098 7.4513068, 125.8067568 7.4512998, 125.8067983 7.4512825, 125.8068285 7.4512505, 125.8068399 7.451212, 125.8068455 7.4507121, 125.8068425 7.4504983, 125.8068386 7.4502227, 125.8068307 7.4497296)",,Ostrea Drive,
31614926,2,tertiary,,False,False,76.247,"LINESTRING (125.8056332 7.4473921, 125.8056339 7.4480778)",,Jose Abad Santos Street,
31614926,2,tertiary,,False,True,75.868,"LINESTRING (125.8056332 7.4473921, 125.8056325 7.4467098)",,Jose Abad Santos Street,
423655444,2,trunk,,True,False,8.397,"LINESTRING (125.8078436 7.4481535, 125.8078859 7.4480907)",909,Pioneer Avenue,
423655445,4,trunk,,False,False,125.18299999999999,"LINESTRING (125.8078436 7.4481535, 125.8078077 7.4481759, 125.8075765 7.4483298, 125.8074341 7.4484246, 125.8069999 7.4487137, 125.8069003 7.44878)",909,Pioneer Avenue,
105735835,2,residential,,False,True,147.939,"LINESTRING (125.8119975 7.4469729, 125.8117678 7.4458942, 125.8117178 7.4456717)",,,
