osmid,lanes,ref,name,highway,oneway,reversed,length,geometry
"[165384132, 534745286]",2,,Doña Aurora Street,tertiary,False,False,338.005,"LINESTRING (121.8572487 13.4777608, 121.8575403 13.4772641, 121.8576381 13.4771331, 121.857777 13.4769801, 121.8579454 13.4768909, 121.8581073 13.4768473, 121.858874 13.4767588, 121.8589594 13.4767295, 121.8590424 13.4766597, 121.8591368 13.476499, 121.8594611 13.4759637)"
534745303,2,460,Rizal Street,primary,False,True,4.317,"LINESTRING (121.8598188 13.4728123, 121.8598505 13.4728359)"
534745299,,,,residential,False,True,99.179,"LINESTRING (121.8598188 13.4728123, 121.8596173 13.473059, 121.8594879 13.4731816, 121.8592572 13.4735142)"
534745283,,,,residential,False,False,47.296,"LINESTRING (121.8592572 13.4735142, 121.8589032 13.4732644)"
534745283,,,,residential,False,True,39.302,"LINESTRING (121.8592572 13.4735142, 121.8595709 13.4736927)"
534745299,,,,residential,False,True,77.561,"LINESTRING (121.8592572 13.4735142, 121.8589099 13.4741245)"
534745299,,,,residential,False,False,99.17899999999999,"LINESTRING (121.8592572 13.4735142, 121.8594879 13.4731816, 121.8596173 13.473059, 121.8598188 13.4728123)"
770819309,,,Mendez Street,residential,False,True,51.573,"LINESTRING (121.8586256 13.4744969, 121.8589099 13.4741245)"
165384131,,,Mendez Street,residential,False,True,37.371,"LINESTRING (121.8589099 13.4741245, 121.8592115 13.4742886)"
534745299,,,,residential,False,False,77.561,"LINESTRING (121.8589099 13.4741245, 121.8592572 13.4735142)"
770819309,,,Mendez Street,residential,False,False,51.573,"LINESTRING (121.8589099 13.4741245, 121.8586256 13.4744969)"
165384131,,,Mendez Street,residential,False,False,37.371,"LINESTRING (121.8592115 13.4742886, 121.8589099 13.4741245)"
165384131,,,Mendez Street,residential,False,True,37.009,"LINESTRING (121.8592115 13.4742886, 121.8594863 13.474487)"
165503111,,,Magsaysay Street,residential,False,False,21.766,"LINESTRING (121.8592115 13.4742886, 121.8593136 13.4741199)"
