osmid,highway,oneway,reversed,length,name,geometry
"[197880977, 154878213]",residential,False,False,450.92,,"LINESTRING (125.0103351 10.7500373, 125.0120713 10.7511343, 125.0122806 10.750328, 125.0123895 10.7499462, 125.0125692 10.7494729, 125.0126604 10.7491935)"
154878191,residential,False,True,70.012,,"LINESTRING (125.0110175 10.7431616, 125.0106736 10.7436929)"
154878192,unclassified,False,False,85.837,,"LINESTRING (125.0110175 10.7431616, 125.0117881 10.7433123)"
154878192,unclassified,False,True,81.213,,"LINESTRING (125.0110175 10.7431616, 125.0102779 10.7430879)"
154878191,residential,False,False,116.174,,"LINESTRING (125.0101166 10.7445829, 125.0106736 10.7436929)"
154878201,residential,False,False,117.0,La Revolućion,"LINESTRING (125.0101166 10.7445829, 125.0110886 10.7450247)"
154878201,residential,False,True,98.139,La Revolućion,"LINESTRING (125.0101166 10.7445829, 125.0093022 10.7442104)"
820845137,tertiary,False,False,64.191,,"LINESTRING (125.0131087 10.74391, 125.0132891 10.7433606)"
820845137,tertiary,False,True,75.422,,"LINESTRING (125.0131087 10.74391, 125.0128809 10.7445503)"
910472854,residential,False,False,55.838,,"LINESTRING (125.0131087 10.74391, 125.0135688 10.7441287)"
910472854,residential,False,True,73.541,,"LINESTRING (125.0131087 10.74391, 125.0124985 10.7436307)"
197880970,tertiary,True,False,110.876,Avenida Rizal,"LINESTRING (125.0118753 10.7475798, 125.0113329 10.7484226)"
711332877,residential,False,True,97.521,President M. Quezon,"LINESTRING (125.0118753 10.7475798, 125.0111008 10.7471437)"
"[197880977, 711332877]",residential,False,"[False, True]",266.722,President M. Quezon,"LINESTRING (125.0118753 10.7475798, 125.0130827 10.7482371, 125.0129136 10.7486257, 125.0126604 10.7491935)"
154878184,residential,False,False,98.041,,"LINESTRING (125.0096533 10.747308, 125.010149 10.746573)"
154878184,residential,False,True,111.03,,"LINESTRING (125.0096533 10.747308, 125.0090824 10.7481341)"
154878209,residential,False,False,65.049,,"LINESTRING (125.0096533 10.747308, 125.0101444 10.7476388)"
154878209,residential,False,True,124.638,,"LINESTRING (125.0096533 10.747308, 125.0087014 10.7466901)"
165939525,residential,False,False,129.434,,"LINESTRING (125.0121485 10.7455193, 125.0122818 10.7451679, 125.0123283 10.7449751, 125.0125995 10.7444477)"
820845122,residential,True,False,60.958,La Revolućion,"LINESTRING (125.0121485 10.7455193, 125.0123279 10.7455954, 125.0124658 10.7456462, 125.0125641 10.7456825, 125.0126715 10.7457072)"
165939923,tertiary,False,True,32.79,P. Burgos,"LINESTRING (125.0128809 10.7445503, 125.0125995 10.7444477)"
820845137,tertiary,False,False,75.422,,"LINESTRING (125.0128809 10.7445503, 125.0131087 10.74391)"
820845138,residential,False,False,50.52,P. Burgos,"LINESTRING (125.0128809 10.7445503, 125.0133159 10.7447045)"
197880970,tertiary,True,False,131.0,Avenida Rizal,"LINESTRING (125.0128809 10.7445503, 125.0128057 10.7447925, 125.0127687 10.7449786, 125.0127265 10.7452043, 125.0126715 10.7457072)"
154878184,residential,False,False,65.645,,"LINESTRING (125.010149 10.746573, 125.0104594 10.7460675)"
154878184,residential,False,True,98.041,,"LINESTRING (125.010149 10.746573, 125.0096533 10.747308)"
154878223,residential,False,False,61.12,President M. Quezon,"LINESTRING (125.010149 10.746573, 125.0106168 10.7468745)"
154878223,residential,False,True,149.022,President M. Quezon,"LINESTRING (125.010149 10.746573, 125.0089696 10.7458996)"
154878184,residential,False,False,84.226,,"LINESTRING (125.0106986 10.7456781, 125.0110886 10.7450247)"
154878184,residential,False,True,50.574,,"LINESTRING (125.0106986 10.7456781, 125.0104594 10.7460675)"
154878219,residential,False,False,59.184,,"LINESTRING (125.0106986 10.7456781, 125.011176 10.7459297)"
154878219,residential,False,True,190.46699999999998,,"LINESTRING (125.0106986 10.7456781, 125.0098899 10.7452472, 125.0091563 10.7448796)"
154878184,residential,False,False,111.03,,"LINESTRING (125.0090824 10.7481341, 125.0096533 10.747308)"
154878184,residential,False,True,43.216,,"LINESTRING (125.0090824 10.7481341, 125.0088479 10.7484471)"
154878202,residential,False,False,112.894,,"LINESTRING (125.0090824 10.7481341, 125.008216 10.7475807)"
154878202,residential,False,True,70.945,,"LINESTRING (125.0090824 10.7481341, 125.0096361 10.7484675)"
197880970,tertiary,True,False,20.942999999999998,Avenida Rizal,"LINESTRING (125.0125976 10.7462756, 125.0125674 10.7463711, 125.0125332 10.7464528)"
382195870,residential,False,False,135.474,,"LINESTRING (125.0125976 10.7462756, 125.0133667 10.7466625, 125.0137014 10.7468309)"
154878208,unclassified,False,False,115.238,General Juan Luna Street,"LINESTRING (125.0089696 10.7458996, 125.0091563 10.7448796)"
154878208,unclassified,False,True,92.654,General Juan Luna Street,"LINESTRING (125.0089696 10.7458996, 125.0087014 10.7466901)"
154878223,residential,False,False,149.022,President M. Quezon,"LINESTRING (125.0089696 10.7458996, 125.010149 10.746573)"
154878217,residential,False,True,53.018,,"LINESTRING (125.0134607 10.7428863, 125.0130155 10.7426965)"
820845137,tertiary,False,True,55.973,,"LINESTRING (125.0134607 10.7428863, 125.0132891 10.7433606)"
154878203,residential,False,False,63.059,,"LINESTRING (125.0122068 10.7434776, 125.0124833 10.7429798)"
910472854,residential,False,False,36.129,,"LINESTRING (125.0122068 10.7434776, 125.0124985 10.7436307)"
910472854,residential,False,True,49.296,,"LINESTRING (125.0122068 10.7434776, 125.0117881 10.7433123)"
820845138,residential,False,True,50.52,P. Burgos,"LINESTRING (125.0133159 10.7447045, 125.0128809 10.7445503)"
1035038302,residential,False,False,69.733,,"LINESTRING (125.0133159 10.7447045, 125.0135688 10.7441287)"
165939518,residential,False,False,183.07100000000003,P. Burgos,"LINESTRING (125.0133159 10.7447045, 125.0137712 10.7448618, 125.0142123 10.7450461, 125.0145117 10.7451985, 125.0148374 10.7453843)"
154878192,unclassified,False,False,48.773,,"LINESTRING (125.0095617 10.7430008, 125.0100034 10.7430646)"
911159235,unclassified,False,True,58.049,,"LINESTRING (125.0095617 10.7430008, 125.0094654 10.7435142)"
154878211,residential,False,True,168.461,,"LINESTRING (125.0126604 10.7491935, 125.0113329 10.7484226)"
"[197880977, 711332877]",residential,False,"[False, True]",266.722,President M. Quezon,"LINESTRING (125.0126604 10.7491935, 125.0129136 10.7486257, 125.0130827 10.7482371, 125.0118753 10.7475798)"
"[197880977, 154878213]",residential,False,True,450.92,,"LINESTRING (125.0126604 10.7491935, 125.0125692 10.7494729, 125.0123895 10.7499462, 125.0122806 10.750328, 125.0120713 10.7511343, 125.0103351 10.7500373)"
154878203,residential,False,False,51.917,,"LINESTRING (125.0124833 10.7429798, 125.0127086 10.7425687)"
154878203,residential,False,True,63.059,,"LINESTRING (125.0124833 10.7429798, 125.0122068 10.7434776)"
154878221,residential,False,False,35.651,,"LINESTRING (125.0124833 10.7429798, 125.012773 10.7431274)"
154878184,residential,False,True,84.226,,"LINESTRING (125.0110886 10.7450247, 125.0106986 10.7456781)"
154878201,residential,False,False,56.319,La Revolućion,"LINESTRING (125.0110886 10.7450247, 125.0115435 10.745263)"
154878201,residential,False,True,117.0,La Revolućion,"LINESTRING (125.0110886 10.7450247, 125.0101166 10.7445829)"
910434191,residential,False,False,61.554,,"LINESTRING (125.0145184 10.7438725, 125.0150304 10.7441036)"
1035038303,tertiary,False,True,83.728,,"LINESTRING (125.0145184 10.7438725, 125.0138114 10.7435818)"
245593475,tertiary,False,False,141.327,,"LINESTRING (125.0145184 10.7438725, 125.0148115 10.7432012, 125.0150364 10.7427079)"
154878201,residential,False,False,98.139,La Revolućion,"LINESTRING (125.0093022 10.7442104, 125.0101166 10.7445829)"
154878208,unclassified,False,False,79.441,General Juan Luna Street,"LINESTRING (125.0093022 10.7442104, 125.0094654 10.7435142)"
154878208,unclassified,False,True,76.1,General Juan Luna Street,"LINESTRING (125.0093022 10.7442104, 125.0091563 10.7448796)"
154878202,residential,False,True,112.894,,"LINESTRING (125.008216 10.7475807, 125.0090824 10.7481341)"
154878208,unclassified,False,False,112.334,General Juan Luna Street,"LINESTRING (125.008216 10.7475807, 125.0087014 10.7466901)"
154878208,unclassified,False,True,57.29,General Juan Luna Street,"LINESTRING (125.008216 10.7475807, 125.0079958 10.7480483)"
197880970,tertiary,True,False,63.717,Avenida Rizal,"LINESTRING (125.0126715 10.7457072, 125.0126161 10.7461355, 125.0125976 10.7462756)"
165939923,tertiary,False,False,32.79,P. Burgos,"LINESTRING (125.0125995 10.7444477, 125.0128809 10.7445503)"
165939923,tertiary,False,True,53.867,P. Burgos,"LINESTRING (125.0125995 10.7444477, 125.0121631 10.7442222)"
165939525,residential,False,True,129.434,,"LINESTRING (125.0125995 10.7444477, 125.0123283 10.7449751, 125.0122818 10.7451679, 125.0121485 10.7455193)"
165939517,residential,False,False,56.327,,"LINESTRING (125.0109498 10.7463288, 125.0114049 10.7465669)"
711332878,tertiary,True,False,50.794,Real Street,"LINESTRING (125.0109498 10.7463288, 125.011176 10.7459297)"
893281214,residential,False,True,60.946,,"LINESTRING (125.0109498 10.7463288, 125.0104594 10.7460675)"
197880970,tertiary,True,False,16.264,Avenida Rizal,"LINESTRING (125.0125332 10.7464528, 125.0124608 10.7465806)"
165939519,residential,False,False,133.036,,"LINESTRING (125.0125332 10.7464528, 125.0134855 10.746946, 125.0136083 10.7470146)"
165939522,residential,False,False,29.206,,"LINESTRING (125.0138206 10.7465958, 125.0137014 10.7468309)"
197880970,tertiary,True,False,7.833,Avenida Rizal,"LINESTRING (125.0122489 10.7469496, 125.0122134 10.7470108)"
165939522,residential,False,True,192.244,,"LINESTRING (125.0122489 10.7469496, 125.0133413 10.7474781, 125.0136083 10.7470146)"
165939519,residential,False,False,47.457,,"LINESTRING (125.0136083 10.7470146, 125.0139935 10.7472119)"
165939522,residential,False,True,22.819,,"LINESTRING (125.0136083 10.7470146, 125.0137014 10.7468309)"
165939519,residential,False,True,133.036,,"LINESTRING (125.0136083 10.7470146, 125.0134855 10.746946, 125.0125332 10.7464528)"
165939522,residential,False,False,192.244,,"LINESTRING (125.0136083 10.7470146, 125.0133413 10.7474781, 125.0122489 10.7469496)"
165939517,residential,False,True,101.181,,"LINESTRING (125.0122134 10.7470108, 125.0114049 10.7465669)"
197880970,tertiary,True,False,73.262,Avenida Rizal,"LINESTRING (125.0122134 10.7470108, 125.0118753 10.7475798)"
165939519,residential,False,True,47.457,,"LINESTRING (125.0139935 10.7472119, 125.0136083 10.7470146)"
165939520,residential,False,False,37.154,,"LINESTRING (125.0076689 10.7479561, 125.0079958 10.7480483)"
154878208,unclassified,False,False,57.29,General Juan Luna Street,"LINESTRING (125.0079958 10.7480483, 125.008216 10.7475807)"
154878208,unclassified,False,True,47.725,General Juan Luna Street,"LINESTRING (125.0079958 10.7480483, 125.0078069 10.7484353)"
165939520,residential,False,True,37.154,,"LINESTRING (125.0079958 10.7480483, 125.0076689 10.7479561)"
165939520,residential,False,False,103.11000000000001,,"LINESTRING (125.0079958 10.7480483, 125.0084272 10.7482504, 125.0088479 10.7484471)"
154878184,residential,False,False,43.216,,"LINESTRING (125.0088479 10.7484471, 125.0090824 10.7481341)"
154878184,residential,False,True,56.559,,"LINESTRING (125.0088479 10.7484471, 125.0085513 10.748864)"
165939520,residential,False,True,103.11000000000001,,"LINESTRING (125.0088479 10.7484471, 125.0084272 10.7482504, 125.0079958 10.7480483)"
245593475,tertiary,False,True,141.327,,"LINESTRING (125.0150364 10.7427079, 125.0148115 10.7432012, 125.0145184 10.7438725)"
914905472,unclassified,False,True,81.51599999999999,,"LINESTRING (125.0150364 10.7427079, 125.0149152 10.7426449, 125.0148556 10.7425979, 125.0143823 10.7423579)"
165939518,residential,False,True,183.071,P. Burgos,"LINESTRING (125.0148374 10.7453843, 125.0145117 10.7451985, 125.0142123 10.7450461, 125.0137712 10.7448618, 125.0133159 10.7447045)"
154878210,residential,False,True,138.026,,"LINESTRING (125.0098445 10.7497222, 125.0091987 10.7507891)"
914905471,tertiary,False,False,64.032,,"LINESTRING (125.0098445 10.7497222, 125.0103351 10.7500373)"
914905471,tertiary,False,True,94.523,,"LINESTRING (125.0098445 10.7497222, 125.0091268 10.7492474)"
165939522,residential,False,False,22.819,,"LINESTRING (125.0137014 10.7468309, 125.0136083 10.7470146)"
165939522,residential,False,True,29.206,,"LINESTRING (125.0137014 10.7468309, 125.0138206 10.7465958)"
