osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,access
319662864,4,10th Avenue,secondary,40,False,True,68.046,"LINESTRING (120.9725732 14.650826, 120.9731887 14.650967)",,
319664484,4,A. Mabini Street,secondary,50,False,True,9.069,"LINESTRING (120.9725732 14.650826, 120.9725496 14.6509043)",,
319664486,4,A. Mabini Street,secondary,50,False,False,119.214,"LINESTRING (120.9725732 14.650826, 120.9728275 14.6497825)",,
29451822,,General Del Pilar Street,residential,,False,True,70.522,"LINESTRING (120.9762352 14.6517634, 120.9760504 14.6523719)",,
253744244,4,10th Avenue,secondary,40,False,True,26.665,"LINESTRING (120.9762352 14.6517634, 120.9764817 14.6517885)",,
253744245,4,10th Avenue,secondary,40,False,False,34.553,"LINESTRING (120.9762352 14.6517634, 120.97607 14.6517221, 120.9759276 14.6516748)",,
1063412618,3,Dagat-Dagatan Avenue,secondary,40,True,False,16.205,"LINESTRING (120.9680356 14.6480251, 120.968027 14.6478796)",,
"[319664504, 16280009]",2,Tanigue Street,tertiary,,False,False,17.169,"LINESTRING (120.9680356 14.6480251, 120.9681342 14.6480211, 120.9681951 14.6480209)",,
319662856,2,Sabalo Street,tertiary,,False,False,20.141,"LINESTRING (120.9685747 14.6518422, 120.9686083 14.65175, 120.9686311 14.6516696)",,
319662857,2,Sabalo Street,tertiary,,False,True,45.217,"LINESTRING (120.9685747 14.6518422, 120.9684876 14.6520018, 120.9683501 14.6521847)",,
"[319662865, 29134075]",,Bangayngay Street,residential,,False,"[False, True]",132.962,"LINESTRING (120.9685747 14.6518422, 120.9688862 14.6519237, 120.9694692 14.6520582, 120.9694968 14.6520735, 120.9694967 14.6521198, 120.9694462 14.6523411)",,
23769240,2,Tulingan Street,tertiary,,False,True,25.927,"LINESTRING (120.9688537 14.6506602, 120.9686315 14.6505699)",,
23769240,2,Tulingan Street,tertiary,,False,False,103.62700000000001,"LINESTRING (120.9688537 14.6506602, 120.9691424 14.6507455, 120.9697841 14.6509005)",,
319662856,2,Sabalo Street,tertiary,,False,True,57.384,"LINESTRING (120.9688537 14.6506602, 120.9688309 14.6507666, 120.9688014 14.6508976, 120.9687424 14.6511649)",,
16281983,,Tanigue Street,residential,,False,False,157.395,"LINESTRING (120.9701379 14.6478143, 120.9691888 14.6478308, 120.9688 14.6478496, 120.9686757 14.6478563)",,
16281983,,Tanigue Street,residential,,False,True,67.285,"LINESTRING (120.9701379 14.6478143, 120.9705348 14.647854, 120.9707597 14.6478793)",,
"[788720256, 788720257, 16282006]",2,Tamban Street,tertiary,,False,False,180.438,"LINESTRING (120.9701379 14.6478143, 120.970137 14.6478597, 120.9701361 14.6479206, 120.9701356 14.647942, 120.9701305 14.648184, 120.9701047 14.6486754, 120.9700718 14.6490734, 120.9700196 14.6494315)",yes,
16281983,,Tanigue Street,residential,,False,False,52.896,"LINESTRING (120.9686757 14.6478563, 120.9681843 14.6478725)",,
16281984,,Talimusak,residential,,False,False,106.634,"LINESTRING (120.9686757 14.6478563, 120.9685513 14.6469049)",,
16281983,,Tanigue Street,residential,,False,True,157.395,"LINESTRING (120.9686757 14.6478563, 120.9688 14.6478496, 120.9691888 14.6478308, 120.9701379 14.6478143)",,
16279596,3,Dagat-Dagatan Avenue,secondary,40,True,False,16.542,"LINESTRING (120.9681843 14.6478725, 120.9681951 14.6480209)",,
16281983,,Tanigue Street,residential,,False,True,52.896,"LINESTRING (120.9681843 14.6478725, 120.9686757 14.6478563)",,
"[319664503, 16281983]",,Tanigue Street,residential,,False,False,16.941,"LINESTRING (120.9681843 14.6478725, 120.96812 14.6478748, 120.968027 14.6478796)",,
40846628,,Velasco Extension Street,residential,,False,False,131.594,"LINESTRING (120.9693795 14.6551454, 120.9703919 14.65527, 120.9704263 14.6552614, 120.9704496 14.6552391, 120.9705121 14.655124)",,
319662863,1,Lakas ng Mahirap Street,tertiary,,False,True,34.059,"LINESTRING (120.9693795 14.6551454, 120.9693422 14.6552612, 120.969309 14.6554434)",,
"[1063729569, 319662859]","['1', '2']",Lakas ng Mahirap Street,tertiary,,False,False,166.421,"LINESTRING (120.9693795 14.6551454, 120.9694457 14.6549687, 120.9695455 14.6547332, 120.9696543 14.6545252, 120.969692 14.6544631, 120.9698017 14.6542825, 120.9701069 14.6538309)",,
253744250,,C. Apostol Street,residential,,False,True,37.898,"LINESTRING (120.9770387 14.6535424, 120.9766919 14.6534825)",,
253744272,2,Heroes del '96 Street,tertiary,30,False,True,74.195,"LINESTRING (120.9770387 14.6535424, 120.9769082 14.6541976)",,
16281983,,Tanigue Street,residential,,False,False,29.964,"LINESTRING (120.9710376 14.6478974, 120.9707597 14.6478793)",,
16281983,,Tanigue Street,residential,,False,True,66.029,"LINESTRING (120.9710376 14.6478974, 120.9716479 14.6479604)",,
936174095,,Talangka Street,residential,,False,True,38.098,"LINESTRING (120.9710376 14.6478974, 120.9710538 14.6475797, 120.9710551 14.6475552)",,
319664505,2,Tulingan Street,tertiary,,False,True,26.375,"LINESTRING (120.9700174 14.6509734, 120.9697841 14.6509005)",,
236950747,2,Libis Espina Street,tertiary,,False,False,42.17400000000001,"LINESTRING (120.9700174 14.6509734, 120.9703856 14.6510552, 120.9703992 14.6510593)",,
894541037,2,Libis Espina Street,residential,,False,False,150.672,"LINESTRING (120.9700174 14.6509734, 120.9701016 14.6505525, 120.9701492 14.6503072, 120.9701639 14.6500802, 120.9702135 14.6496335)",,
29134131,,General Luna Street,residential,,False,False,55.695,"LINESTRING (120.9716169 14.6533229, 120.9712489 14.6536752)",,
319662851,,General Luna Street,residential,,False,True,55.614,"LINESTRING (120.9716169 14.6533229, 120.9717003 14.6528293)",,
319662854,2,Lakas ng Mahirap Street,tertiary,,False,False,41.48,"LINESTRING (120.9716169 14.6533229, 120.9720021 14.6533395)",,
"[319662859, 29134124]",2,Lakas ng Mahirap Street,tertiary,,False,True,119.46499999999999,"LINESTRING (120.9716169 14.6533229, 120.970773 14.6531539, 120.9705808 14.6533066)",,
319662851,,General Luna Street,residential,,False,False,48.372,"LINESTRING (120.9716169 14.6533229, 120.9716127 14.6534308, 120.971587 14.6537569)",,
