osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,geometry,access,bridge,width
173451365,2,N. T. Garcia Street,residential,False,False,35.695,,,"LINESTRING (120.9898701 14.4973547, 120.9901667 14.4972112)",,,
161074847,2,Quirino Avenue,trunk,False,False,307.764,62,50,"LINESTRING (120.9898701 14.4973547, 120.9900206 14.4976172, 120.9901454 14.4978354, 120.9903696 14.4982268, 120.990411 14.4982992, 120.9905607 14.4985605, 120.9905715 14.4985797, 120.9907131 14.4988181, 120.9907165 14.4988252, 120.9907409 14.4988689, 120.9908523 14.4990722, 120.9910921 14.4994671, 120.9912518 14.4997282, 120.9912744 14.4997652)",,,
4914624,,P. Dandan Street,residential,False,False,31.21,,,"LINESTRING (120.9912744 14.4997652, 120.9915265 14.4996266)",permissive,,
"[1074006926, 161074847]","['2', '4']",Quirino Avenue,trunk,False,False,149.30199999999996,62,50,"LINESTRING (120.9912744 14.4997652, 120.991339 14.4998667, 120.9913807 14.4999598, 120.9913888 14.4999787, 120.9914082 14.5000236, 120.9914295 14.5000751, 120.9914398 14.5001273, 120.9914498 14.5001999, 120.9914413 14.5002725, 120.9914302 14.5003562, 120.991421 14.5003906, 120.9913968 14.5004812, 120.9913665 14.5005971, 120.9913529 14.5006788, 120.9913436 14.5007635, 120.9913548 14.5008308, 120.9913896 14.500883, 120.9914314 14.5009267, 120.9915075 14.5009688, 120.9915289 14.5009769)",,,
161074847,2,Quirino Avenue,trunk,False,True,307.764,62,50,"LINESTRING (120.9912744 14.4997652, 120.9912518 14.4997282, 120.9910921 14.4994671, 120.9908523 14.4990722, 120.9907409 14.4988689, 120.9907165 14.4988252, 120.9907131 14.4988181, 120.9905715 14.4985797, 120.9905607 14.4985605, 120.990411 14.4982992, 120.9903696 14.4982268, 120.9901454 14.4978354, 120.9900206 14.4976172, 120.9898701 14.4973547)",,,
22730990,2,Dimatimbangan Street,residential,False,True,52.096,,,"LINESTRING (120.9936364 14.5044252, 120.993174 14.5045634)",,,
"[22730994, 22730995, 22731189]",2,J. P. Rizal Street,tertiary,False,False,130.09699999999998,,,"LINESTRING (120.9936364 14.5044252, 120.9936829 14.504408, 120.9938787 14.5043327, 120.9940454 14.5042539, 120.9945254 14.5040229, 120.9945719 14.5039999, 120.9947265 14.503922)",,yes,
824738005,4,Quirino Avenue,trunk,False,True,217.254,62,50,"LINESTRING (120.9936364 14.5044252, 120.9934974 14.5039529, 120.9934881 14.5039215, 120.993398 14.5036474, 120.9932926 14.5034034, 120.9932012 14.5031769, 120.9930633 14.502848, 120.9929633 14.5025855)",,,
4914624,,P. Dandan Street,residential,False,False,82.938,,,"LINESTRING (120.9919709 14.4994235, 120.9927288 14.4992896)",permissive,,
4914624,,P. Dandan Street,residential,False,True,53.021,,,"LINESTRING (120.9919709 14.4994235, 120.9917684 14.4994987, 120.9915265 14.4996266)",permissive,,
22730983,1,Andres Bonifacio Street,residential,False,True,222.536,,30,"LINESTRING (120.9919709 14.4994235, 120.9918312 14.4990863, 120.9916631 14.4986664, 120.9915219 14.4983424, 120.9913883 14.4981191, 120.9912259 14.4978477, 120.9910891 14.497619)",,,
4914624,,P. Dandan Street,residential,False,True,82.938,,,"LINESTRING (120.9927288 14.4992896, 120.9919709 14.4994235)",permissive,,
243480701,1,Tramo Road,residential,False,True,248.053,,30,"LINESTRING (120.9927288 14.4992896, 120.9925527 14.4987632, 120.9925148 14.498662, 120.9923518 14.4984874, 120.9916829 14.4977992, 120.9914521 14.4974802)",,,
"[775154920, 22730985, 775154918]",,"['San Nicolas', 'P. Dandan Street', 'Kapitan Tinoy']",residential,False,"[False, True]",243.99699999999996,,,"LINESTRING (120.9927288 14.4992896, 120.9930203 14.499208, 120.993044 14.4992004, 120.9933207 14.499113, 120.9934251 14.4994135, 120.9934299 14.4994271, 120.9934932 14.4997139, 120.993505 14.4997673, 120.9935327 14.4999633, 120.99353 14.4999682, 120.9935233 14.4999708, 120.993479 14.4999786, 120.9934453 14.4999899, 120.9934277 14.5000069, 120.9934142 14.5000389, 120.9932279 14.5000623, 120.9931471 14.5000718, 120.9928318 14.5001088)",,,
775154919,2,M. H. del Pilar Street,residential,True,False,92.17,,,"LINESTRING (120.9927288 14.4992896, 120.9927947 14.4995407, 120.9927991 14.4995716, 120.9928189 14.4997206, 120.9928225 14.4998482, 120.9928318 14.5001088)",,,
22730983,1,Andres Bonifacio Street,residential,False,False,85.158,,30,"LINESTRING (120.990771 14.4969178, 120.9907734 14.496923, 120.9908888 14.4971774, 120.9910797 14.4975983, 120.9910891 14.497619)",,,
173451365,2,N. T. Garcia Street,residential,False,True,72.779,,,"LINESTRING (120.990771 14.4969178, 120.9904629 14.4970696, 120.9901667 14.4972112)",,,
173451365,2,N. T. Garcia Street,residential,False,True,35.695,,,"LINESTRING (120.9901667 14.4972112, 120.9898701 14.4973547)",,,
173451365,2,N. T. Garcia Street,residential,False,False,72.779,,,"LINESTRING (120.9901667 14.4972112, 120.9904629 14.4970696, 120.990771 14.4969178)",,,
"[847019728, 22730830]",,P. Burgos,residential,False,"[False, True]",305.905,,,"LINESTRING (120.9901667 14.4972112, 120.9903122 14.4974666, 120.9905358 14.4978651, 120.9906942 14.4981458, 120.9908424 14.4984084, 120.9909936 14.4986732, 120.9911251 14.498926, 120.9913535 14.4993279, 120.9915265 14.4996266)",,,
4914624,,P. Dandan Street,residential,False,True,31.21,,,"LINESTRING (120.9915265 14.4996266, 120.9912744 14.4997652)",permissive,,
4914624,,P. Dandan Street,residential,False,False,53.021,,,"LINESTRING (120.9915265 14.4996266, 120.9917684 14.4994987, 120.9919709 14.4994235)",permissive,,
"[847019728, 22730830]",,P. Burgos,residential,False,"[False, True]",305.90500000000003,,,"LINESTRING (120.9915265 14.4996266, 120.9913535 14.4993279, 120.9911251 14.498926, 120.9909936 14.4986732, 120.9908424 14.4984084, 120.9906942 14.4981458, 120.9905358 14.4978651, 120.9903122 14.4974666, 120.9901667 14.4972112)",,,
"[775154920, 22730985, 775154918]",,"['San Nicolas', 'P. Dandan Street', 'Kapitan Tinoy']",residential,False,"[False, True]",243.99699999999999,,,"LINESTRING (120.9928318 14.5001088, 120.9931471 14.5000718, 120.9932279 14.5000623, 120.9934142 14.5000389, 120.9934277 14.5000069, 120.9934453 14.4999899, 120.993479 14.4999786, 120.9935233 14.4999708, 120.99353 14.4999682, 120.9935327 14.4999633, 120.993505 14.4997673, 120.9934932 14.4997139, 120.9934299 14.4994271, 120.9934251 14.4994135, 120.9933207 14.499113, 120.993044 14.4992004, 120.9930203 14.499208, 120.9927288 14.4992896)",,,
173450926,2,M. H. del Pilar Street,residential,False,True,112.22500000000001,,,"LINESTRING (120.9928318 14.5001088, 120.9927406 14.5003798, 120.9925734 14.500897, 120.9925113 14.5010691)",,,
22730989,2,Santa Monica Street,residential,True,False,215.051,,,"LINESTRING (120.9925626 14.5027226, 120.992675 14.5030393, 120.992767 14.5033323, 120.9928424 14.5035709, 120.9929325 14.503811, 120.9930291 14.5041013, 120.993174 14.5045634)",,,5
173448930,1,Balagtas Street,residential,False,False,45.751000000000005,,,"LINESTRING (120.9925626 14.5027226, 120.992858 14.5026215, 120.9928897 14.5026107, 120.9929633 14.5025855)",,,4
22730995,2,J. P. Rizal Street,tertiary,False,True,2.495,,,"LINESTRING (120.9947475 14.5039125, 120.9947265 14.503922)",,,
22730995,2,J. P. Rizal Street,tertiary,False,False,43.278999999999996,,,"LINESTRING (120.9947475 14.5039125, 120.9948724 14.503855, 120.9951093 14.5037428)",,,
