osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,access,bridge
77477782,2,431,P. Torres Street,primary,40,False,False,105.813,"LINESTRING (121.1635358 13.9381609, 121.1632274 13.9390642)",,,
38066922,2,431,P. Torres Street,primary,40,False,False,71.553,"LINESTRING (121.1635358 13.9381609, 121.1637416 13.9378104, 121.1637856 13.9377024, 121.1638456 13.937593)",,,
81238840,2,,F. Manalo Street,tertiary,30,True,False,112.55,"LINESTRING (121.1635358 13.9381609, 121.1639087 13.9383061, 121.164366 13.9384842, 121.1645037 13.9385378)",4.5,,
38067168,2,431,C.M. Recto Avenue,primary,40,False,False,25.03,"LINESTRING (121.1605775 13.9406211, 121.1603501 13.9405768)",8.10,,
38067168,2,431,C.M. Recto Avenue,primary,40,False,True,8.096,"LINESTRING (121.1605775 13.9406211, 121.1606493 13.9406422)",8.10,,
38067168,2,431,C.M. Recto Avenue,primary,40,False,False,61.039,"LINESTRING (121.1611924 13.9407955, 121.1607547 13.9406719, 121.1606493 13.9406422)",8.10,,
806643703,2,431,C.M. Recto Avenue,primary,40,False,True,70.666,"LINESTRING (121.1611924 13.9407955, 121.1617443 13.9409552, 121.1618199 13.9409771)",8,,
806643704,,,Rizal Street,unclassified,30,True,False,144.772,"LINESTRING (121.1611924 13.9407955, 121.1609984 13.9413595, 121.1607677 13.9420305)",,,
733902027,2,431,C.M. Recto Avenue,primary,40,False,False,68.428,"LINESTRING (121.1624194 13.9411775, 121.1618199 13.9409771)",8,,
772991287,2,431,C.M. Recto Avenue,primary,40,False,True,49.955,"LINESTRING (121.1624194 13.9411775, 121.1628589 13.9413185)",8,,
906657684,2,,P. Torres Street,unclassified,30,True,False,152.611,"LINESTRING (121.1624194 13.9411775, 121.1619369 13.9424676)",,,
28953015,1,,Obispo Obviar Street,tertiary,30,True,False,64.569,"LINESTRING (121.162663 13.9388715, 121.1632274 13.9390642)",4.8,,
28953016,2,,E. Mayo Street,primary,30,True,False,106.286,"LINESTRING (121.162663 13.9388715, 121.1628759 13.9383239, 121.1630107 13.9379772)",6.1,,
733902027,2,431,C.M. Recto Avenue,primary,40,False,True,68.428,"LINESTRING (121.1618199 13.9409771, 121.1624194 13.9411775)",8,,
806643703,2,431,C.M. Recto Avenue,primary,40,False,False,70.666,"LINESTRING (121.1618199 13.9409771, 121.1617443 13.9409552, 121.1611924 13.9407955)",8,,
"[806643712, 806643709]",2,,E. Mayo Street,primary,30,True,False,120.8,"LINESTRING (121.1618199 13.9409771, 121.1621305 13.9401573, 121.1622109 13.9399592)",5.6,,
806643705,1,,Rizal Street,residential,30,True,False,48.765,"LINESTRING (121.1621119 13.9382062, 121.1619646 13.9386208)",5,,
"[246102835, 465389491]",1,,Kapitan Luz Street,residential,30,True,False,102.57000000000001,"LINESTRING (121.1621119 13.9382062, 121.1616683 13.9380541, 121.161636 13.938052, 121.1616147 13.9380736, 121.161473 13.938454)","['2', '4.5']",,
38067167,2,,President Katigbak Street,tertiary,30,False,True,55.766,"LINESTRING (121.164394 13.941886, 121.1645837 13.9414195)",5.2,,
77468843,2,431,C.M. Recto Avenue,primary,40,False,False,48.381,"LINESTRING (121.164394 13.941886, 121.1639769 13.9417265)",8,,
328836270,2,431,C.M. Recto Avenue,primary,40,False,True,70.929,"LINESTRING (121.164394 13.941886, 121.1650051 13.9421208)",8,,
895410684,,,President Katigbak Street,unclassified,30,True,False,153.282,"LINESTRING (121.164394 13.941886, 121.1638451 13.9431574)",,,
