osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,geometry,width
166219944,residential,False,False,136.173,,,,,"LINESTRING (125.5371502 8.9476963, 125.5374421 8.9465061)",
339112690,primary,False,True,95.849,4,9,J.C. Aquino Avenue,60,"LINESTRING (125.5371502 8.9476963, 125.5363337 8.9473922)",
339112690,primary,False,False,75.488,4,9,J.C. Aquino Avenue,60,"LINESTRING (125.5371502 8.9476963, 125.53731 8.9477428, 125.5374455 8.947782, 125.5375612 8.9478078, 125.5376601 8.9478199, 125.537755 8.9478312, 125.5378203 8.9478376)",
57016692,residential,False,False,53.236,,,Mangga Street,,"LINESTRING (125.5370878 8.9454952, 125.5372193 8.9450344)",
169680965,tertiary,False,False,63.599,,,Pili Drive,30,"LINESTRING (125.5370878 8.9454952, 125.5365123 8.945558)",
169680965,tertiary,False,True,162.677,,,Pili Drive,30,"LINESTRING (125.5370878 8.9454952, 125.538566 8.9454053)",
57016687,tertiary,False,False,80.675,,,R. Calo Street,30,"LINESTRING (125.5411316 8.944051, 125.5412019 8.9447732)",
57016689,residential,False,True,75.694,,,,,"LINESTRING (125.5411316 8.944051, 125.5404493 8.9441465)",
57016692,residential,False,True,51.969,,,Mangga Street,,"LINESTRING (125.5375151 8.9441143, 125.537368 8.9445585)",
205148464,residential,False,False,104.054,,,Molave Road,,"LINESTRING (125.5375151 8.9441143, 125.5380469 8.9440791, 125.5384605 8.9440551)",
57016689,residential,False,False,75.694,,,,,"LINESTRING (125.5404493 8.9441465, 125.5411316 8.944051)",
57016689,residential,False,True,9.86,,,,,"LINESTRING (125.5404493 8.9441465, 125.5403601 8.9441564)",
169680966,secondary,True,False,73.325,2,,South Montilla Boulevard,60,"LINESTRING (125.5404493 8.9441465, 125.5404916 8.9448046)",6.7
339112690,primary,False,False,95.849,4,9,J.C. Aquino Avenue,60,"LINESTRING (125.5363337 8.9473922, 125.5371502 8.9476963)",
955778651,primary,True,False,8.005,2,9,J.C. Aquino Avenue,60,"LINESTRING (125.5363337 8.9473922, 125.536261 8.9473972)",
57017119,residential,False,False,137.981,,,Nangka Road,,"LINESTRING (125.539737 8.9444331, 125.5384832 8.9445092)",
57017120,tertiary,False,False,49.47,2,,Narra Road,30,"LINESTRING (125.539737 8.9444331, 125.5397027 8.9439895)",
57017120,tertiary,False,True,50.519,2,,Narra Road,30,"LINESTRING (125.539737 8.9444331, 125.5397734 8.944886)",
57016692,residential,False,False,51.969,,,Mangga Street,,"LINESTRING (125.537368 8.9445585, 125.5375151 8.9441143)",
57016692,residential,False,True,55.381,,,Mangga Street,,"LINESTRING (125.537368 8.9445585, 125.5372193 8.9450344)",
57017119,residential,False,True,122.619,,,Nangka Road,,"LINESTRING (125.537368 8.9445585, 125.5384832 8.9445092)",
57017121,secondary,False,False,39.472,2,,Ochoa Avenue,40,"LINESTRING (125.5350103 8.9502596, 125.5351482 8.9499318)",
57017412,tertiary,False,True,66.283,2,,T. Calo Extension,40,"LINESTRING (125.5350103 8.9502596, 125.5344396 8.9500659)",
166219926,secondary,False,True,40.57,2,,Ochoa Avenue,40,"LINESTRING (125.5350103 8.9502596, 125.5348916 8.9506051)",
158638456,tertiary,False,False,146.405,2,,T. Calo Extension,40,"LINESTRING (125.5350103 8.9502596, 125.5358848 8.9506061, 125.5359928 8.9506488, 125.5362474 8.9507497)",
57016687,tertiary,False,True,172.113,,,R. Calo Street,30,"LINESTRING (125.5414215 8.9475311, 125.5414037 8.9472658, 125.5412967 8.9459882)",
339112691,primary,False,True,75.68900000000001,4,9,J.C. Aquino Avenue,60,"LINESTRING (125.5414215 8.9475311, 125.540828 8.9475816, 125.5407348 8.9475871)",
57017120,tertiary,False,True,49.47,2,,Narra Road,30,"LINESTRING (125.5397027 8.9439895, 125.539737 8.9444331)",
205148464,residential,False,True,136.642,,,Molave Road,,"LINESTRING (125.5397027 8.9439895, 125.5384605 8.9440551)",
158638456,tertiary,False,True,59.872,2,,T. Calo Extension,40,"LINESTRING (125.5367578 8.9509387, 125.5362474 8.9507497)",
158638456,tertiary,False,False,110.467,2,,T. Calo Extension,40,"LINESTRING (125.5367578 8.9509387, 125.5370607 8.9510084, 125.5373305 8.9510377, 125.5377535 8.9510523)",
166220842,residential,False,True,114.81,,,,,"LINESTRING (125.5367578 8.9509387, 125.536493 8.9516966, 125.536409 8.9519119)",
167316987,secondary,False,False,50.123,2,,Langihan Street,40,"LINESTRING (125.537637 8.9517134, 125.5375411 8.9521541)",
167316987,secondary,False,True,74.617,2,,Langihan Street,40,"LINESTRING (125.537637 8.9517134, 125.5377535 8.9510523)",
227744471,tertiary,False,True,361.071,2,,R. Rosales Street,40,"LINESTRING (125.537637 8.9517134, 125.5379981 8.9517125, 125.5398544 8.951669, 125.5409233 8.9516405)",
166219910,secondary,False,False,342.344,2,,T. Calo Street,40,"LINESTRING (125.5377535 8.9510523, 125.5408657 8.9508864)",
167316987,secondary,False,False,74.617,2,,Langihan Street,40,"LINESTRING (125.5377535 8.9510523, 125.537637 8.9517134)",
158638456,tertiary,False,True,110.46700000000001,2,,T. Calo Extension,40,"LINESTRING (125.5377535 8.9510523, 125.5373305 8.9510377, 125.5370607 8.9510084, 125.5367578 8.9509387)",
166219958,residential,False,True,53.86,,,Jose Street,,"LINESTRING (125.5345541 8.9439736, 125.5344002 8.9444335)",
227392452,residential,False,False,102.635,,,R. Palma Street,,"LINESTRING (125.5345541 8.9439736, 125.534617 8.9439969, 125.5354291 8.9442974)",
"[169680273, 227392452]",residential,False,True,142.666,,,"['R. Palma Street', 'Mabini Street']",,"LINESTRING (125.5345541 8.9439736, 125.5342108 8.9438471, 125.534133 8.9438418, 125.5340874 8.9438603, 125.5340552 8.9439239, 125.5340043 8.9440352, 125.5337998 8.9446024)",
205148399,tertiary,True,False,152.424,,,T. Claudio Street,,"LINESTRING (125.5325041 8.9441117, 125.5331291 8.9443484, 125.5337998 8.9446024)",
227392452,residential,False,False,68.504,,,R. Palma Street,,"LINESTRING (125.5355483 8.9443383, 125.5361353 8.9445464)",
227392452,residential,False,True,13.861,,,R. Palma Street,,"LINESTRING (125.5355483 8.9443383, 125.5354291 8.9442974)",
166219916,residential,False,True,102.588,,,Arellano Street,,"LINESTRING (125.5344002 8.9444335, 125.5352891 8.9447166)",
166219958,residential,False,False,53.86,,,Jose Street,,"LINESTRING (125.5344002 8.9444335, 125.5345541 8.9439736)",
166219958,residential,False,True,40.883,,,Jose Street,,"LINESTRING (125.5344002 8.9444335, 125.5342816 8.944782)",
57016687,tertiary,False,False,75.089,,,R. Calo Street,30,"LINESTRING (125.5412019 8.9447732, 125.5412457 8.9454471)",
57016687,tertiary,False,True,80.675,,,R. Calo Street,30,"LINESTRING (125.5412019 8.9447732, 125.5411316 8.944051)",
169680951,unclassified,False,True,43.837,,,T. Sanchez Street,30,"LINESTRING (125.5412019 8.9447732, 125.5408036 8.9447979)",
227392452,residential,False,True,70.894,,,R. Palma Street,,"LINESTRING (125.5367428 8.9447617, 125.5361353 8.9445464)",
1226380109,tertiary,False,True,50.367,2,,T. Guingona Sr. Avenue,40,"LINESTRING (125.5367428 8.9447617, 125.5366072 8.9451944)",
166219958,residential,False,False,40.883,,,Jose Street,,"LINESTRING (125.5342816 8.944782, 125.5344002 8.9444335)",
205148399,tertiary,True,False,102.807,,,T. Claudio Street,,"LINESTRING (125.5342816 8.944782, 125.5351603 8.9451004)",
169680951,unclassified,False,False,34.279,,,T. Sanchez Street,30,"LINESTRING (125.5404916 8.9448046, 125.5408036 8.9447979)",
169680951,unclassified,False,True,8.725,,,T. Sanchez Street,30,"LINESTRING (125.5404916 8.9448046, 125.5404122 8.9448067)",
169680966,secondary,True,False,51.937,2,,South Montilla Boulevard,60,"LINESTRING (125.5404916 8.9448046, 125.5405372 8.9452695)",6.7
57017120,tertiary,False,False,50.519,2,,Narra Road,30,"LINESTRING (125.5397734 8.944886, 125.539737 8.9444331)",
57017120,tertiary,False,True,47.307,2,,Narra Road,30,"LINESTRING (125.5397734 8.944886, 125.5398112 8.9453098)",
166219913,residential,False,False,138.023,,,Tamarin Road,,"LINESTRING (125.5397734 8.944886, 125.5385183 8.9449457)",
57016692,residential,False,False,55.381,,,Mangga Street,,"LINESTRING (125.5372193 8.9450344, 125.537368 8.9445585)",
57016692,residential,False,True,53.236,,,Mangga Street,,"LINESTRING (125.5372193 8.9450344, 125.5370878 8.9454952)",
166219913,residential,False,True,143.026,,,Tamarin Road,,"LINESTRING (125.5372193 8.9450344, 125.5385183 8.9449457)",
166219916,residential,False,False,154.224,,,Arellano Street,,"LINESTRING (125.5366072 8.9451944, 125.5352891 8.9447166)",
1226380109,tertiary,False,False,50.367,2,,T. Guingona Sr. Avenue,40,"LINESTRING (125.5366072 8.9451944, 125.5367428 8.9447617)",
1226380109,tertiary,False,True,41.76,2,,T. Guingona Sr. Avenue,40,"LINESTRING (125.5366072 8.9451944, 125.536539 8.9454422, 125.5365123 8.945558)",
166219927,residential,False,False,51.373,,,Ipil Road,,"LINESTRING (125.538566 8.9454053, 125.5385183 8.9449457)",
166219927,residential,False,True,49.622,,,Ipil Road,,"LINESTRING (125.538566 8.9454053, 125.5385734 8.9458515)",
169680965,tertiary,False,False,162.677,,,Pili Drive,30,"LINESTRING (125.538566 8.9454053, 125.5370878 8.9454952)",
169680965,tertiary,False,True,137.188,,,Pili Drive,30,"LINESTRING (125.538566 8.9454053, 125.5398112 8.9453098)",
166219927,residential,False,False,49.622,,,Ipil Road,,"LINESTRING (125.5385734 8.9458515, 125.538566 8.9454053)",
166219944,residential,False,True,66.825,,,,,"LINESTRING (125.5385734 8.9458515, 125.5379658 8.9458818)",
166219927,residential,False,True,82.954,,,Ipil Road,,"LINESTRING (125.5385734 8.9458515, 125.5386016 8.9464397, 125.5386016 8.9464967, 125.5386123 8.9465417, 125.5386378 8.9465894)",
227492934,tertiary,False,False,6.789,2,,T. Guingona Sr. Avenue,40,"LINESTRING (125.5365323 8.9462119, 125.5365296 8.9461509)",
166219978,residential,False,True,207.426,2,,General Malvar Street,,"LINESTRING (125.5365323 8.9462119, 125.5363324 8.9461946, 125.5362251 8.9461655, 125.5361514 8.9461297, 125.5356579 8.9457164, 125.5351724 8.9452832, 125.5351496 8.9452381, 125.5351415 8.9451825, 125.5351603 8.9451004)",
