osmid,lanes,highway,maxspeed,oneway,reversed,length,ref,name,width,geometry
32894856,1,unclassified,40,False,False,89.22,,,,"LINESTRING (123.5233375 13.6045214, 123.5241606 13.604583)"
758161556,2,secondary,40,False,False,95.47800000000001,632,Sagñay–Nato Road,6.6,"LINESTRING (123.5233375 13.6045214, 123.5233542 13.6046084, 123.5233867 13.6047743, 123.5234955 13.6053662)"
836665480,2,secondary,40,False,True,66.56700000000001,632,Sagñay–Nato Road,6.6,"LINESTRING (123.5233375 13.6045214, 123.5232813 13.6042558, 123.5232188 13.603934)"
313457589,1,residential,30,False,True,88.50099999999999,,,,"LINESTRING (123.5227075 13.6016698, 123.5226548 13.6016786, 123.5219004 13.6018043)"
836665479,2,primary,40,False,True,129.89600000000002,630,Tiwi–Sagñay Road,6.1,"LINESTRING (123.5227075 13.6016698, 123.5229023 13.6025231, 123.5229708 13.6028096)"
313457572,1,residential,30,False,False,136.93,,,,"LINESTRING (123.5219004 13.6018043, 123.5221586 13.6030099)"
313457589,1,residential,30,False,True,26.738,,,,"LINESTRING (123.5219004 13.6018043, 123.5216565 13.6018446)"
313457589,1,residential,30,False,False,88.50099999999999,,,,"LINESTRING (123.5219004 13.6018043, 123.5226548 13.6016786, 123.5227075 13.6016698)"
313457551,1,residential,30,False,True,123.095,,,,"LINESTRING (123.5272317 13.6019398, 123.5261086 13.6021239)"
313457551,1,residential,30,False,False,347.66700000000003,,,,"LINESTRING (123.5229708 13.6028096, 123.523015 13.6028079, 123.5261086 13.6021239)"
777619464,2,primary,40,False,True,127.86800000000001,630,Tiwi–Sagñay Road,6.1,"LINESTRING (123.5229708 13.6028096, 123.5229896 13.602895, 123.5230387 13.6031182, 123.5231484 13.6036162, 123.5232021 13.6038602, 123.5232188 13.603934)"
836665466,1,residential,30,False,False,90.724,,,,"LINESTRING (123.5229708 13.6028096, 123.5229228 13.6028098, 123.5221586 13.6030099)"
836665479,2,primary,40,False,False,129.89600000000002,630,Tiwi–Sagñay Road,6.1,"LINESTRING (123.5229708 13.6028096, 123.5229023 13.6025231, 123.5227075 13.6016698)"
313457572,1,residential,30,False,True,136.93,,,,"LINESTRING (123.5221586 13.6030099, 123.5219004 13.6018043)"
836665466,1,residential,30,False,False,122.122,,,,"LINESTRING (123.5221586 13.6030099, 123.5210788 13.6033335)"
313457572,1,residential,30,False,False,116.597,,,,"LINESTRING (123.5221586 13.6030099, 123.5223779 13.6040085, 123.5223837 13.6040354)"
836665466,1,residential,30,False,True,90.724,,,,"LINESTRING (123.5221586 13.6030099, 123.5229228 13.6028098, 123.5229708 13.6028096)"
836665466,1,residential,30,False,True,122.122,,,,"LINESTRING (123.5210788 13.6033335, 123.5221586 13.6030099)"
313457589,1,residential,30,False,False,259.684,,,,"LINESTRING (123.5210788 13.6033335, 123.520678 13.602065, 123.5206753 13.602031, 123.5207019 13.6020138, 123.5210061 13.601952, 123.5216565 13.6018446)"
313457589,1,residential,30,False,True,102.17999999999999,,,,"LINESTRING (123.5210788 13.6033335, 123.5213219 13.6041658, 123.5213366 13.6042176)"
313457572,1,residential,30,False,False,5.637,,,,"LINESTRING (123.5223837 13.6040354, 123.522391 13.6040856)"
313457572,1,residential,30,False,True,116.597,,,,"LINESTRING (123.5223837 13.6040354, 123.5223779 13.6040085, 123.5221586 13.6030099)"
