osmid,highway,oneway,reversed,length,lanes,maxspeed,geometry
852780861,residential,False,False,94.81,,,"LINESTRING (120.908211 15.334816, 120.9074307 15.3352169)"
117208840,secondary,False,True,274.936,2,40,"LINESTRING (120.908211 15.334816, 120.9093029 15.3364792, 120.9094213 15.3366291, 120.9096466 15.336858)"
38414768,residential,False,False,71.994,,,"LINESTRING (120.9058434 15.3360266, 120.9061455 15.3366048)"
175754532,residential,False,True,129.436,,,"LINESTRING (120.9058434 15.3360266, 120.9047595 15.3365388)"
852780861,residential,False,True,183.996,,,"LINESTRING (120.9058434 15.3360266, 120.9073601 15.3352529)"
43898360,residential,False,False,24.244,,,"LINESTRING (120.9076906 15.339577, 120.9078975 15.3394891)"
43898360,residential,False,True,187.388,,,"LINESTRING (120.9076906 15.339577, 120.9061494 15.3403713)"
38414768,residential,False,True,94.795,,,"LINESTRING (120.9076906 15.339577, 120.907446 15.3391282, 120.9073516 15.3389557, 120.9072819 15.3388211)"
43898360,residential,False,False,272.733,,,"LINESTRING (120.9078975 15.3394891, 120.9101428 15.338337)"
43898360,residential,False,True,24.244,,,"LINESTRING (120.9078975 15.3394891, 120.9076906 15.339577)"
48679996,residential,False,False,124.252,,,"LINESTRING (120.9078975 15.3394891, 120.9085124 15.3404362)"
48679996,residential,False,True,65.148,,,"LINESTRING (120.9088017 15.3409514, 120.9085124 15.3404362)"
50434132,residential,False,True,132.77100000000002,,,"LINESTRING (120.9096466 15.336858, 120.9090919 15.3372195, 120.9085919 15.3374807)"
117208840,secondary,False,False,274.936,2,40,"LINESTRING (120.9096466 15.336858, 120.9094213 15.3366291, 120.9093029 15.3364792, 120.908211 15.334816)"
117208840,secondary,False,True,76.065,2,40,"LINESTRING (120.9096466 15.336858, 120.9098612 15.3370236, 120.9102367 15.3372344)"
117208840,secondary,False,False,76.065,2,40,"LINESTRING (120.9102367 15.3372344, 120.9098612 15.3370236, 120.9096466 15.336858)"
38414768,residential,False,False,67.854,,,"LINESTRING (120.9070216 15.3382649, 120.9072819 15.3388211)"
38414768,residential,False,True,69.679,,,"LINESTRING (120.9070216 15.3382649, 120.9067215 15.3377091)"
50434132,residential,False,False,189.629,,,"LINESTRING (120.9070216 15.3382649, 120.9085919 15.3374807)"
50434132,residential,False,True,131.052,,,"LINESTRING (120.9070216 15.3382649, 120.9059432 15.3388194)"
50434132,residential,False,True,189.629,,,"LINESTRING (120.9085919 15.3374807, 120.9070216 15.3382649)"
50434188,residential,False,False,67.955,,,"LINESTRING (120.9085919 15.3374807, 120.9083062 15.3369352)"
50434188,residential,False,True,70.832,,,"LINESTRING (120.9085919 15.3374807, 120.9089046 15.3380418)"
50434132,residential,False,False,132.77100000000002,,,"LINESTRING (120.9085919 15.3374807, 120.9090919 15.3372195, 120.9096466 15.336858)"
38414768,residential,False,True,67.854,,,"LINESTRING (120.9072819 15.3388211, 120.9070216 15.3382649)"
50434134,residential,False,False,194.392,,,"LINESTRING (120.9072819 15.3388211, 120.9089046 15.3380418)"
50434134,residential,False,True,126.587,,,"LINESTRING (120.9072819 15.3388211, 120.9062438 15.3393631)"
38414768,residential,False,False,94.795,,,"LINESTRING (120.9072819 15.3388211, 120.9073516 15.3389557, 120.907446 15.3391282, 120.9076906 15.339577)"
38414768,residential,False,False,69.679,,,"LINESTRING (120.9067215 15.3377091, 120.9070216 15.3382649)"
38414768,residential,False,True,69.271,,,"LINESTRING (120.9067215 15.3377091, 120.9064387 15.337149)"
