osmid,oneway,name,highway,reversed,length,lanes,ref,geometry,bridge
81344410,False,Sarmiento Street,residential,True,232.78,,,"LINESTRING (123.5333151 9.7640069, 123.535438 9.7640804)",
74849960,False,Natalio Bacalso Avenue,trunk,False,140.421,2,8,"LINESTRING (123.5333151 9.7640069, 123.5333112 9.7633431, 123.533306 9.7627441)",
534269938,False,Dalaguete-Mantalongon-Badian Road,secondary,False,105.969,,,"LINESTRING (123.5333151 9.7640069, 123.5331072 9.7640051, 123.5325098 9.7639967, 123.5323548 9.7640419)",
131315545,False,Dalaguete-Mantalongon-Badian Road,secondary,False,89.617,,,"LINESTRING (123.5315704 9.7643346, 123.5314093 9.7643567, 123.5307558 9.7644023)",
"[131315545, 534269938, 534269937]",False,Dalaguete-Mantalongon-Badian Road,secondary,True,91.944,,,"LINESTRING (123.5315704 9.7643346, 123.5321456 9.7641135, 123.5322963 9.764058, 123.5323548 9.7640419)",yes
1190445876,False,,residential,True,37.109,,,"LINESTRING (123.5288827 9.7652128, 123.5290492 9.7655034)",
131315545,False,Dalaguete-Mantalongon-Badian Road,secondary,True,227.98900000000003,,,"LINESTRING (123.5288827 9.7652128, 123.5300635 9.7645095, 123.5307558 9.7644023)",
74849960,False,Natalio Bacalso Avenue,trunk,True,28.93,2,8,"LINESTRING (123.5332931 9.7617678, 123.5332994 9.7620279)",
363408178,True,,unclassified,False,33.822,,,"LINESTRING (123.5332931 9.7617678, 123.5335741 9.7618936)",
74849960,False,Natalio Bacalso Avenue,trunk,False,118.587,2,8,"LINESTRING (123.5332931 9.7617678, 123.5332905 9.7617044, 123.5332835 9.7607014)",
665622083,True,,unclassified,False,33.604,,,"LINESTRING (123.5335741 9.7618936, 123.5332994 9.7620279)",
"[506126758, 363409070]",False,,unclassified,"[False, True]",141.372,,,"LINESTRING (123.5335741 9.7618936, 123.5338257 9.7618824, 123.5348635 9.7618538)",
74849960,False,Natalio Bacalso Avenue,trunk,True,159.514,2,8,"LINESTRING (123.5332275 9.7575862, 123.5332283 9.7577416, 123.5332661 9.7589179, 123.5332694 9.7590201)",
1110778136,False,Juan Luna Street,residential,False,133.86,,,"LINESTRING (123.5332275 9.7575862, 123.5341986 9.7575163, 123.5344456 9.7574965)",
1110778136,False,Juan Luna Street,residential,True,224.328,,,"LINESTRING (123.5332275 9.7575862, 123.5329787 9.7576089, 123.5318647 9.7576836, 123.5311843 9.7576995)",
131315547,False,San Guillermo Street,residential,True,165.222,,,"LINESTRING (123.5344456 9.7574965, 123.5347449 9.7589528)",
1110778136,False,Juan Luna Street,residential,True,133.86,,,"LINESTRING (123.5344456 9.7574965, 123.5341986 9.7575163, 123.5332275 9.7575862)",
506126757,False,Jose Rizal Street,residential,False,159.096,,,"LINESTRING (123.5311843 9.7576995, 123.5314824 9.7590998)",
1110778136,False,Juan Luna Street,residential,False,224.328,,,"LINESTRING (123.5311843 9.7576995, 123.5318647 9.7576836, 123.5329787 9.7576089, 123.5332275 9.7575862)",
506126757,False,Jose Rizal Street,residential,False,187.6,,,"LINESTRING (123.5314824 9.7590998, 123.5317661 9.7607636)",
506126757,False,Jose Rizal Street,residential,True,159.096,,,"LINESTRING (123.5314824 9.7590998, 123.5311843 9.7576995)",
506126760,False,,tertiary,True,78.114,,,"LINESTRING (123.5314824 9.7590998, 123.5321943 9.7590643)",
506126757,False,Jose Rizal Street,residential,True,187.6,,,"LINESTRING (123.5317661 9.7607636, 123.5314824 9.7590998)",
506126757,False,Jose Rizal Street,residential,False,167.63100000000003,,,"LINESTRING (123.5317661 9.7607636, 123.5319484 9.7620665, 123.5319703 9.7622576)",
506126761,False,,residential,False,166.432,,,"LINESTRING (123.5317661 9.7607636, 123.5323902 9.7607333, 123.5332835 9.7607014)",
506126761,False,,residential,True,245.036,,,"LINESTRING (123.5317661 9.7607636, 123.529627 9.7608824, 123.5295336 9.7608874)",
506126757,False,Jose Rizal Street,residential,True,134.293,,,"LINESTRING (123.5323548 9.7640419, 123.532278 9.7639312, 123.5322255 9.7638206, 123.5321229 9.7633476, 123.5320584 9.7628841)",
"[131315545, 534269937, 534269938]",False,Dalaguete-Mantalongon-Badian Road,secondary,False,91.944,,,"LINESTRING (123.5323548 9.7640419, 123.5322963 9.764058, 123.5321456 9.7641135, 123.5315704 9.7643346)",yes
534269938,False,Dalaguete-Mantalongon-Badian Road,secondary,True,105.969,,,"LINESTRING (123.5323548 9.7640419, 123.5325098 9.7639967, 123.5331072 9.7640051, 123.5333151 9.7640069)",
506126759,False,,residential,False,145.268,,,"LINESTRING (123.5363717 9.7606291, 123.5350462 9.7606461)",
506126758,False,,unclassified,False,134.636,,,"LINESTRING (123.5363717 9.7606291, 123.5363171 9.7606963, 123.5362156 9.7609856, 123.5360055 9.7617776)",
506126758,False,,unclassified,True,200.85399999999998,,,"LINESTRING (123.5363717 9.7606291, 123.5364385 9.7605295, 123.5366916 9.7594941, 123.5368476 9.7588915)",
506126759,False,,residential,True,148.863,,,"LINESTRING (123.5332835 9.7607014, 123.5346411 9.760655)",
74849960,False,Natalio Bacalso Avenue,trunk,False,186.961,2,8,"LINESTRING (123.5332835 9.7607014, 123.5332768 9.759447, 123.5332694 9.7590201)",
74849960,False,Natalio Bacalso Avenue,trunk,True,118.587,2,8,"LINESTRING (123.5332835 9.7607014, 123.5332905 9.7617044, 123.5332931 9.7617678)",
506126761,False,,residential,True,166.432,,,"LINESTRING (123.5332835 9.7607014, 123.5323902 9.7607333, 123.5317661 9.7607636)",
899827220,False,,residential,False,230.527,,,"LINESTRING (123.5368476 9.7588915, 123.5347449 9.7589528)",
506126758,False,,unclassified,False,200.854,,,"LINESTRING (123.5368476 9.7588915, 123.5366916 9.7594941, 123.5364385 9.7605295, 123.5363717 9.7606291)",
506126760,False,,tertiary,False,117.918,,,"LINESTRING (123.5332694 9.7590201, 123.5321943 9.7590643)",
899827219,False,,residential,True,161.867,,,"LINESTRING (123.5332694 9.7590201, 123.5347449 9.7589528)",
74849960,False,Natalio Bacalso Avenue,trunk,False,159.514,2,8,"LINESTRING (123.5332694 9.7590201, 123.5332661 9.7589179, 123.5332283 9.7577416, 123.5332275 9.7575862)",
74849960,False,Natalio Bacalso Avenue,trunk,True,186.961,2,8,"LINESTRING (123.5332694 9.7590201, 123.5332768 9.759447, 123.5332835 9.7607014)",
506126757,False,Jose Rizal Street,residential,True,70.33,,,"LINESTRING (123.5320584 9.7628841, 123.5319703 9.7622576)",
