osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,junction,geometry
101928302,residential,False,True,180.89,,,,,,"LINESTRING (124.6747638 6.6868072, 124.674162 6.6883202)"
770116256,trunk,False,False,53.667,6,76,Tacurong - Isulan National Highway,40,,"LINESTRING (124.6747638 6.6868072, 124.674311 6.686632)"
770116256,trunk,False,True,22.804,6,76,Tacurong - Isulan National Highway,40,,"LINESTRING (124.6747638 6.6868072, 124.6749559 6.6868824)"
373849050,trunk,True,False,102.587,3,76,Tacurong - Isulan National Highway,40,,"LINESTRING (124.6786032 6.6884318, 124.6777487 6.68807)"
1166086485,trunk,False,True,5.165,2,940;76,Tacurong Roundball,40,circular,"LINESTRING (124.6786032 6.6884318, 124.6786148 6.6884768)"
770116246,trunk,False,False,12.564,2,940;76,Tacurong Roundball,40,circular,"LINESTRING (124.6786032 6.6884318, 124.6786028 6.6884035, 124.6786088 6.6883759, 124.6786209 6.6883504, 124.6786385 6.6883282)"
770116256,trunk,False,False,14.991,6,76,Tacurong - Isulan National Highway,40,,"LINESTRING (124.674311 6.686632, 124.6741833 6.6865863)"
770116256,trunk,False,True,53.667,6,76,Tacurong - Isulan National Highway,40,,"LINESTRING (124.674311 6.686632, 124.6747638 6.6868072)"
89426733,residential,False,False,113.344,,,J.C. Avenue,,,"LINESTRING (124.6777116 6.6909092, 124.6767575 6.6905336)"
89426733,residential,False,True,103.415,,,J.C. Avenue,,,"LINESTRING (124.6777116 6.6909092, 124.6785756 6.6912678)"
770116210,primary,False,False,123.316,6,940,Alunan Highway,40,,"LINESTRING (124.6777116 6.6909092, 124.6772912 6.6919366)"
770116210,primary,False,True,121.601,6,940,Alunan Highway,40,,"LINESTRING (124.6777116 6.6909092, 124.6781289 6.6898972)"
89426733,residential,False,False,85.956,,,J.C. Avenue,,,"LINESTRING (124.6759699 6.6902299, 124.6752481 6.6899407)"
89426733,residential,False,True,93.306,,,J.C. Avenue,,,"LINESTRING (124.6759699 6.6902299, 124.6767575 6.6905336)"
101928307,unclassified,False,False,123.438,,,Bonifacio Street,,,"LINESTRING (124.6759699 6.6902299, 124.6763774 6.6891962)"
101928307,unclassified,False,True,119.157,,,Bonifacio Street,,,"LINESTRING (124.6759699 6.6902299, 124.6756068 6.691239)"
770116250,trunk,False,False,3.593,2,940;76,Tacurong Roundball,40,circular,"LINESTRING (124.6788316 6.6883599, 124.6788473 6.6883882)"
770116251,trunk,False,True,20.939,2,940;76,Tacurong Roundball,40,circular,"LINESTRING (124.6788316 6.6883599, 124.6788121 6.6883353, 124.6787869 6.6883163, 124.6787577 6.6883041, 124.6787265 6.6882996, 124.678695 6.688303, 124.6786655 6.6883141)"
770116245,trunk,False,True,3.369,2,940;76,Tacurong Roundball,40,circular,"LINESTRING (124.6786655 6.6883141, 124.6786385 6.6883282)"
770116251,trunk,False,False,20.939,2,940;76,Tacurong Roundball,40,circular,"LINESTRING (124.6786655 6.6883141, 124.678695 6.688303, 124.6787265 6.6882996, 124.6787577 6.6883041, 124.6787869 6.6883163, 124.6788121 6.6883353, 124.6788316 6.6883599)"
770116253,primary,True,False,25.53,4,940,Koronadal City-Tacurong City National Highway,40,,"LINESTRING (124.6786655 6.6883141, 124.6787649 6.688229, 124.6788315 6.688155)"
1166086484,trunk,False,False,3.856,2,940;76,Tacurong Roundball,40,circular,"LINESTRING (124.6787821 6.6885267, 124.6787499 6.6885401)"
101928212,trunk,False,True,18.271,2,940;76,Tacurong Roundball,40,circular,"LINESTRING (124.6787821 6.6885267, 124.6788051 6.6885117, 124.6788243 6.688492, 124.6788386 6.6884686, 124.6788475 6.6884427, 124.6788504 6.6884154, 124.6788473 6.6883882)"
1166086485,trunk,False,False,5.165,2,940;76,Tacurong Roundball,40,circular,"LINESTRING (124.6786148 6.6884768, 124.6786032 6.6884318)"
770116247,trunk,False,True,17.622,2,940;76,Tacurong Roundball,40,circular,"LINESTRING (124.6786148 6.6884768, 124.6786333 6.6885026, 124.6786578 6.6885229, 124.6786867 6.6885364, 124.6787181 6.6885423, 124.6787499 6.6885401)"
89426733,residential,False,False,93.306,,,J.C. Avenue,,,"LINESTRING (124.6767575 6.6905336, 124.6759699 6.6902299)"
89426733,residential,False,True,113.344,,,J.C. Avenue,,,"LINESTRING (124.6767575 6.6905336, 124.6777116 6.6909092)"
101928303,residential,False,False,120.737,,,,,,"LINESTRING (124.6767575 6.6905336, 124.6771498 6.6895201)"
101928305,residential,False,False,115.976,,,,,,"LINESTRING (124.6781289 6.6898972, 124.6771498 6.6895201)"
101928305,residential,False,True,105.804,,,,,,"LINESTRING (124.6781289 6.6898972, 124.6790126 6.6902647)"
770116210,primary,False,False,121.601,6,940,Alunan Highway,40,,"LINESTRING (124.6781289 6.6898972, 124.6777116 6.6909092)"
770116210,primary,False,True,117.469,6,940,Alunan Highway,40,,"LINESTRING (124.6781289 6.6898972, 124.6785251 6.6889168)"
373849042,trunk,True,False,16.303,3,76,Tacurong - Isulan National Highway,40,,"LINESTRING (124.6753855 6.6870573, 124.6755326 6.687045)"
770116256,trunk,False,False,51.276,6,76,Tacurong - Isulan National Highway,40,,"LINESTRING (124.6753855 6.6870573, 124.6749559 6.6868824)"
101928304,residential,False,True,121.173,,,Ledesma Street,,,"LINESTRING (124.6749075 6.6886333, 124.6745189 6.6896524)"
101928305,residential,False,False,89.39,,,,,,"LINESTRING (124.6749075 6.6886333, 124.674162 6.6883202)"
101928305,residential,False,True,91.749,,,,,,"LINESTRING (124.6749075 6.6886333, 124.6756108 6.6889017, 124.6756853 6.6889223)"
101928305,residential,False,True,82.279,,,,,,"LINESTRING (124.6756853 6.6889223, 124.6763774 6.6891962)"
101928306,residential,False,True,123.105,,,Mabini Street,,,"LINESTRING (124.6756853 6.6889223, 124.6752481 6.6899407)"
101928305,residential,False,False,91.749,,,,,,"LINESTRING (124.6756853 6.6889223, 124.6756108 6.6889017, 124.6749075 6.6886333)"
131706839,unclassified,False,True,11.72,,,,,,"LINESTRING (124.6769945 6.6877669, 124.6770429 6.6876731)"
373849050,trunk,True,False,179.477,3,76,Tacurong - Isulan National Highway,40,,"LINESTRING (124.6769945 6.6877669, 124.6762159 6.6874553, 124.6760665 6.6873926, 124.6756633 6.6872219, 124.6756036 6.687195, 124.6754947 6.6871458)"
89426733,residential,False,True,86.678,,,J.C. Avenue,,,"LINESTRING (124.6745189 6.6896524, 124.6752481 6.6899407)"
101928304,residential,False,False,121.173,,,Ledesma Street,,,"LINESTRING (124.6745189 6.6896524, 124.6749075 6.6886333)"
89426733,residential,False,False,86.678,,,J.C. Avenue,,,"LINESTRING (124.6752481 6.6899407, 124.6745189 6.6896524)"
89426733,residential,False,True,85.956,,,J.C. Avenue,,,"LINESTRING (124.6752481 6.6899407, 124.6759699 6.6902299)"
101928306,residential,False,False,123.105,,,Mabini Street,,,"LINESTRING (124.6752481 6.6899407, 124.6756853 6.6889223)"
101928306,residential,False,True,118.906,,,Mabini Street,,,"LINESTRING (124.6752481 6.6899407, 124.6748345 6.690928)"
101928302,residential,False,False,180.89,,,,,,"LINESTRING (124.674162 6.6883202, 124.6747638 6.6868072)"
101928305,residential,False,True,89.39,,,,,,"LINESTRING (124.674162 6.6883202, 124.6749075 6.6886333)"
101928303,residential,False,False,174.282,,,,,,"LINESTRING (124.6771498 6.6895201, 124.6777487 6.68807)"
101928303,residential,False,True,120.737,,,,,,"LINESTRING (124.6771498 6.6895201, 124.6767575 6.6905336)"
101928305,residential,False,False,92.594,,,,,,"LINESTRING (124.6771498 6.6895201, 124.6763774 6.6891962)"
101928305,residential,False,True,115.976,,,,,,"LINESTRING (124.6771498 6.6895201, 124.6781289 6.6898972)"
101928305,residential,False,False,82.279,,,,,,"LINESTRING (124.6763774 6.6891962, 124.6756853 6.6889223)"
101928305,residential,False,True,92.594,,,,,,"LINESTRING (124.6763774 6.6891962, 124.6771498 6.6895201)"
101928307,unclassified,False,True,123.438,,,Bonifacio Street,,,"LINESTRING (124.6763774 6.6891962, 124.6759699 6.6902299)"
373849048,unclassified,True,False,173.063,,,Bonifacio Street,,,"LINESTRING (124.6763774 6.6891962, 124.67662 6.6885568, 124.6769945 6.6877669)"
170686060,residential,False,True,174.677,,,Del Pilar Street,,,"LINESTRING (124.6830473 6.6902063, 124.6824525 6.6916619)"
1167465032,trunk,False,False,52.65,6,76,Tacurong-President Quirino National Highway,60,,"LINESTRING (124.6830473 6.6902063, 124.6826071 6.6900245)"
102030221,residential,False,True,177.109,,,,,,"LINESTRING (124.6796106 6.6887868, 124.6790126 6.6902647)"
1167465032,trunk,False,True,56.278,6,76,Tacurong-President Quirino National Highway,60,,"LINESTRING (124.6796106 6.6887868, 124.6800811 6.6889812)"
"[1167465032, 770116222]",trunk,False,False,54.859,"['6', '8']",76,Tacurong-President Quirino National Highway,"['60', '40']",,"LINESTRING (124.6796106 6.6887868, 124.6793748 6.6886894, 124.6791492 6.6886042)"
102030220,residential,False,True,173.96,,,Diego Silang Street,,,"LINESTRING (124.6826071 6.6900245, 124.6820247 6.6914781)"
106264802,residential,False,True,150.412,,,,,,"LINESTRING (124.6826071 6.6900245, 124.6831527 6.6887851)"
1167465032,trunk,False,False,90.733,6,76,Tacurong-President Quirino National Highway,60,,"LINESTRING (124.6826071 6.6900245, 124.6818485 6.6897112)"
1167465032,trunk,False,True,52.65,6,76,Tacurong-President Quirino National Highway,60,,"LINESTRING (124.6826071 6.6900245, 124.6830473 6.6902063)"
89426733,residential,False,False,103.415,,,J.C. Avenue,,,"LINESTRING (124.6785756 6.6912678, 124.6777116 6.6909092)"
89426733,residential,False,True,90.305,,,J.C. Avenue,,,"LINESTRING (124.6785756 6.6912678, 124.6793318 6.6915768)"
102030221,residential,False,False,121.533,,,,,,"LINESTRING (124.6785756 6.6912678, 124.6790126 6.6902647)"
101928305,residential,False,False,87.859,,,,,,"LINESTRING (124.6805012 6.6908534, 124.6797582 6.690571)"
101928305,residential,False,True,91.089,,,,,,"LINESTRING (124.6805012 6.6908534, 124.6812683 6.6911544)"
102523230,residential,False,False,174.417,,,,,,"LINESTRING (124.6805012 6.6908534, 124.681122 6.6894111)"
102523230,residential,False,True,123.535,,,,,,"LINESTRING (124.6805012 6.6908534, 124.6800758 6.6918809)"
