osmid,highway,oneway,reversed,length,geometry,name,lanes,ref,maxspeed,bridge,junction
224648998,residential,False,True,28.422,"LINESTRING (122.593241 10.7839655, 122.5930149 10.784092)",,,,,,
224648962,residential,False,False,139.331,"LINESTRING (122.5917296 10.786916, 122.5906737 10.787619)",,,,,,
480831175,residential,False,False,25.212,"LINESTRING (122.5917296 10.786916, 122.5918639 10.7871004)",Hilado Street,,,,,
480831175,residential,False,True,101.435,"LINESTRING (122.5917296 10.786916, 122.59122 10.7861534)",Hilado Street,,,,,
224648998,residential,False,False,73.748,"LINESTRING (122.5924478 10.7844519, 122.5930149 10.784092)",,,,,,
"[224648966, 224648959]",residential,False,False,101.93099999999998,"LINESTRING (122.5924478 10.7844519, 122.5922858 10.7842528, 122.5922833 10.7842333, 122.5923067 10.7842051, 122.592793 10.7838326)",,,,,,
224648959,residential,False,True,100.556,"LINESTRING (122.5924478 10.7844519, 122.5925915 10.7846252, 122.5926244 10.7846385, 122.592659 10.7846334, 122.593182 10.7843018)",,,,,,
224648971,residential,False,False,47.078,"LINESTRING (122.5873715 10.7838012, 122.587714 10.7835442)",,,,,,
"[1214763905, 821683411]",trunk,False,False,252.68200000000002,"LINESTRING (122.5873715 10.7838012, 122.5871653 10.7834663, 122.5870088 10.7832121, 122.5866876 10.7826975, 122.5865952 10.7825495, 122.5861659 10.7818618)",Iloilo-Capiz Road,4,5,40,,
821683411,trunk,False,True,43.706,"LINESTRING (122.5873715 10.7838012, 122.5874687 10.7839724, 122.5875092 10.7840438, 122.5875702 10.7841423)",Iloilo-Capiz Road,4,5,40,,
224648959,residential,False,False,100.556,"LINESTRING (122.593182 10.7843018, 122.592659 10.7846334, 122.5926244 10.7846385, 122.5925915 10.7846252, 122.5924478 10.7844519)",,,,,,
224648962,residential,False,True,90.36,"LINESTRING (122.5899863 10.7880711, 122.5906737 10.787619)",,,,,,
1214763904,trunk,False,False,161.689,"LINESTRING (122.5899863 10.7880711, 122.5897039 10.787609, 122.5892304 10.7868506, 122.5892156 10.7868297)",Iloilo-Capiz Road,4,5,40,,
"[1214763904, 1215704296, 1215704295]",trunk,False,True,126.04499999999999,"LINESTRING (122.5899863 10.7880711, 122.5900036 10.7880906, 122.5902634 10.7885242, 122.5904919 10.7889663, 122.5905148 10.7890107, 122.5905217 10.7890241, 122.5905388 10.7890647)",Iloilo-Capiz Road,4,5,40,yes,
224648980,residential,False,False,34.886,"LINESTRING (122.5918639 10.7871004, 122.5921132 10.7869043)",,,,,,
480831175,residential,False,False,17.945,"LINESTRING (122.5918639 10.7871004, 122.5919533 10.7872358)",Hilado Street,,,,,
480831175,residential,False,True,25.212,"LINESTRING (122.5918639 10.7871004, 122.5917296 10.786916)",Hilado Street,,,,,
224648966,residential,False,False,34.08,"LINESTRING (122.5930019 10.7836718, 122.5932518 10.7834883)",,,,,,
224648966,residential,False,True,28.989,"LINESTRING (122.5930019 10.7836718, 122.592793 10.7838326)",,,,,,
224648981,residential,False,False,41.817,"LINESTRING (122.5930019 10.7836718, 122.593241 10.7839655)",,,,,,
224648993,residential,False,True,48.439,"LINESTRING (122.5888909 10.7826882, 122.5891306 10.7830547)",,,,,,
"[224648971, 224648951]",residential,False,"[False, True]",373.824,"LINESTRING (122.5888909 10.7826882, 122.5891385 10.7825271, 122.5892704 10.7824476, 122.5892854 10.7824161, 122.5892862 10.7823828, 122.589172 10.7821093, 122.5890433 10.7819512, 122.5886974 10.7815565, 122.588698 10.7815381, 122.5887107 10.7815277, 122.5890845 10.7812664, 122.5890932 10.7812655, 122.589101 10.7812696, 122.589312 10.7815193, 122.5895797 10.7818458, 122.5896946 10.781965, 122.5897693 10.7820837, 122.5897839 10.7821173, 122.5898078 10.7823318, 122.5898046 10.7823604)",,,,,,
224648971,residential,False,True,57.998999999999995,"LINESTRING (122.5888909 10.7826882, 122.5888187 10.7826963, 122.5887074 10.7827355, 122.5886185 10.7827733, 122.5885558 10.7828167, 122.5884284 10.782922)",,,,,,
224648976,residential,False,True,14.451,"LINESTRING (122.5905601 10.7828186, 122.5904536 10.7828957)",,,,,,
224648996,residential,False,False,47.815,"LINESTRING (122.5886406 10.7847001, 122.588377 10.7843568)",,,,,,
224648954,unclassified,False,False,30.52,"LINESTRING (122.5886406 10.7847001, 122.5888535 10.7845463, 122.5888657 10.7845375)",Rizal Street,,,,,
224648954,unclassified,False,True,67.98,"LINESTRING (122.5886406 10.7847001, 122.5885055 10.7847977, 122.5881808 10.7850324, 122.5881349 10.7850554)",Rizal Street,,,,,
224648949,residential,False,False,25.877,"LINESTRING (122.5914014 10.7888063, 122.5914688 10.7890294)",,,,,,
224648949,residential,False,False,33.386,"LINESTRING (122.5914688 10.7890294, 122.5915634 10.7893149)",,,,,,
224648949,residential,False,True,25.877,"LINESTRING (122.5914688 10.7890294, 122.5914014 10.7888063)",,,,,,
