osmid,highway,oneway,reversed,length,lanes,geometry,ref,name
395469910,residential,False,False,82.549,,"LINESTRING (124.0345474 12.704026, 124.034621 12.7047649)",,
395469915,residential,False,False,79.196,2,"LINESTRING (124.0345474 12.704026, 124.0352635 12.7038872)",,
753953773,secondary,False,False,124.077,2,"LINESTRING (124.0345474 12.704026, 124.0345379 12.7039197, 124.0344604 12.7030446, 124.0344488 12.7029143)",,
753953773,secondary,False,True,74.012,2,"LINESTRING (124.0345474 12.704026, 124.0344451 12.7040469, 124.0338814 12.7041706)",,
566594271,residential,False,False,51.952,,"LINESTRING (124.0344109 12.7025192, 124.0343863 12.7020526)",,
753953773,secondary,False,True,44.125,2,"LINESTRING (124.0344109 12.7025192, 124.0344488 12.7029143)",,
"[810374812, 753953773]",secondary,False,"[False, True]",78.66799999999999,2,"LINESTRING (124.0344109 12.7025192, 124.0346469 12.7024931, 124.0350781 12.7024454, 124.0351308 12.7024351)",,
39277067,trunk,False,False,75.735,4,"LINESTRING (124.0300486 12.7049227, 124.0300452 12.7049448, 124.0300364 12.7049802, 124.0300234 12.7050161, 124.0299851 12.7051075, 124.0298016 12.7055588)",1,Maharlika Highway
763589725,trunk,False,True,19.79,4,"LINESTRING (124.0300486 12.7049227, 124.0300512 12.7048769, 124.0300489 12.704839, 124.0300452 12.704805, 124.0300378 12.7047693, 124.0300319 12.7047465)",1,Maharlika Highway
395469917,residential,False,True,49.732,,"LINESTRING (124.0358533 12.7018874, 124.0358832 12.7023337)",,
566594269,residential,False,True,83.671,,"LINESTRING (124.0358533 12.7018874, 124.0350874 12.7019767)",,
395469918,residential,False,True,51.189,,"LINESTRING (124.0350874 12.7019767, 124.0351308 12.7024351)",,
566048019,residential,False,True,76.518,,"LINESTRING (124.0350874 12.7019767, 124.0343863 12.7020526)",,
566594265,residential,False,False,24.846,,"LINESTRING (124.0350874 12.7019767, 124.0350747 12.7017536)",,
566594269,residential,False,False,83.671,,"LINESTRING (124.0350874 12.7019767, 124.0358533 12.7018874)",,
395469917,residential,False,False,49.732,,"LINESTRING (124.0358832 12.7023337, 124.0358533 12.7018874)",,
395469917,residential,False,True,54.196,,"LINESTRING (124.0358832 12.7023337, 124.0359295 12.702819)",,
810374812,secondary,False,False,82.391,2,"LINESTRING (124.0358832 12.7023337, 124.0351308 12.7024351)",,
810374812,secondary,False,True,88.22,2,"LINESTRING (124.0358832 12.7023337, 124.036692 12.7022505)",,
395469918,residential,False,False,51.189,,"LINESTRING (124.0351308 12.7024351, 124.0350874 12.7019767)",,
395469918,residential,False,True,47.781,,"LINESTRING (124.0351308 12.7024351, 124.0351828 12.7028618)",,
810374812,secondary,False,True,82.391,2,"LINESTRING (124.0351308 12.7024351, 124.0358832 12.7023337)",,
"[810374812, 753953773]",secondary,False,"[False, True]",78.66799999999999,2,"LINESTRING (124.0351308 12.7024351, 124.0350781 12.7024454, 124.0346469 12.7024931, 124.0344109 12.7025192)",,
395469916,residential,False,True,81.137,,"LINESTRING (124.0359295 12.702819, 124.0351828 12.7028618)",,
395469917,residential,False,False,54.196,,"LINESTRING (124.0359295 12.702819, 124.0358832 12.7023337)",,
395469917,residential,False,True,98.764,,"LINESTRING (124.0359295 12.702819, 124.0359727 12.7037062)",,
395469916,residential,False,False,81.137,,"LINESTRING (124.0351828 12.7028618, 124.0359295 12.702819)",,
395469918,residential,False,False,47.781,,"LINESTRING (124.0351828 12.7028618, 124.0351308 12.7024351)",,
395469918,residential,False,True,114.355,,"LINESTRING (124.0351828 12.7028618, 124.0352635 12.7038872)",,
395469916,residential,False,True,79.837,,"LINESTRING (124.0351828 12.7028618, 124.0350126 12.7028708, 124.0344488 12.7029143)",,
753953773,secondary,False,False,44.125,2,"LINESTRING (124.0344488 12.7029143, 124.0344109 12.7025192)",,
395469916,residential,False,False,79.837,,"LINESTRING (124.0344488 12.7029143, 124.0350126 12.7028708, 124.0351828 12.7028618)",,
"[566047417, 395469916]",residential,False,True,55.214,,"LINESTRING (124.0344488 12.7029143, 124.0340966 12.7029224, 124.0339408 12.7029389)",,
753953773,secondary,False,True,124.07699999999998,2,"LINESTRING (124.0344488 12.7029143, 124.0344604 12.7030446, 124.0345379 12.7039197, 124.0345474 12.704026)",,
395469915,residential,False,True,79.518,2,"LINESTRING (124.0359727 12.7037062, 124.0352635 12.7038872)",,
395469917,residential,False,False,98.764,,"LINESTRING (124.0359727 12.7037062, 124.0359295 12.702819)",,
"[395469917, 395469919]",residential,False,True,163.965,,"LINESTRING (124.0359727 12.7037062, 124.0360411 12.7045232, 124.0353823 12.7046489)",,
395469915,residential,False,False,79.518,2,"LINESTRING (124.0352635 12.7038872, 124.0359727 12.7037062)",,
395469915,residential,False,True,79.196,2,"LINESTRING (124.0352635 12.7038872, 124.0345474 12.704026)",,
395469918,residential,False,False,114.355,,"LINESTRING (124.0352635 12.7038872, 124.0351828 12.7028618)",,
395469918,residential,False,True,85.687,,"LINESTRING (124.0352635 12.7038872, 124.0353311 12.7043533, 124.0353467 12.7044262, 124.0353823 12.7046489)",,
395469913,residential,False,True,76.803,,"LINESTRING (124.0338814 12.7041706, 124.0339353 12.7048593)",,
"[395469913, 566047417]",residential,False,False,121.10300000000001,,"LINESTRING (124.0338814 12.7041706, 124.0338442 12.7036151, 124.0338779 12.7030837)",,
753953773,secondary,False,False,74.012,2,"LINESTRING (124.0338814 12.7041706, 124.0344451 12.7040469, 124.0345474 12.704026)",,
753953773,secondary,False,True,76.384,2,"LINESTRING (124.0338814 12.7041706, 124.0338081 12.7041886, 124.0331945 12.7043217)",,
395469914,tertiary,False,True,71.214,2,"LINESTRING (124.0331945 12.7043217, 124.0332303 12.704455, 124.0333307 12.704948)",,
753953773,secondary,False,False,76.384,2,"LINESTRING (124.0331945 12.7043217, 124.0338081 12.7041886, 124.0338814 12.7041706)",,
753953773,secondary,False,True,177.58800000000002,2,"LINESTRING (124.0331945 12.7043217, 124.0331268 12.7043374, 124.0325075 12.7044809, 124.0323752 12.7045055, 124.0322314 12.7045261, 124.031585 12.7046017)",,
"[566047420, 810377884]",residential,False,False,99.821,,"LINESTRING (124.0331945 12.7043217, 124.0331658 12.7042146, 124.0331419 12.7039807, 124.0331374 12.7039363, 124.0331028 12.7036746, 124.0331353 12.7034332)",,
395469909,residential,False,True,72.005,,"LINESTRING (124.031585 12.7046017, 124.0317021 12.7052391)",,
