osmid,lanes,highway,maxspeed,oneway,reversed,length,name,geometry,bridge
97694516,2,secondary,40,False,False,39.977,,"LINESTRING (120.4010817 16.67431, 120.401457 16.6743079)",
97694260,2,secondary,40,False,False,210.58800000000002,Bacnotan-San Gabriel Road,"LINESTRING (120.4010817 16.67431, 120.4009492 16.6743508, 120.400494 16.6745378, 120.4000249 16.6748159, 120.3994033 16.6752843)",
820507943,2,secondary,40,False,True,290.575,San Juan-San Gabriel Road,"LINESTRING (120.4010817 16.67431, 120.3997075 16.6732117, 120.3989871 16.6726359)",
97694262,2,secondary,60,False,False,336.278,San Juan-San Gabriel Road,"LINESTRING (120.3965086 16.6707628, 120.3989871 16.6726359)",
97694519,,residential,,False,True,596.491,,"LINESTRING (120.3965086 16.6707628, 120.3965627 16.6707292, 120.3966271 16.6707035, 120.3967184 16.670703, 120.3968954 16.670712, 120.3974532 16.6707908, 120.3979562 16.6708559, 120.3983934 16.6709009, 120.398746 16.6709193, 120.3988802 16.6709407, 120.3989983 16.6709677, 120.399123 16.6709818, 120.3992678 16.6709818, 120.3994462 16.6709638, 120.3998847 16.6709715, 120.4002509 16.6709613, 120.4005606 16.6709535, 120.4007967 16.670924, 120.4011494 16.6708726, 120.4015799 16.6708007, 120.402052 16.6707236)",
97694520,,residential,,False,True,69.76,Laoeng Street,"LINESTRING (120.4020961 16.6728323, 120.4021324 16.6734587)",
904929223,,residential,,False,False,85.587,Apusen Street,"LINESTRING (120.4020961 16.6728323, 120.4028978 16.6727811)",
904929223,,residential,,False,True,64.981,Apusen Street,"LINESTRING (120.4020961 16.6728323, 120.4014861 16.6728382)",
97694520,,residential,,False,False,234.83599999999998,Laoeng Street,"LINESTRING (120.4020961 16.6728323, 120.4020801 16.6708383, 120.4020701 16.6707904, 120.402052 16.6707236)",
97694519,,residential,,False,True,21.359,,"LINESTRING (120.402052 16.6707236, 120.4019546 16.6705557)",
97694519,,residential,,False,False,596.4910000000001,,"LINESTRING (120.402052 16.6707236, 120.4015799 16.6708007, 120.4011494 16.6708726, 120.4007967 16.670924, 120.4005606 16.6709535, 120.4002509 16.6709613, 120.3998847 16.6709715, 120.3994462 16.6709638, 120.3992678 16.6709818, 120.399123 16.6709818, 120.3989983 16.6709677, 120.3988802 16.6709407, 120.398746 16.6709193, 120.3983934 16.6709009, 120.3979562 16.6708559, 120.3974532 16.6707908, 120.3968954 16.670712, 120.3967184 16.670703, 120.3966271 16.6707035, 120.3965627 16.6707292, 120.3965086 16.6707628)",
97694520,,residential,,False,True,234.83599999999998,Laoeng Street,"LINESTRING (120.402052 16.6707236, 120.4020701 16.6707904, 120.4020801 16.6708383, 120.4020961 16.6728323)",
97694516,2,secondary,40,False,True,64.615,,"LINESTRING (120.4031744 16.6742429, 120.4025682 16.674264)",
820507941,2,residential,,False,True,102.419,San Jose Street,"LINESTRING (120.4031744 16.6742429, 120.4030017 16.6733368)",
833757866,2,secondary,40,False,False,111.941,,"LINESTRING (120.4031744 16.6742429, 120.4032657 16.6752458)",
"[820507940, 97694517, 97694518]",2,tertiary,"['40', '30']",False,False,237.17300000000003,,"LINESTRING (120.4031744 16.6742429, 120.4034092 16.6742521, 120.4035553 16.6742778, 120.4036908 16.6743125, 120.4038457 16.6743407, 120.404022 16.6743722, 120.4042192 16.6744461, 120.4042829 16.6744692, 120.4043593 16.6744853, 120.4044619 16.6744872, 120.4052217 16.6744546, 120.4052719 16.6744522, 120.4053658 16.6744448)",yes
97694516,2,secondary,40,False,False,40.474,,"LINESTRING (120.4021886 16.6742801, 120.4025682 16.674264)",
97694516,2,secondary,40,False,True,77.991,,"LINESTRING (120.4021886 16.6742801, 120.401457 16.6743079)",
97694520,,residential,,False,False,91.532,Laoeng Street,"LINESTRING (120.4021886 16.6742801, 120.4021324 16.6734587)",
97694516,2,secondary,40,False,False,77.991,,"LINESTRING (120.401457 16.6743079, 120.4021886 16.6742801)",
97694516,2,secondary,40,False,True,39.977,,"LINESTRING (120.401457 16.6743079, 120.4010817 16.67431)",
