osmid,highway,oneway,reversed,length,bridge,lanes,geometry,name
274202276,residential,False,False,61.4,,,"LINESTRING (125.0216166 8.9077374, 125.0214903 8.9082753)",
274202276,residential,False,True,61.565,,,"LINESTRING (125.0216166 8.9077374, 125.021732 8.9071956)",
849734531,residential,False,True,156.51,,,"LINESTRING (125.0216166 8.9077374, 125.0229971 8.9080853)",
"[708707403, 849734531, 644296255]","['residential', 'unclassified']",False,False,159.24200000000002,yes,2,"LINESTRING (125.0216166 8.9077374, 125.0206774 8.9074878, 125.0203928 8.9073989, 125.0202181 8.9073627)",
274202286,residential,False,False,6.929,,,"LINESTRING (125.0229971 8.9080853, 125.0230122 8.9080248)",
274202286,residential,False,True,59.323,,,"LINESTRING (125.0229971 8.9080853, 125.0228436 8.9085968)",
849734531,residential,False,False,156.51,,,"LINESTRING (125.0229971 8.9080853, 125.0216166 8.9077374)",
274202276,residential,False,False,51.204,,,"LINESTRING (125.0214903 8.9082753, 125.0213864 8.9087242)",
274202276,residential,False,True,61.4,,,"LINESTRING (125.0214903 8.9082753, 125.0216166 8.9077374)",
849734530,residential,False,False,152.903,,,"LINESTRING (125.0214903 8.9082753, 125.0228436 8.9085968)",
274202300,residential,False,False,48.906,,,"LINESTRING (125.0243264 8.9083117, 125.0244425 8.9078871)",Alaba Street
274202300,residential,False,True,43.137,,,"LINESTRING (125.0243264 8.9083117, 125.0242049 8.9086806)",Alaba Street
644296252,residential,False,True,147.85399999999998,,,"LINESTRING (125.0243264 8.9083117, 125.0235786 8.9081455, 125.0230122 8.9080248)",
435944362,residential,False,False,163.43,,,"LINESTRING (125.0251582 8.9085002, 125.0266223 8.908761)",
1025695940,secondary,False,True,46.647,,2,"LINESTRING (125.0251582 8.9085002, 125.0250545 8.908907)",Medina Bypass Road
274202286,residential,False,False,59.323,,,"LINESTRING (125.0228436 8.9085968, 125.0229971 8.9080853)",
849734530,residential,False,False,107.583,,,"LINESTRING (125.0228436 8.9085968, 125.0237937 8.9088314)",
849734530,residential,False,True,152.903,,,"LINESTRING (125.0228436 8.9085968, 125.0214903 8.9082753)",
274202276,residential,False,True,51.204,,,"LINESTRING (125.0213864 8.9087242, 125.0214903 8.9082753)",
274202284,residential,False,False,190.001,,,"LINESTRING (125.0213864 8.9087242, 125.0230669 8.9091284)",
274202276,residential,False,False,48.32299999999999,,,"LINESTRING (125.0213864 8.9087242, 125.021311 8.9090123, 125.021296 8.9090887, 125.021287 8.9091472)",
435944362,residential,False,True,163.43,,,"LINESTRING (125.0266223 8.908761, 125.0251582 8.9085002)",
"[1025695936, 274202297, 435945405]",residential,False,"[False, True]",206.16899999999998,yes,,"LINESTRING (125.0266223 8.908761, 125.0265923 8.90889, 125.0265247 8.9092801, 125.0264749 8.9097192, 125.0264607 8.9098215, 125.0262875 8.9105834)",
849734530,residential,False,False,38.724,,,"LINESTRING (125.0237937 8.9088314, 125.0241382 8.9089052)",
849734530,residential,False,True,107.583,,,"LINESTRING (125.0237937 8.9088314, 125.0228436 8.9085968)",
274202299,residential,False,False,90.448,,,"LINESTRING (125.0237937 8.9088314, 125.0236423 8.9089867, 125.0235967 8.9090185, 125.0235403 8.9090582, 125.0234803 8.9090788, 125.0233821 8.909094, 125.0232044 8.9091132, 125.0230669 8.9091284)",
274202300,residential,False,False,26.027,,,"LINESTRING (125.0241382 8.9089052, 125.0242049 8.9086806)",Alaba Street
849734530,residential,False,True,38.724,,,"LINESTRING (125.0241382 8.9089052, 125.0237937 8.9088314)",
"[274202300, 1025695933, 1025695934]",residential,False,True,122.294,yes,,"LINESTRING (125.0241382 8.9089052, 125.0240345 8.9094345, 125.0240186 8.9095074, 125.0238725 8.9099716)",Alaba Street
274202284,residential,False,True,190.001,,,"LINESTRING (125.0230669 8.9091284, 125.0213864 8.9087242)",
274202299,residential,False,False,89.08699999999999,,,"LINESTRING (125.0230669 8.9091284, 125.0229147 8.9091642, 125.0226599 8.9092245, 125.0222763 8.9093066)",
274202299,residential,False,True,90.44800000000001,,,"LINESTRING (125.0230669 8.9091284, 125.0232044 8.9091132, 125.0233821 8.909094, 125.0234803 8.9090788, 125.0235403 8.9090582, 125.0235967 8.9090185, 125.0236423 8.9089867, 125.0237937 8.9088314)",
274202276,residential,False,False,74.273,,,"LINESTRING (125.021287 8.9091472, 125.0212353 8.9098132)",
274202276,residential,False,True,48.323,,,"LINESTRING (125.021287 8.9091472, 125.021296 8.9090887, 125.021311 8.9090123, 125.0213864 8.9087242)",
274202299,residential,False,True,110.978,,,"LINESTRING (125.021287 8.9091472, 125.0219883 8.9093093, 125.0220836 8.9093219, 125.0221634 8.9093225, 125.0222763 8.9093066)",
274202276,residential,False,True,166.988,,,"LINESTRING (125.0222763 8.9093066, 125.0222958 8.9095431, 125.0222943 8.9095799, 125.0222876 8.9096102, 125.0222784 8.9096395, 125.0222557 8.9096778, 125.0222338 8.9097018, 125.0222056 8.9097223, 125.0213939 8.910203, 125.0212936 8.9102702)",
274202299,residential,False,False,110.978,,,"LINESTRING (125.0222763 8.9093066, 125.0221634 8.9093225, 125.0220836 8.9093219, 125.0219883 8.9093093, 125.021287 8.9091472)",
274202299,residential,False,True,89.087,,,"LINESTRING (125.0222763 8.9093066, 125.0226599 8.9092245, 125.0229147 8.9091642, 125.0230669 8.9091284)",
274202293,residential,False,True,94.158,,,"LINESTRING (125.0238725 8.9099716, 125.024694 8.9102132)",Ebarle Street
1025695934,residential,False,True,102.65,,,"LINESTRING (125.0238725 8.9099716, 125.0236288 8.9108628)",Alaba Street
"[274202300, 1025695933, 1025695934]",residential,False,False,122.29400000000001,yes,,"LINESTRING (125.0238725 8.9099716, 125.0240186 8.9095074, 125.0240345 8.9094345, 125.0241382 8.9089052)",Alaba Street
274202276,residential,False,False,25.703,,,"LINESTRING (125.0212387 8.9100455, 125.0212936 8.9102702)",
274202276,residential,False,True,25.833,,,"LINESTRING (125.0212387 8.9100455, 125.0212353 8.9098132)",
708707385,residential,False,True,77.834,,,"LINESTRING (125.0212387 8.9100455, 125.0205302 8.9100393)",
274202276,residential,False,True,25.703,,,"LINESTRING (125.0212936 8.9102702, 125.0212387 8.9100455)",
274202276,residential,False,False,166.988,,,"LINESTRING (125.0212936 8.9102702, 125.0213939 8.910203, 125.0222056 8.9097223, 125.0222338 8.9097018, 125.0222557 8.9096778, 125.0222784 8.9096395, 125.0222876 8.9096102, 125.0222943 8.9095799, 125.0222958 8.9095431, 125.0222763 8.9093066)",
644296246,residential,False,False,75.17599999999999,,,"LINESTRING (125.0212936 8.9102702, 125.0212487 8.9103013, 125.0212075 8.9103272, 125.0211823 8.9103384, 125.0211525 8.910347, 125.0210264 8.9103547, 125.0209041 8.910354, 125.0208712 8.910356, 125.0208523 8.9103608, 125.0208352 8.9103692, 125.0208201 8.910387, 125.02081 8.9104082, 125.0207979 8.9104502, 125.020785 8.9105064, 125.0207787 8.9105574)",
274202293,residential,False,False,94.158,,,"LINESTRING (125.024694 8.9102132, 125.0238725 8.9099716)",Ebarle Street
274202293,residential,False,True,93.27,,,"LINESTRING (125.024694 8.9102132, 125.0255205 8.9104052)",Ebarle Street
274202296,secondary,False,True,98.892,,2,"LINESTRING (125.024694 8.9102132, 125.0244593 8.9110718)",Medina Bypass Road
"[274202296, 1025695939, 1025695940]",secondary,False,False,150.64299999999997,yes,2,"LINESTRING (125.024694 8.9102132, 125.0249119 8.9095162, 125.0249486 8.9093585, 125.0250545 8.908907)",Medina Bypass Road
274202293,residential,False,False,93.27,,,"LINESTRING (125.0255205 8.9104052, 125.024694 8.9102132)",Ebarle Street
274202293,residential,False,True,86.556,,,"LINESTRING (125.0255205 8.9104052, 125.0262875 8.9105834)",Ebarle Street
274202294,residential,False,True,100.604,,,"LINESTRING (125.0255205 8.9104052, 125.0252903 8.9112809)",Ragot Street
274202294,residential,False,False,34.583999999999996,,,"LINESTRING (125.0255205 8.9104052, 125.0255807 8.9101949, 125.0256018 8.9101048)",Ragot Street
274202292,residential,False,True,103.422,,,"LINESTRING (125.0262875 8.9105834, 125.0261099 8.9114968)",
274202293,residential,False,False,86.556,,,"LINESTRING (125.0262875 8.9105834, 125.0255205 8.9104052)",Ebarle Street
274202293,residential,False,True,52.25,,,"LINESTRING (125.0262875 8.9105834, 125.0267505 8.910691)",Ebarle Street
